date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,19.529999,75.7266,0.0,9.290511,54.46224,20.429998,0.451,Alabama
2023-10-13 01:00:00+00:00,18.63,79.3283,0.0,7.928177,50.52757,19.88,0.45,Alabama
2023-10-13 02:00:00+00:00,18.13,81.06715,0.0,9.0,53.13002,19.429998,0.449,Alabama
2023-10-13 03:00:00+00:00,18.38,77.521416,0.0,11.440979,65.85446,19.179998,0.449,Alabama
2023-10-13 04:00:00+00:00,18.33,76.76509,0.0,12.313893,74.74483,19.029999,0.448,Alabama
2023-10-13 05:00:00+00:00,17.58,80.47233,0.0,10.594036,80.21766,18.779999,0.447,Alabama
2023-10-13 06:00:00+00:00,17.13,83.33042,0.0,8.766573,70.8209,18.529999,0.446,Alabama
2023-10-13 07:00:00+00:00,16.929998,84.940186,0.0,7.5942082,58.570484,18.279999,0.445,Alabama
2023-10-13 08:00:00+00:00,17.23,84.15374,0.0,7.7043357,52.594578,18.23,0.445,Alabama
2023-10-13 09:00:00+00:00,17.529999,82.84113,0.0,8.287822,55.6196,18.279999,0.444,Alabama
2023-10-13 10:00:00+00:00,17.429998,83.90522,0.0,8.39657,59.03632,18.279999,0.443,Alabama
2023-10-13 11:00:00+00:00,17.38,84.44238,0.0,7.7879906,56.3099,18.23,0.443,Alabama
2023-10-13 12:00:00+00:00,17.529999,87.77802,0.0,8.161764,48.57643,19.08,0.441,Alabama
2023-10-13 13:00:00+00:00,18.279999,85.3564,0.0,9.531505,79.11452,18.929998,0.441,Alabama
2023-10-13 14:00:00+00:00,18.83,84.601006,0.0,9.36,90.0,19.029999,0.44,Alabama
2023-10-13 15:00:00+00:00,19.779999,81.540596,0.0,11.304229,99.16227,19.279999,0.439,Alabama
2023-10-13 16:00:00+00:00,20.88,78.14463,0.0,9.360001,112.61991,19.779999,0.438,Alabama
2023-10-13 17:00:00+00:00,21.279999,77.71064,0.0,5.815978,111.801476,20.179998,0.437,Alabama
2023-10-13 18:00:00+00:00,21.529999,77.50294,0.0,3.8773184,111.801476,20.48,0.437,Alabama
2023-10-13 19:00:00+00:00,21.88,76.826,0.0,3.319036,102.5288,20.779999,0.436,Alabama
2023-10-13 20:00:00+00:00,22.08,76.61522,0.0,3.8773184,111.801476,21.029999,0.435,Alabama
2023-10-13 21:00:00+00:00,22.179998,76.390015,0.0,4.3498964,114.44395,21.23,0.434,Alabama
2023-10-13 22:00:00+00:00,21.929998,78.792015,0.0,3.8773184,111.801476,21.23,0.434,Alabama
2023-10-13 23:00:00+00:00,21.13,83.52843,0.0,5.3517847,132.27362,21.029999,0.433,Alabama
2023-10-14 00:00:00+00:00,19.58,88.23466,0.0,0.5091169,315.0001,19.98,0.44,Alabama
2023-10-14 01:00:00+00:00,19.33,91.61409,0.0,2.5959969,303.6901,19.779999,0.44,Alabama
2023-10-14 02:00:00+00:00,19.429998,89.90702,0.0,1.2979984,56.309914,19.63,0.439,Alabama
2023-10-14 03:00:00+00:00,19.13,92.76227,0.0,3.9763298,275.19434,19.529999,0.439,Alabama
2023-10-14 04:00:00+00:00,19.179998,92.18331,0.0,1.8,216.86998,19.48,0.439,Alabama
2023-10-14 05:00:00+00:00,18.73,93.03387,0.0,4.6102495,141.34016,19.23,0.438,Alabama
2023-10-14 06:00:00+00:00,17.98,95.38107,0.0,5.0528407,184.08554,18.88,0.438,Alabama
2023-10-14 07:00:00+00:00,17.38,96.57862,0.0,8.209263,217.87505,18.529999,0.437,Alabama
2023-10-14 08:00:00+00:00,17.279999,97.49948,0.0,7.42159,255.96373,18.429998,0.437,Alabama
2023-10-14 09:00:00+00:00,17.429998,97.194,0.0,7.10031,239.53453,18.38,0.437,Alabama
2023-10-14 10:00:00+00:00,16.98,97.49376,0.0,8.089993,249.14546,18.23,0.436,Alabama
2023-10-14 11:00:00+00:00,17.48,95.06144,0.0,8.427383,250.0168,18.23,0.436,Alabama
2023-10-14 12:00:00+00:00,15.78,98.09776,0.0,8.373386,244.5367,18.679998,0.436,Alabama
2023-10-14 13:00:00+00:00,17.38,92.963905,0.0,7.5685663,267.27374,18.58,0.435,Alabama
2023-10-14 14:00:00+00:00,19.429998,84.130226,0.0,7.928178,267.3975,18.98,0.435,Alabama
2023-10-14 15:00:00+00:00,21.929998,73.74254,0.0,12.783802,279.7275,19.779999,0.433,Alabama
2023-10-14 16:00:00+00:00,23.029999,68.97503,0.1,16.215992,267.45526,20.58,0.433,Alabama
2023-10-14 17:00:00+00:00,24.179998,59.057674,0.0,16.23596,273.814,21.48,0.431,Alabama
2023-10-14 18:00:00+00:00,24.73,52.05352,0.0,16.75064,278.65247,22.33,0.429,Alabama
2023-10-14 19:00:00+00:00,24.98,41.71916,0.0,17.227419,280.84027,22.88,0.426,Alabama
2023-10-14 20:00:00+00:00,24.58,40.243023,0.0,17.654686,286.5874,23.179998,0.424,Alabama
2023-10-14 21:00:00+00:00,23.679998,42.052555,0.0,17.25373,293.3556,23.179998,0.422,Alabama
2023-10-14 22:00:00+00:00,22.33,47.024406,0.0,14.654254,297.824,22.83,0.421,Alabama
2023-10-14 23:00:00+00:00,20.23,53.13081,0.0,14.05845,309.8055,22.13,0.42,Alabama
2023-10-15 00:00:00+00:00,18.48,57.680122,0.0,16.199999,306.86996,21.48,0.419,Alabama
2023-10-15 01:00:00+00:00,17.429998,60.7975,0.0,16.08761,310.46216,20.679998,0.419,Alabama
2023-10-15 02:00:00+00:00,16.679998,63.328453,0.0,16.29174,315.0001,19.98,0.418,Alabama
2023-10-15 03:00:00+00:00,15.9800005,64.67663,0.0,15.546833,317.8156,19.38,0.418,Alabama
2023-10-15 04:00:00+00:00,15.38,65.42156,0.0,15.876775,327.03058,18.83,0.418,Alabama
2023-10-15 05:00:00+00:00,14.63,68.42413,0.0,13.70839,330.06857,18.38,0.418,Alabama
2023-10-15 06:00:00+00:00,13.9800005,71.36219,0.0,11.4862,327.8043,17.88,0.417,Alabama
2023-10-15 07:00:00+00:00,13.4800005,73.96765,0.0,10.464797,319.18503,17.429998,0.417,Alabama
2023-10-15 08:00:00+00:00,14.33,70.94898,0.0,10.464797,310.81497,17.279999,0.417,Alabama
2023-10-15 09:00:00+00:00,14.13,72.358894,0.0,11.200571,315.0001,17.13,0.417,Alabama
2023-10-15 10:00:00+00:00,13.88,74.53713,0.0,13.276144,319.39877,16.929998,0.416,Alabama
2023-10-15 11:00:00+00:00,13.2300005,76.717896,0.0,13.493999,316.08084,16.679998,0.416,Alabama
2023-10-15 12:00:00+00:00,12.88,74.616554,0.0,11.808878,322.43134,17.73,0.415,Alabama
2023-10-15 13:00:00+00:00,14.2300005,72.62101,0.0,12.979984,326.3099,17.38,0.415,Alabama
2023-10-15 14:00:00+00:00,15.53,64.35962,0.0,16.42247,333.9967,17.48,0.414,Alabama
2023-10-15 15:00:00+00:00,15.78,61.64748,0.0,18.218275,330.39563,17.63,0.413,Alabama
2023-10-15 16:00:00+00:00,15.63,62.66485,0.0,16.704155,322.88306,17.73,0.413,Alabama
2023-10-15 17:00:00+00:00,16.38,60.95926,0.2,17.884428,319.89914,17.929998,0.413,Alabama
2023-10-15 18:00:00+00:00,16.779999,57.452377,0.0,19.95972,320.85602,18.13,0.412,Alabama
2023-10-15 19:00:00+00:00,16.429998,59.545624,0.1,18.864824,318.09415,18.13,0.412,Alabama
2023-10-15 20:00:00+00:00,16.279999,59.913834,0.0,19.734436,321.66663,18.13,0.411,Alabama
2023-10-15 21:00:00+00:00,16.13,61.1065,0.0,20.380579,324.34457,18.029999,0.41,Alabama
2023-10-15 22:00:00+00:00,15.4800005,66.55453,0.0,18.161278,320.63068,17.83,0.41,Alabama
2023-10-15 23:00:00+00:00,13.93,75.30024,0.0,18.971008,326.61145,17.48,0.41,Alabama
2023-10-16 00:00:00+00:00,13.53,75.48662,0.0,16.09969,333.43503,16.23,0.414,Alabama
2023-10-16 01:00:00+00:00,13.18,71.45245,0.0,16.58346,332.87878,16.08,0.414,Alabama
2023-10-16 02:00:00+00:00,12.18,71.26222,0.0,16.42247,333.9967,15.78,0.414,Alabama
2023-10-16 03:00:00+00:00,11.18,71.31578,0.0,16.45007,336.8014,15.43,0.414,Alabama
2023-10-16 04:00:00+00:00,10.58,71.94406,0.0,15.315873,336.44772,15.03,0.414,Alabama
2023-10-16 05:00:00+00:00,10.33,72.64826,0.0,14.007655,334.09354,14.68,0.413,Alabama
2023-10-16 06:00:00+00:00,9.9800005,74.36726,0.0,13.397612,329.30035,14.33,0.413,Alabama
2023-10-16 07:00:00+00:00,9.63,76.39599,0.0,13.779114,326.7251,14.03,0.413,Alabama
2023-10-16 08:00:00+00:00,9.33,78.49263,0.0,14.277983,326.3099,13.7300005,0.413,Alabama
2023-10-16 09:00:00+00:00,9.08,80.93627,0.0,14.480773,325.1246,13.4800005,0.413,Alabama
2023-10-16 10:00:00+00:00,8.88,83.17569,0.0,14.689588,323.97253,13.2300005,0.413,Alabama
2023-10-16 11:00:00+00:00,8.68,84.890236,0.0,13.896187,323.42688,13.03,0.413,Alabama
2023-10-16 12:00:00+00:00,8.03,86.59676,0.0,13.392774,323.74606,12.03,0.413,Alabama
2023-10-16 13:00:00+00:00,9.2300005,82.64782,0.0,11.246759,320.1945,12.2300005,0.413,Alabama
2023-10-16 14:00:00+00:00,11.28,73.830574,0.0,14.05845,320.1945,12.88,0.412,Alabama
2023-10-16 15:00:00+00:00,13.33,64.5274,0.0,13.324863,321.5819,13.78,0.412,Alabama
2023-10-16 16:00:00+00:00,15.08,54.906338,0.0,13.276144,319.39877,14.83,0.41,Alabama
2023-10-16 17:00:00+00:00,16.33,46.314274,0.0,15.696165,323.39282,15.83,0.409,Alabama
2023-10-16 18:00:00+00:00,17.48,40.2871,0.0,18.374111,325.37576,16.679998,0.407,Alabama
2023-10-16 19:00:00+00:00,18.33,36.868023,0.0,20.188908,328.86108,17.33,0.406,Alabama
2023-10-16 20:00:00+00:00,17.98,39.037975,0.0,19.652176,331.55716,17.679998,0.404,Alabama
2023-10-16 21:00:00+00:00,17.83,39.82552,0.0,19.969458,332.04913,17.83,0.403,Alabama
2023-10-16 22:00:00+00:00,17.029999,44.455322,0.0,15.256526,340.70987,17.679998,0.402,Alabama
2023-10-16 23:00:00+00:00,15.68,50.86099,0.0,11.659777,351.11942,17.279999,0.402,Alabama
2023-10-17 00:00:00+00:00,13.13,59.973827,0.0,10.587917,342.18103,16.98,0.399,Alabama
2023-10-17 01:00:00+00:00,12.83,63.095856,0.0,8.766573,340.8209,16.23,0.399,Alabama
2023-10-17 02:00:00+00:00,12.08,66.508125,0.0,9.83268,336.2505,15.58,0.399,Alabama
2023-10-17 03:00:00+00:00,11.43,69.18327,0.0,10.163227,337.06787,14.9800005,0.399,Alabama
2023-10-17 04:00:00+00:00,11.28,70.35773,0.0,9.531505,349.11453,14.58,0.399,Alabama
2023-10-17 05:00:00+00:00,11.33,71.83743,0.0,7.9932976,352.23492,14.28,0.399,Alabama
2023-10-17 06:00:00+00:00,11.38,72.591736,0.0,7.8625183,344.05453,14.03,0.399,Alabama
2023-10-17 07:00:00+00:00,10.7300005,76.05154,0.0,7.628263,340.70987,13.4800005,0.398,Alabama
2023-10-17 08:00:00+00:00,10.28,78.09776,0.0,8.707238,352.87506,13.08,0.398,Alabama
2023-10-17 09:00:00+00:00,9.63,81.850746,0.0,9.47012,8.746089,12.78,0.398,Alabama
2023-10-17 10:00:00+00:00,9.13,84.94007,0.0,8.759178,9.462248,12.53,0.398,Alabama
2023-10-17 11:00:00+00:00,8.78,87.268394,0.0,8.4042845,9.865748,12.18,0.398,Alabama
2023-10-17 12:00:00+00:00,8.63,87.55442,0.0,7.2,360.0,12.43,0.399,Alabama
2023-10-17 13:00:00+00:00,10.4800005,82.52207,0.0,6.519877,6.3401003,12.53,0.399,Alabama
2023-10-17 14:00:00+00:00,12.93,69.485016,0.0,6.489992,19.440128,13.2300005,0.398,Alabama
2023-10-17 15:00:00+00:00,14.4800005,57.66449,0.0,8.049845,10.304792,14.18,0.397,Alabama
2023-10-17 16:00:00+00:00,16.13,51.691536,0.0,8.287822,357.5105,15.03,0.396,Alabama
2023-10-17 17:00:00+00:00,16.779999,51.334347,0.0,6.830519,341.56494,16.029999,0.395,Alabama
2023-10-17 18:00:00+00:00,17.88,49.21935,0.0,7.42159,337.1663,16.929998,0.394,Alabama
2023-10-17 19:00:00+00:00,18.779999,47.808243,0.0,7.8625183,344.05453,17.679998,0.393,Alabama
2023-10-17 20:00:00+00:00,19.23,47.445305,0.0,8.905908,345.9637,18.179998,0.391,Alabama
2023-10-17 21:00:00+00:00,19.08,48.712204,0.0,8.759178,350.53775,18.429998,0.39,Alabama
2023-10-17 22:00:00+00:00,18.429998,51.600266,0.0,7.5599995,360.0,18.38,0.389,Alabama
2023-10-17 23:00:00+00:00,15.9800005,73.42259,0.0,5.1165614,50.710617,17.63,0.389,Alabama
2023-10-18 00:00:00+00:00,15.13,61.07763,0.0,10.041354,14.534496,17.08,0.387,Alabama
2023-10-18 01:00:00+00:00,14.43,65.43603,0.0,7.4128532,29.054508,16.179998,0.387,Alabama
2023-10-18 02:00:00+00:00,13.53,70.316986,0.0,6.9153743,38.65983,15.33,0.387,Alabama
2023-10-18 03:00:00+00:00,12.7300005,72.34559,0.0,11.212135,42.397392,14.7300005,0.387,Alabama
2023-10-18 04:00:00+00:00,11.88,78.076126,0.0,10.296251,53.530666,14.43,0.387,Alabama
2023-10-18 05:00:00+00:00,11.28,81.50961,0.0,9.885262,56.88865,14.13,0.387,Alabama
2023-10-18 06:00:00+00:00,10.88,82.292145,0.0,9.227524,69.44388,13.7300005,0.387,Alabama
2023-10-18 07:00:00+00:00,10.58,82.81617,0.0,8.311245,72.34979,13.33,0.387,Alabama
2023-10-18 08:00:00+00:00,10.28,83.34566,0.0,7.968939,71.564964,12.93,0.387,Alabama
2023-10-18 09:00:00+00:00,9.9800005,84.4554,0.0,7.208994,87.13766,12.53,0.387,Alabama
2023-10-18 10:00:00+00:00,9.68,85.87625,0.0,5.8603754,100.619606,12.13,0.387,Alabama
2023-10-18 11:00:00+00:00,9.43,86.735275,0.0,5.815978,111.801476,11.83,0.387,Alabama
2023-10-18 12:00:00+00:00,8.63,87.85558,0.0,6.28713,103.24053,9.53,0.388,Alabama
2023-10-18 13:00:00+00:00,10.4800005,82.80377,0.0,7.6367526,98.13002,10.33,0.388,Alabama
2023-10-18 14:00:00+00:00,14.28,71.4189,0.0,4.510787,118.61037,11.7300005,0.388,Alabama
2023-10-18 15:00:00+00:00,17.279999,59.349884,0.0,5.8603754,137.4896,13.43,0.387,Alabama
2023-10-18 16:00:00+00:00,19.08,53.366184,0.0,5.634891,153.43501,15.03,0.386,Alabama
2023-10-18 17:00:00+00:00,20.179998,49.50918,0.0,5.8048253,150.2552,16.48,0.385,Alabama
2023-10-18 18:00:00+00:00,20.88,47.73765,0.0,5.904439,142.43134,17.63,0.384,Alabama
2023-10-18 19:00:00+00:00,21.279999,46.893497,0.0,6.638072,130.60121,18.48,0.382,Alabama
2023-10-18 20:00:00+00:00,21.38,46.76373,0.0,7.127636,135.0001,19.029999,0.381,Alabama
2023-10-18 21:00:00+00:00,21.08,47.792336,0.0,7.9932966,144.16226,19.279999,0.38,Alabama
2023-10-18 22:00:00+00:00,20.08,52.91475,0.0,8.049845,153.43501,19.179998,0.379,Alabama
2023-10-18 23:00:00+00:00,17.63,63.754,0.0,9.387651,147.52882,18.48,0.379,Alabama
2023-10-19 00:00:00+00:00,16.23,70.13471,0.0,9.885262,123.11135,18.58,0.374,Alabama
2023-10-19 01:00:00+00:00,15.7300005,71.69075,0.0,9.178235,115.55992,17.529999,0.374,Alabama
2023-10-19 02:00:00+00:00,15.43,72.35497,0.0,8.373386,115.46331,16.679998,0.374,Alabama
2023-10-19 03:00:00+00:00,15.2300005,72.802505,0.0,9.504273,114.62355,15.9800005,0.374,Alabama
2023-10-19 04:00:00+00:00,14.7300005,75.18275,0.0,11.113451,114.90474,15.58,0.374,Alabama
2023-10-19 05:00:00+00:00,14.03,80.250946,0.0,11.384198,145.30478,15.2300005,0.374,Alabama
2023-10-19 06:00:00+00:00,13.38,84.833954,0.0,10.587917,162.18102,15.03,0.374,Alabama
2023-10-19 07:00:00+00:00,12.78,88.22378,0.0,9.255571,166.50426,14.7300005,0.374,Alabama
2023-10-19 08:00:00+00:00,12.4800005,89.08263,0.0,7.5685663,177.27374,14.33,0.374,Alabama
2023-10-19 09:00:00+00:00,12.13,90.24925,0.0,8.089993,159.14546,13.93,0.374,Alabama
2023-10-19 10:00:00+00:00,11.88,91.44229,0.0,6.830519,161.56496,13.58,0.374,Alabama
2023-10-19 11:00:00+00:00,11.7300005,92.65953,0.0,7.754637,158.19853,13.33,0.374,Alabama
2023-10-19 12:00:00+00:00,11.33,94.825745,0.0,4.510787,151.38963,11.63,0.374,Alabama
2023-10-19 13:00:00+00:00,13.13,92.12771,0.0,7.24486,153.43501,12.33,0.374,Alabama
2023-10-19 14:00:00+00:00,16.279999,82.689705,0.0,6.763786,154.7989,13.58,0.374,Alabama
2023-10-19 15:00:00+00:00,18.529999,74.34923,0.0,8.825508,168.23174,14.9800005,0.373,Alabama
2023-10-19 16:00:00+00:00,20.33,61.072155,0.0,9.178235,191.30989,16.429998,0.372,Alabama
2023-10-19 17:00:00+00:00,21.63,52.270782,0.0,11.988594,221.34767,17.679998,0.371,Alabama
2023-10-19 18:00:00+00:00,21.48,51.20283,0.0,12.261157,220.23628,18.38,0.37,Alabama
2023-10-19 19:00:00+00:00,19.929998,56.518215,0.1,10.948973,207.40749,18.48,0.37,Alabama
2023-10-19 20:00:00+00:00,20.929998,51.057106,0.0,12.287555,211.82741,18.929998,0.37,Alabama
2023-10-19 21:00:00+00:00,20.58,53.755142,0.0,13.217443,209.35765,19.08,0.369,Alabama
2023-10-19 22:00:00+00:00,20.029999,58.445385,0.0,9.83268,203.7495,19.13,0.368,Alabama
2023-10-19 23:00:00+00:00,17.929998,71.15845,0.0,5.0528407,175.91446,18.529999,0.368,Alabama
2023-10-20 00:00:00+00:00,16.929998,74.318886,0.0,7.5942082,148.57048,18.73,0.361,Alabama
2023-10-20 01:00:00+00:00,16.73,72.59137,0.0,10.587917,162.18102,17.929998,0.361,Alabama
2023-10-20 02:00:00+00:00,16.279999,72.75024,0.0,11.304229,170.83772,17.23,0.361,Alabama
2023-10-20 03:00:00+00:00,15.53,76.32077,0.0,10.948973,170.53775,16.73,0.361,Alabama
