date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,22.122002,17.464758,0.0,13.584932,237.99466,24.472,0.23,Arizona
2023-10-13 01:00:00+00:00,20.022001,19.646893,0.0,8.14587,224.9999,23.272001,0.23,Arizona
2023-10-13 02:00:00+00:00,17.222,23.584503,0.0,6.3690495,227.29063,21.722,0.23,Arizona
2023-10-13 03:00:00+00:00,19.022001,19.612597,0.0,2.52,270.0,20.272001,0.23,Arizona
2023-10-13 04:00:00+00:00,15.722,26.434914,0.0,2.968636,345.9637,19.022001,0.23,Arizona
2023-10-13 05:00:00+00:00,14.472,28.433598,0.0,3.563818,315.0001,18.022001,0.23,Arizona
2023-10-13 06:00:00+00:00,13.872,27.422756,0.0,5.4119864,3.8140097,17.122002,0.23,Arizona
2023-10-13 07:00:00+00:00,13.372,25.5738,0.0,6.28713,13.240531,16.522001,0.23,Arizona
2023-10-13 08:00:00+00:00,12.722,22.267067,0.0,6.151683,20.556128,15.922,0.23,Arizona
2023-10-13 09:00:00+00:00,12.222,22.130432,0.0,5.8048253,29.744795,15.372,0.23,Arizona
2023-10-13 10:00:00+00:00,11.822,23.993681,0.0,6.297428,30.963696,14.872,0.23,Arizona
2023-10-13 11:00:00+00:00,11.172,26.441673,0.0,6.6087217,29.357658,14.472,0.23,Arizona
2023-10-13 12:00:00+00:00,10.422,30.475681,0.0,6.489992,33.6901,12.972,0.23,Arizona
2023-10-13 13:00:00+00:00,10.572,31.107075,0.0,5.904439,37.568665,12.822,0.23,Arizona
2023-10-13 14:00:00+00:00,11.172,31.284746,0.0,7.289445,32.905247,12.822,0.23,Arizona
2023-10-13 15:00:00+00:00,13.922,26.823242,0.0,9.178235,41.82009,13.772,0.23,Arizona
2023-10-13 16:00:00+00:00,16.622002,22.554413,0.0,7.4128532,60.94549,15.422,0.23,Arizona
2023-10-13 17:00:00+00:00,18.772001,19.996367,0.0,6.5693827,80.53775,17.322,0.23,Arizona
2023-10-13 18:00:00+00:00,20.972,17.51367,0.0,5.771239,93.57626,19.322,0.23,Arizona
2023-10-13 19:00:00+00:00,22.672,18.196537,0.0,5.937272,104.03627,21.222,0.23,Arizona
2023-10-13 20:00:00+00:00,23.872002,20.481928,0.0,4.3349743,138.36655,22.822,0.23,Arizona
2023-10-13 21:00:00+00:00,24.872002,18.46681,0.0,5.2416787,195.94547,24.072,0.229,Arizona
2023-10-13 22:00:00+00:00,25.122002,18.12733,0.0,7.8954163,223.1524,24.722,0.229,Arizona
2023-10-13 23:00:00+00:00,24.522001,18.92601,0.0,8.707237,240.2552,24.772001,0.229,Arizona
2023-10-14 00:00:00+00:00,23.022001,24.28329,0.0,4.198285,239.0363,24.322,0.229,Arizona
2023-10-14 01:00:00+00:00,21.522001,27.181332,0.0,2.2768397,251.56496,22.772001,0.229,Arizona
2023-10-14 02:00:00+00:00,20.272001,29.563343,0.0,2.5455842,44.999897,21.122002,0.229,Arizona
2023-10-14 03:00:00+00:00,19.522001,30.969551,0.0,3.0758414,20.556128,19.772001,0.229,Arizona
2023-10-14 04:00:00+00:00,19.122002,31.41176,0.0,2.5455842,8.130019,18.722,0.229,Arizona
2023-10-14 05:00:00+00:00,17.522001,34.3564,0.0,2.16,360.0,17.872002,0.229,Arizona
2023-10-14 06:00:00+00:00,15.572,38.20018,0.0,2.52,360.0,17.172,0.229,Arizona
2023-10-14 07:00:00+00:00,14.872,38.82506,0.0,3.671294,11.3098955,16.672,0.229,Arizona
2023-10-14 08:00:00+00:00,14.872,38.82506,0.0,3.4152596,18.435053,16.322,0.229,Arizona
2023-10-14 09:00:00+00:00,14.272,41.237595,0.0,3.4152596,18.435053,15.971999,0.229,Arizona
2023-10-14 10:00:00+00:00,13.772,43.521946,0.0,3.4152596,18.435053,15.622,0.229,Arizona
2023-10-14 11:00:00+00:00,13.572,45.047436,0.0,3.219938,26.564985,15.322,0.229,Arizona
2023-10-14 12:00:00+00:00,12.722,48.30158,0.0,6.696387,36.253937,13.672,0.229,Arizona
2023-10-14 13:00:00+00:00,12.022,50.39355,0.0,3.7064266,29.054508,13.472,0.229,Arizona
2023-10-14 14:00:00+00:00,12.872,50.09237,0.0,2.7416782,23.198618,13.422,0.229,Arizona
2023-10-14 15:00:00+00:00,17.472,39.304436,0.0,4.8433046,41.98713,14.622,0.229,Arizona
2023-10-14 16:00:00+00:00,20.322,33.247032,0.0,4.6800003,67.3801,16.622002,0.229,Arizona
2023-10-14 17:00:00+00:00,22.422,29.336048,0.0,4.379589,80.53775,18.772001,0.229,Arizona
2023-10-14 18:00:00+00:00,24.372002,26.541916,0.0,3.7585104,106.699326,20.922,0.229,Arizona
2023-10-14 19:00:00+00:00,25.872002,24.273197,0.0,3.563818,135.0001,22.922,0.229,Arizona
2023-10-14 20:00:00+00:00,26.972,21.807098,0.0,4.68,180.0,24.522001,0.229,Arizona
2023-10-14 21:00:00+00:00,27.522001,20.237492,0.0,6.28713,203.6294,25.722,0.229,Arizona
2023-10-14 22:00:00+00:00,27.472,19.939745,0.0,8.14587,224.9999,26.322,0.229,Arizona
2023-10-14 23:00:00+00:00,26.722,20.252281,0.0,8.707237,240.2552,26.322,0.229,Arizona
2023-10-15 00:00:00+00:00,24.872002,27.244062,0.0,2.6208394,254.05453,25.472,0.229,Arizona
2023-10-15 01:00:00+00:00,23.322,29.382927,0.0,3.0758414,249.44386,23.722,0.229,Arizona
2023-10-15 02:00:00+00:00,22.072,31.257006,0.0,1.2979984,326.3099,22.022001,0.229,Arizona
2023-10-15 03:00:00+00:00,18.472,40.010773,0.0,4.2136917,340.0168,20.622002,0.229,Arizona
2023-10-15 04:00:00+00:00,18.572,38.93567,0.0,4.896529,342.8972,19.422,0.229,Arizona
2023-10-15 05:00:00+00:00,18.572,37.991924,0.0,4.379589,350.53775,18.472,0.229,Arizona
2023-10-15 06:00:00+00:00,17.222,41.2147,0.0,4.68,360.0,17.672,0.229,Arizona
2023-10-15 07:00:00+00:00,15.372,45.560833,0.0,5.506941,11.3098955,16.922,0.229,Arizona
2023-10-15 08:00:00+00:00,15.372,42.754646,0.0,4.73506,8.746089,16.372002,0.229,Arizona
2023-10-15 09:00:00+00:00,14.972,42.48778,0.0,5.937272,14.036275,15.971999,0.229,Arizona
2023-10-15 10:00:00+00:00,14.572,43.288074,0.0,6.379216,16.389616,15.622,0.229,Arizona
2023-10-15 11:00:00+00:00,14.372,43.230347,0.0,6.151683,20.556128,15.322,0.229,Arizona
2023-10-15 12:00:00+00:00,12.722,48.12966,0.0,7.928177,39.47243,13.222,0.229,Arizona
2023-10-15 13:00:00+00:00,12.372,47.85961,0.0,6.439876,26.564985,13.172,0.229,Arizona
2023-10-15 14:00:00+00:00,13.172,45.255604,0.0,6.9247384,27.897186,13.272,0.229,Arizona
2023-10-15 15:00:00+00:00,16.322,37.60554,0.0,9.422101,43.451904,14.422,0.229,Arizona
