date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,18.417,73.1316,0.0,9.983106,154.35904,20.817001,0.369,Arkansas
2023-10-13 01:00:00+00:00,18.117,74.52098,0.0,11.246759,140.19447,20.367,0.369,Arkansas
2023-10-13 02:00:00+00:00,17.267,79.13427,0.0,8.049845,153.43501,19.867,0.369,Arkansas
2023-10-13 03:00:00+00:00,16.817001,82.48679,0.0,8.557102,157.75093,19.417,0.369,Arkansas
2023-10-13 04:00:00+00:00,16.217001,86.25243,0.0,8.557102,165.37909,18.967001,0.369,Arkansas
2023-10-13 05:00:00+00:00,15.617,90.20549,0.0,6.130579,176.6336,18.567001,0.369,Arkansas
2023-10-13 06:00:00+00:00,15.566999,90.78853,0.0,7.072878,165.2564,18.267,0.369,Arkansas
2023-10-13 07:00:00+00:00,15.066999,93.74897,0.0,5.0528407,184.08554,17.917,0.369,Arkansas
2023-10-13 08:00:00+00:00,15.316999,93.15602,0.0,9.107359,161.56496,17.767,0.369,Arkansas
2023-10-13 09:00:00+00:00,15.316999,93.76069,0.0,10.028439,158.96242,17.617,0.369,Arkansas
2023-10-13 10:00:00+00:00,15.516999,93.467735,0.0,8.766573,160.82089,17.567001,0.369,Arkansas
2023-10-13 11:00:00+00:00,16.617,88.83569,0.0,8.905908,165.96373,17.767,0.37,Arkansas
2023-10-13 12:00:00+00:00,18.117,84.79458,0.0,12.429127,169.99208,19.267,0.367,Arkansas
2023-10-13 13:00:00+00:00,18.317001,84.00557,0.0,16.343367,172.40544,19.317001,0.367,Arkansas
2023-10-13 14:00:00+00:00,18.517,84.56696,0.0,15.509274,158.19853,19.467001,0.367,Arkansas
2023-10-13 15:00:00+00:00,20.417,76.843445,0.0,18.844202,186.58185,20.267,0.367,Arkansas
2023-10-13 16:00:00+00:00,21.317001,73.637344,0.0,18.671474,199.13374,20.917,0.367,Arkansas
2023-10-13 17:00:00+00:00,21.767,73.24849,0.0,18.899143,197.74477,21.317001,0.367,Arkansas
2023-10-13 18:00:00+00:00,22.667,71.80079,0.0,18.837322,206.0753,21.867,0.366,Arkansas
2023-10-13 19:00:00+00:00,23.767,69.336075,0.0,18.03237,206.05344,22.667,0.366,Arkansas
