date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,11.3955,84.329544,0.0,8.714677,231.7098,14.0455,0.333,Connecticut
2023-10-13 01:00:00+00:00,12.1455,78.64728,0.0,8.707237,330.25522,13.195499,0.333,Connecticut
2023-10-13 02:00:00+00:00,11.3955,84.329544,0.0,10.446206,358.0251,12.7455,0.333,Connecticut
2023-10-13 03:00:00+00:00,10.445499,88.31698,0.0,6.763786,334.79892,12.2955,0.333,Connecticut
2023-10-13 04:00:00+00:00,10.9955,81.749466,0.0,7.24486,333.43503,11.8955,0.333,Connecticut
2023-10-13 05:00:00+00:00,11.3455,74.86149,0.0,9.6932955,344.93146,11.945499,0.333,Connecticut
2023-10-13 06:00:00+00:00,10.5955,76.817085,0.0,10.144082,332.52567,11.8455,0.333,Connecticut
2023-10-13 07:00:00+00:00,9.9955,79.13578,0.0,11.923557,331.11353,11.695499,0.334,Connecticut
2023-10-13 08:00:00+00:00,9.2455,80.68004,0.0,12.10157,329.62094,11.4955,0.334,Connecticut
2023-10-13 09:00:00+00:00,8.3955,83.983444,0.0,10.144082,332.52567,11.195499,0.334,Connecticut
2023-10-13 10:00:00+00:00,7.5955,87.76118,0.0,9.904906,340.9064,10.7455,0.334,Connecticut
2023-10-13 11:00:00+00:00,7.1454997,88.331184,0.0,10.495713,329.03632,10.3455,0.334,Connecticut
2023-10-13 12:00:00+00:00,8.195499,78.86807,0.0,10.1887,327.99466,10.7955,0.333,Connecticut
2023-10-13 13:00:00+00:00,9.945499,68.88063,0.0,9.504273,335.37646,11.0955,0.332,Connecticut
2023-10-13 14:00:00+00:00,11.6455,62.603077,0.0,10.24578,341.56494,11.695499,0.332,Connecticut
2023-10-13 15:00:00+00:00,13.445499,56.022476,0.0,8.534353,332.3541,12.5455,0.331,Connecticut
2023-10-13 16:00:00+00:00,14.7955,52.96447,0.0,10.086427,325.17545,13.3955,0.33,Connecticut
2023-10-13 17:00:00+00:00,15.5455,51.17831,0.0,13.18308,325.0079,14.0955,0.329,Connecticut
2023-10-13 18:00:00+00:00,16.4455,46.346752,0.0,14.081477,327.52884,14.695499,0.328,Connecticut
2023-10-13 19:00:00+00:00,16.345499,47.79258,0.0,14.689588,323.97253,15.0455,0.327,Connecticut
2023-10-13 20:00:00+00:00,15.8455,49.513187,0.0,15.277749,325.56094,15.1455,0.326,Connecticut
2023-10-13 21:00:00+00:00,14.8455,54.46728,0.0,11.298495,329.3494,14.945499,0.325,Connecticut
2023-10-13 22:00:00+00:00,12.5955,65.70816,0.0,6.12,331.9276,14.195499,0.325,Connecticut
2023-10-13 23:00:00+00:00,10.5955,77.08128,0.0,6.6087217,299.35767,12.8955,0.325,Connecticut
2023-10-14 00:00:00+00:00,9.8955,74.86941,0.0,5.0911684,278.13,12.445499,0.323,Connecticut
2023-10-14 01:00:00+00:00,10.1455,71.86193,0.0,7.42159,284.03625,11.6455,0.323,Connecticut
2023-10-14 02:00:00+00:00,9.5955,70.762375,0.0,11.27553,286.6993,11.195499,0.323,Connecticut
2023-10-14 03:00:00+00:00,9.6455,69.30275,0.0,10.587917,287.81897,10.9955,0.324,Connecticut
2023-10-14 04:00:00+00:00,9.1455,73.19128,0.0,5.904439,307.56866,10.4955,0.324,Connecticut
2023-10-14 05:00:00+00:00,8.945499,76.28328,0.0,4.6938257,327.52884,10.195499,0.324,Connecticut
2023-10-14 06:00:00+00:00,8.945499,76.01813,0.0,5.506941,348.6901,9.9955,0.324,Connecticut
2023-10-14 07:00:00+00:00,8.945499,77.35212,0.0,5.1544156,347.90527,9.9955,0.324,Connecticut
2023-10-14 08:00:00+00:00,9.0955,78.729355,0.0,4.1046314,322.12494,10.0455,0.324,Connecticut
2023-10-14 09:00:00+00:00,8.945499,80.360016,0.0,4.072935,315.0001,9.945499,0.324,Connecticut
2023-10-14 10:00:00+00:00,8.9955,80.36704,0.0,4.8433046,318.01288,9.8455,0.325,Connecticut
2023-10-14 11:00:00+00:00,8.8955,81.75452,0.0,5.0911684,315.0001,9.7455,0.325,Connecticut
2023-10-14 12:00:00+00:00,9.8455,79.38642,0.0,4.802999,282.99463,9.695499,0.322,Connecticut
2023-10-14 13:00:00+00:00,11.3455,74.605515,0.0,2.3051248,321.34018,10.445499,0.322,Connecticut
2023-10-14 14:00:00+00:00,12.2955,70.31525,0.0,3.319036,347.4712,11.195499,0.322,Connecticut
2023-10-14 15:00:00+00:00,13.0955,66.72572,0.0,2.2768397,341.56494,11.8455,0.321,Connecticut
2023-10-14 16:00:00+00:00,13.0955,65.59182,0.0,1.08,270.0,12.2455,0.321,Connecticut
2023-10-14 17:00:00+00:00,13.4955,64.34341,0.0,4.198285,239.0363,12.6455,0.321,Connecticut
2023-10-14 18:00:00+00:00,12.3955,76.324814,0.3,6.12,208.07239,12.5955,0.323,Connecticut
2023-10-14 19:00:00+00:00,11.9955,84.39746,0.5,5.991594,212.73521,12.4955,0.327,Connecticut
2023-10-14 20:00:00+00:00,11.8955,89.63192,0.5,6.989936,235.49141,12.2955,0.33,Connecticut
2023-10-14 21:00:00+00:00,11.3455,99.66951,0.6,2.9024127,240.2552,12.0955,0.335,Connecticut
2023-10-14 22:00:00+00:00,10.7955,99.66807,0.5,3.396233,302.00534,11.8455,0.342,Connecticut
2023-10-14 23:00:00+00:00,10.2455,99.66664,0.3,5.2416787,344.05453,11.4955,0.346,Connecticut
2023-10-15 00:00:00+00:00,10.1455,100.0,0.2,3.9763298,5.19435,11.2455,0.364,Connecticut
2023-10-15 01:00:00+00:00,10.195499,99.666504,0.4,2.52,90.0,11.0955,0.369,Connecticut
2023-10-15 02:00:00+00:00,10.0455,100.0,0.1,1.1384199,251.56496,10.9955,0.369,Connecticut
2023-10-15 03:00:00+00:00,9.945499,99.66585,0.1,3.2399998,360.0,10.8955,0.369,Connecticut
2023-10-15 04:00:00+00:00,9.8455,99.66559,0.1,5.0528407,4.085537,10.7955,0.369,Connecticut
2023-10-15 05:00:00+00:00,9.8455,97.679726,0.0,7.5942073,354.55975,10.695499,0.368,Connecticut
2023-10-15 06:00:00+00:00,9.7455,97.6779,0.0,12.24,360.0,10.5955,0.367,Connecticut
2023-10-15 07:00:00+00:00,9.445499,95.715576,0.0,13.004921,4.763556,10.445499,0.366,Connecticut
2023-10-15 08:00:00+00:00,9.0455,94.093185,0.0,13.722565,4.5139127,10.2455,0.366,Connecticut
2023-10-15 09:00:00+00:00,8.7955,91.86515,0.0,15.119999,360.0,10.0455,0.365,Connecticut
2023-10-15 10:00:00+00:00,8.6455,89.37642,0.0,16.563911,1.2453395,9.8955,0.364,Connecticut
2023-10-15 11:00:00+00:00,8.5455,87.24613,0.0,15.124284,1.3638979,9.7955,0.363,Connecticut
2023-10-15 12:00:00+00:00,9.0955,81.49913,0.0,14.081478,4.398633,10.3955,0.356,Connecticut
2023-10-15 13:00:00+00:00,10.0955,78.608315,0.0,10.538843,352.14676,10.4955,0.355,Connecticut
2023-10-15 14:00:00+00:00,11.445499,69.18642,0.0,14.003029,342.03076,10.945499,0.354,Connecticut
2023-10-15 15:00:00+00:00,12.7455,60.718216,0.0,20.082708,345.4655,11.5955,0.353,Connecticut
2023-10-15 16:00:00+00:00,13.7455,53.989834,0.0,18.792551,343.3007,12.2455,0.352,Connecticut
2023-10-15 17:00:00+00:00,13.945499,53.29345,0.0,18.837322,333.92468,12.695499,0.35,Connecticut
2023-10-15 18:00:00+00:00,14.0955,53.333317,0.0,17.414474,330.25522,13.0455,0.349,Connecticut
2023-10-15 19:00:00+00:00,14.3955,50.334476,0.0,18.089775,328.84076,13.3455,0.348,Connecticut
2023-10-15 20:00:00+00:00,14.1455,48.528244,0.0,18.671474,326.0035,13.4955,0.346,Connecticut
2023-10-15 21:00:00+00:00,13.2455,53.293648,0.0,13.746156,315.0001,13.3455,0.345,Connecticut
2023-10-15 22:00:00+00:00,11.9955,57.843296,0.0,11.304229,307.23492,12.945499,0.345,Connecticut
2023-10-15 23:00:00+00:00,10.5455,62.78534,0.0,10.685391,302.61923,12.3455,0.345,Connecticut
2023-10-16 00:00:00+00:00,9.8455,67.90248,0.0,12.758432,286.38962,12.0455,0.344,Connecticut
2023-10-16 01:00:00+00:00,9.0955,70.66429,0.0,11.525623,284.47034,11.4955,0.344,Connecticut
2023-10-16 02:00:00+00:00,8.8455,72.37174,0.0,12.313893,285.25516,11.0955,0.344,Connecticut
2023-10-16 03:00:00+00:00,8.445499,76.20047,0.0,11.440978,282.72437,10.7455,0.344,Connecticut
2023-10-16 04:00:00+00:00,8.0455,79.398,0.0,12.074766,280.30478,10.445499,0.343,Connecticut
2023-10-16 05:00:00+00:00,8.4955,78.09297,0.0,11.874544,284.03625,10.3455,0.343,Connecticut
2023-10-16 06:00:00+00:00,8.7455,77.58991,0.0,10.931203,287.24155,10.3455,0.343,Connecticut
2023-10-16 07:00:00+00:00,8.6455,78.935455,0.0,9.9571085,282.5288,10.2955,0.343,Connecticut
2023-10-16 08:00:00+00:00,8.5455,80.86303,0.0,8.759178,279.46225,10.195499,0.342,Connecticut
2023-10-16 09:00:00+00:00,8.445499,82.263466,0.0,8.825508,281.76825,10.0455,0.342,Connecticut
2023-10-16 10:00:00+00:00,8.2455,83.96585,0.0,7.771331,283.39252,9.7955,0.342,Connecticut
2023-10-16 11:00:00+00:00,8.945499,82.89744,0.1,8.707237,299.74478,9.8955,0.343,Connecticut
2023-10-16 12:00:00+00:00,9.5955,84.41173,0.0,9.659814,296.56497,10.195499,0.339,Connecticut
2023-10-16 13:00:00+00:00,11.4955,77.75211,0.0,11.019764,321.63248,10.7455,0.339,Connecticut
2023-10-16 14:00:00+00:00,13.0455,70.94291,0.0,11.720751,317.4896,11.5455,0.338,Connecticut
2023-10-16 15:00:00+00:00,14.4955,58.267376,0.0,14.934577,344.6237,12.3955,0.337,Connecticut
2023-10-16 16:00:00+00:00,15.195499,54.370667,0.1,14.458382,341.1138,13.0955,0.337,Connecticut
2023-10-16 17:00:00+00:00,15.7455,54.140522,0.0,11.726277,342.12122,13.6455,0.336,Connecticut
2023-10-16 18:00:00+00:00,15.0455,58.805237,0.5,9.72,360.0,13.7955,0.339,Connecticut
2023-10-16 19:00:00+00:00,14.3455,64.75331,0.2,9.565437,289.79895,13.7455,0.339,Connecticut
2023-10-16 20:00:00+00:00,12.8955,77.96747,0.1,9.504272,307.30402,13.4955,0.34,Connecticut
2023-10-16 21:00:00+00:00,12.8455,78.486694,0.1,10.464798,356.0549,13.2955,0.34,Connecticut
2023-10-16 22:00:00+00:00,11.7955,79.938484,0.0,9.83268,336.2505,12.7955,0.34,Connecticut
2023-10-16 23:00:00+00:00,10.3455,87.11967,0.0,10.163227,337.06787,12.0455,0.34,Connecticut
2023-10-17 00:00:00+00:00,10.4955,91.660614,0.0,11.090103,305.75397,13.0455,0.336,Connecticut
2023-10-17 01:00:00+00:00,9.945499,95.09002,0.0,10.195057,312.1375,12.0455,0.336,Connecticut
2023-10-17 02:00:00+00:00,9.5455,95.718895,0.0,9.107359,341.56494,11.3455,0.336,Connecticut
2023-10-17 03:00:00+00:00,8.9955,96.67799,0.0,9.422101,353.41815,10.7955,0.336,Connecticut
2023-10-17 04:00:00+00:00,8.695499,96.6702,0.0,8.28,360.0,10.3955,0.335,Connecticut
2023-10-17 05:00:00+00:00,8.2455,96.65845,0.0,6.2145634,349.99207,9.8955,0.335,Connecticut
2023-10-17 06:00:00+00:00,8.0455,96.324036,0.0,7.2359104,354.2895,9.445499,0.335,Connecticut
2023-10-17 07:00:00+00:00,7.6454997,96.973885,0.0,8.4042845,350.13425,9.0955,0.335,Connecticut
2023-10-17 08:00:00+00:00,7.3455,97.299706,0.0,7.968939,341.56494,8.8455,0.335,Connecticut
2023-10-17 09:00:00+00:00,7.0955,97.29437,0.0,8.089993,339.14545,8.6455,0.335,Connecticut
2023-10-17 10:00:00+00:00,6.9455,96.95715,0.0,7.8625183,344.05453,8.4955,0.335,Connecticut
2023-10-17 11:00:00+00:00,6.7955,96.28781,0.0,7.771331,346.60748,8.2455,0.335,Connecticut
2023-10-17 12:00:00+00:00,8.445499,96.33552,0.0,6.9527545,338.74942,9.1455,0.333,Connecticut
2023-10-17 13:00:00+00:00,10.3455,93.521164,0.0,4.896529,342.8972,9.7955,0.333,Connecticut
2023-10-17 14:00:00+00:00,12.195499,84.420006,0.0,6.4799995,360.0,10.7455,0.333,Connecticut
2023-10-17 15:00:00+00:00,13.7955,72.0537,0.0,6.924738,351.02744,11.695499,0.333,Connecticut
2023-10-17 16:00:00+00:00,14.695499,63.95569,0.0,6.9899354,348.11136,12.4955,0.332,Connecticut
2023-10-17 17:00:00+00:00,15.6455,56.584457,0.1,7.072878,345.25638,13.2455,0.331,Connecticut
2023-10-17 18:00:00+00:00,15.5955,57.35173,0.0,8.089993,339.14545,13.695499,0.331,Connecticut
2023-10-17 19:00:00+00:00,15.7455,57.58568,0.0,6.379216,343.61038,13.9955,0.33,Connecticut
2023-10-17 20:00:00+00:00,15.8955,57.231194,0.0,4.802999,347.00537,14.2455,0.329,Connecticut
2023-10-17 21:00:00+00:00,15.0955,69.21307,0.0,2.1897945,9.462248,14.1455,0.328,Connecticut
2023-10-17 22:00:00+00:00,14.4955,72.18329,0.0,1.484318,165.96373,13.3955,0.328,Connecticut
2023-10-17 23:00:00+00:00,13.2455,77.23825,0.0,3.8939953,326.3099,12.3955,0.328,Connecticut
2023-10-18 00:00:00+00:00,10.7455,86.277885,0.0,5.506941,281.3099,12.6455,0.327,Connecticut
2023-10-18 01:00:00+00:00,11.3455,82.91058,0.0,4.379589,279.46225,11.7955,0.327,Connecticut
2023-10-18 02:00:00+00:00,11.7955,79.66818,0.0,2.1897945,170.53775,11.0955,0.327,Connecticut
2023-10-18 03:00:00+00:00,11.2955,81.78854,0.0,0.8049845,206.56499,10.3455,0.327,Connecticut
2023-10-18 04:00:00+00:00,8.8955,90.31752,0.0,3.9763298,264.80566,9.7955,0.327,Connecticut
2023-10-18 05:00:00+00:00,7.7955,94.358765,0.0,5.315336,298.30066,9.3955,0.327,Connecticut
2023-10-18 06:00:00+00:00,8.0455,93.726074,0.0,3.8773184,338.19852,9.0955,0.327,Connecticut
2023-10-18 07:00:00+00:00,7.7955,95.33336,0.0,3.9763298,354.80566,8.7455,0.327,Connecticut
2023-10-18 08:00:00+00:00,6.4455,98.97239,0.0,5.1544156,347.90527,8.4955,0.327,Connecticut
2023-10-18 09:00:00+00:00,6.7955,98.97526,0.0,4.452954,345.9637,8.3455,0.327,Connecticut
2023-10-18 10:00:00+00:00,6.7454996,98.63519,0.0,4.452954,345.9637,8.2455,0.327,Connecticut
2023-10-18 11:00:00+00:00,6.7454996,97.95899,0.0,4.3349743,355.23645,8.2955,0.327,Connecticut
2023-10-18 12:00:00+00:00,7.8455,97.976685,0.0,3.9763298,5.19435,11.5455,0.313,Connecticut
2023-10-18 13:00:00+00:00,9.695499,93.488846,0.0,3.671294,348.6901,11.195499,0.313,Connecticut
2023-10-18 14:00:00+00:00,12.2955,83.866936,0.0,2.9024127,352.87506,11.5955,0.313,Connecticut
2023-10-18 15:00:00+00:00,14.8955,72.49911,0.0,1.484318,75.96373,12.4955,0.312,Connecticut
2023-10-18 16:00:00+00:00,16.7455,58.82149,0.0,0.8049845,153.43501,13.5455,0.312,Connecticut
2023-10-18 17:00:00+00:00,16.9455,54.26778,0.1,3.096837,234.46223,14.195499,0.311,Connecticut
2023-10-18 18:00:00+00:00,16.9455,54.453007,0.0,5.815978,248.19853,14.5955,0.31,Connecticut
2023-10-18 19:00:00+00:00,16.6955,55.5122,0.0,6.989936,235.49141,14.7955,0.31,Connecticut
2023-10-18 20:00:00+00:00,16.4955,57.186733,0.0,5.3517847,227.72638,14.8955,0.309,Connecticut
2023-10-18 21:00:00+00:00,15.7455,66.610825,0.0,5.1165614,219.28938,14.7455,0.309,Connecticut
2023-10-18 22:00:00+00:00,13.8955,72.31573,0.0,10.24578,198.43504,14.1455,0.309,Connecticut
2023-10-18 23:00:00+00:00,12.7955,79.81055,0.0,6.5693827,189.46225,13.695499,0.309,Connecticut
2023-10-19 00:00:00+00:00,12.3955,82.4832,0.0,7.172949,197.52567,14.4955,0.306,Connecticut
2023-10-19 01:00:00+00:00,11.945499,85.24655,0.0,6.162207,186.70975,13.5455,0.306,Connecticut
2023-10-19 02:00:00+00:00,11.1455,87.48971,0.0,6.0347,197.35411,12.5455,0.306,Connecticut
2023-10-19 03:00:00+00:00,10.0455,90.70756,0.0,4.198285,210.96368,11.5955,0.306,Connecticut
2023-10-19 04:00:00+00:00,8.8455,93.44621,0.0,5.6920996,198.43504,10.8455,0.307,Connecticut
2023-10-19 05:00:00+00:00,9.0955,92.51092,0.0,4.0249224,190.3048,10.2955,0.307,Connecticut
2023-10-19 06:00:00+00:00,8.8455,93.44621,0.0,3.9763298,185.19434,9.8955,0.307,Connecticut
2023-10-19 07:00:00+00:00,8.445499,94.06578,0.0,3.9763298,185.19434,9.4955,0.307,Connecticut
2023-10-19 08:00:00+00:00,7.2955,96.96554,0.0,6.2145634,169.99208,9.0955,0.307,Connecticut
2023-10-19 09:00:00+00:00,7.4455,96.306725,0.0,6.28713,193.24052,8.7955,0.307,Connecticut
2023-10-19 10:00:00+00:00,8.3955,93.74299,0.0,5.3999996,216.86998,8.4955,0.307,Connecticut
2023-10-19 11:00:00+00:00,8.5455,92.47934,0.0,3.096837,215.53777,8.2455,0.307,Connecticut
2023-10-19 12:00:00+00:00,9.0955,97.33658,0.0,5.6920996,198.43504,8.8455,0.303,Connecticut
2023-10-19 13:00:00+00:00,12.4955,88.49314,0.0,4.6800003,157.3801,9.9955,0.303,Connecticut
2023-10-19 14:00:00+00:00,15.2955,76.0305,0.1,9.72,180.0,11.3955,0.303,Connecticut
2023-10-19 15:00:00+00:00,16.2955,67.17438,0.2,14.408997,192.99461,12.5455,0.304,Connecticut
2023-10-19 16:00:00+00:00,16.6955,63.54462,0.1,14.934577,195.37631,13.3955,0.304,Connecticut
2023-10-19 17:00:00+00:00,16.7955,63.99414,0.2,16.62249,197.6502,14.0455,0.304,Connecticut
2023-10-19 18:00:00+00:00,16.6455,65.476364,0.0,15.978486,194.34937,14.445499,0.304,Connecticut
2023-10-19 19:00:00+00:00,16.7955,65.72773,0.2,15.546833,185.31445,14.7455,0.305,Connecticut
2023-10-19 20:00:00+00:00,16.345499,69.230446,0.2,14.05845,182.93561,14.7455,0.306,Connecticut
2023-10-19 21:00:00+00:00,15.7455,71.9326,0.0,10.538843,172.14677,14.6455,0.305,Connecticut
2023-10-19 22:00:00+00:00,13.6455,79.930435,0.0,9.885262,169.50858,14.0955,0.305,Connecticut
2023-10-19 23:00:00+00:00,12.0955,79.44205,0.0,11.165805,178.15244,13.3955,0.305,Connecticut
2023-10-20 00:00:00+00:00,11.7955,85.517334,0.0,11.570515,174.64427,13.8955,0.298,Connecticut
2023-10-20 01:00:00+00:00,11.3955,86.63428,0.0,10.823973,176.186,13.195499,0.298,Connecticut
2023-10-20 02:00:00+00:00,11.195499,88.978004,0.0,10.823973,176.186,12.695499,0.299,Connecticut
2023-10-20 03:00:00+00:00,11.0455,92.00302,0.0,10.805999,178.0909,12.2955,0.299,Connecticut
2023-10-20 04:00:00+00:00,10.9955,94.49626,0.0,10.823973,176.186,12.0455,0.299,Connecticut
2023-10-20 05:00:00+00:00,10.9955,96.40746,0.0,11.013882,168.69011,11.8955,0.299,Connecticut
2023-10-20 06:00:00+00:00,11.1455,97.37883,0.0,10.137692,163.49556,11.8455,0.299,Connecticut
2023-10-20 07:00:00+00:00,11.195499,97.37987,0.0,10.24578,161.56496,11.7955,0.299,Connecticut
2023-10-20 08:00:00+00:00,11.4955,97.38595,0.0,11.043261,160.9743,11.8455,0.299,Connecticut
2023-10-20 09:00:00+00:00,11.7455,96.42821,0.0,9.659814,153.43501,11.8955,0.299,Connecticut
2023-10-20 10:00:00+00:00,12.2455,92.99594,0.0,9.178235,138.17992,11.9955,0.3,Connecticut
2023-10-20 11:00:00+00:00,12.0455,92.0632,0.0,10.464797,139.18501,11.8955,0.3,Connecticut
