date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,25.8935,96.78858,0.0,14.529915,221.98714,26.4935,0.295,Florida
2023-10-13 01:00:00+00:00,25.543499,95.34705,1.2,17.935081,218.48022,25.9435,0.308,Florida
2023-10-13 02:00:00+00:00,24.8935,95.03922,0.6,15.580141,220.31403,25.3935,0.308,Florida
2023-10-13 03:00:00+00:00,24.793499,95.89568,0.1,11.119281,209.0545,25.043499,0.303,Florida
2023-10-13 04:00:00+00:00,24.793499,97.34426,0.0,9.826088,208.44283,24.9435,0.298,Florida
2023-10-13 05:00:00+00:00,24.8435,97.92976,0.0,9.178235,205.55992,24.8935,0.295,Florida
2023-10-13 06:00:00+00:00,24.9435,97.93131,0.0,9.220499,218.65984,24.8935,0.292,Florida
2023-10-13 07:00:00+00:00,24.9935,97.93207,0.0,8.913181,223.36346,24.9435,0.289,Florida
2023-10-13 08:00:00+00:00,24.8935,97.93055,0.0,7.42159,230.90614,24.8935,0.287,Florida
2023-10-13 09:00:00+00:00,24.7435,97.92826,0.0,5.8603754,222.5104,24.7435,0.285,Florida
2023-10-13 10:00:00+00:00,24.5935,98.51466,0.0,5.692099,214.69522,24.6435,0.284,Florida
2023-10-13 11:00:00+00:00,24.8935,98.22389,0.0,6.638072,220.60121,24.793499,0.282,Florida
2023-10-13 12:00:00+00:00,25.4435,97.64754,0.0,5.6920996,251.56496,25.8435,0.271,Florida
2023-10-13 13:00:00+00:00,26.4435,93.97167,0.0,8.311245,265.03033,26.0935,0.271,Florida
2023-10-13 14:00:00+00:00,27.6935,88.10368,0.1,7.2359104,275.7105,26.8935,0.27,Florida
2023-10-13 15:00:00+00:00,28.8935,81.91848,0.0,7.342588,281.3099,28.043499,0.269,Florida
2023-10-13 16:00:00+00:00,30.3435,71.416794,0.0,13.004921,274.76355,29.043499,0.267,Florida
2023-10-13 17:00:00+00:00,29.0935,76.51708,0.2,11.609651,277.1249,28.6935,0.267,Florida
2023-10-13 18:00:00+00:00,30.8435,70.65784,0.1,11.726277,252.1212,29.9435,0.265,Florida
2023-10-13 19:00:00+00:00,30.8435,67.96341,0.0,13.358861,255.96373,30.1935,0.262,Florida
2023-10-13 20:00:00+00:00,29.9935,74.62716,0.6,11.113451,245.09526,29.8935,0.265,Florida
2023-10-13 21:00:00+00:00,29.8435,73.058464,0.1,12.224107,256.373,29.6935,0.264,Florida
2023-10-13 22:00:00+00:00,29.3435,72.9734,0.0,11.252519,262.6477,29.293499,0.263,Florida
2023-10-13 23:00:00+00:00,27.9435,77.03535,0.0,7.208994,267.13766,28.4935,0.262,Florida
2023-10-14 00:00:00+00:00,27.293499,79.29907,0.0,10.144082,242.52565,29.3935,0.25,Florida
2023-10-14 01:00:00+00:00,26.7435,81.902565,0.0,9.255571,256.50424,28.293499,0.25,Florida
2023-10-14 02:00:00+00:00,26.0935,85.36143,0.0,9.605998,257.00537,27.543499,0.249,Florida
2023-10-14 03:00:00+00:00,25.4935,88.718834,0.0,8.427383,250.0168,26.9935,0.249,Florida
2023-10-14 04:00:00+00:00,25.1435,91.13285,0.0,10.24578,251.56496,26.5935,0.249,Florida
2023-10-14 05:00:00+00:00,24.793499,94.465996,0.0,10.086427,267.95465,26.293499,0.248,Florida
2023-10-14 06:00:00+00:00,24.543499,96.75657,0.0,9.114471,279.09018,25.9935,0.248,Florida
2023-10-14 07:00:00+00:00,24.293499,97.04212,0.0,9.255571,283.49576,25.793499,0.248,Florida
2023-10-14 08:00:00+00:00,23.9935,96.16139,0.0,9.9571085,282.5288,25.543499,0.248,Florida
2023-10-14 09:00:00+00:00,23.6435,96.151474,0.0,10.636766,293.9625,25.293499,0.247,Florida
2023-10-14 10:00:00+00:00,23.3935,96.14439,0.0,10.636766,293.9625,25.0935,0.247,Florida
2023-10-14 11:00:00+00:00,23.0935,95.84408,0.0,9.83268,293.7495,24.8435,0.247,Florida
2023-10-14 12:00:00+00:00,23.7435,94.42351,0.0,8.891343,301.75943,25.6435,0.246,Florida
