date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,17.459501,84.72354,0.0,13.217443,60.64234,17.959501,0.483,Georgia
2023-10-13 01:00:00+00:00,17.1595,86.0675,0.0,13.363711,62.744755,17.7595,0.483,Georgia
2023-10-13 02:00:00+00:00,16.8095,86.86981,0.0,13.70839,60.068577,17.5595,0.483,Georgia
2023-10-13 03:00:00+00:00,16.5595,86.84614,0.0,12.979984,56.3099,17.4095,0.483,Georgia
2023-10-13 04:00:00+00:00,16.5095,85.72441,0.0,12.783802,57.652576,17.3095,0.483,Georgia
2023-10-13 05:00:00+00:00,16.459501,84.889595,0.0,11.592895,64.23073,17.209501,0.482,Georgia
2023-10-13 06:00:00+00:00,16.4095,84.88422,0.0,10.948973,62.59251,17.1595,0.482,Georgia
2023-10-13 07:00:00+00:00,16.1595,87.65625,0.5,10.805998,60.018444,17.0095,0.486,Georgia
2023-10-13 08:00:00+00:00,15.909499,90.8118,0.4,10.685391,57.380775,16.7595,0.488,Georgia
2023-10-13 09:00:00+00:00,15.7595,92.57932,0.4,11.304229,52.765083,16.5095,0.491,Georgia
2023-10-13 10:00:00+00:00,15.6095,94.07737,0.3,11.304229,52.765083,16.3095,0.492,Georgia
2023-10-13 11:00:00+00:00,15.0595,99.67893,0.5,10.514218,51.952908,16.1595,0.495,Georgia
2023-10-13 12:00:00+00:00,15.6095,95.913414,0.2,11.298495,67.52052,16.8095,0.488,Georgia
2023-10-13 13:00:00+00:00,15.709499,94.99527,0.1,12.768586,68.498505,16.5095,0.488,Georgia
2023-10-13 14:00:00+00:00,15.809499,93.78371,0.1,13.70839,60.068577,16.4095,0.489,Georgia
2023-10-13 15:00:00+00:00,16.6095,89.12178,0.1,12.397806,64.17907,16.5095,0.489,Georgia
2023-10-13 16:00:00+00:00,17.0095,86.60917,0.0,10.464797,63.435013,16.709501,0.488,Georgia
2023-10-13 17:00:00+00:00,18.5595,76.80099,0.0,11.631956,68.19853,17.2595,0.487,Georgia
2023-10-13 18:00:00+00:00,19.459501,72.608055,0.0,10.587918,54.688713,17.8095,0.486,Georgia
2023-10-13 19:00:00+00:00,19.459501,74.506546,0.1,9.290511,54.46224,18.209501,0.486,Georgia
2023-10-13 20:00:00+00:00,19.2595,77.90432,0.3,8.942214,40.10085,18.3595,0.487,Georgia
2023-10-13 21:00:00+00:00,18.0095,99.06103,1.5,6.763786,25.201094,18.3595,0.499,Georgia
2023-10-13 22:00:00+00:00,17.6595,99.68531,3.5,6.9153743,38.65983,18.1595,0.517,Georgia
2023-10-13 23:00:00+00:00,17.2595,99.68434,2.3,6.8777895,42.878906,17.9095,0.518,Georgia
2023-10-14 00:00:00+00:00,17.5095,100.0,0.3,6.379216,16.389616,18.459501,0.489,Georgia
2023-10-14 01:00:00+00:00,17.6595,97.50666,0.1,7.6367526,44.999897,18.1595,0.489,Georgia
