date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,13.752501,89.77387,0.3,32.138947,85.50294,13.4025,0.423,Iowa
2023-10-13 01:00:00+00:00,13.3525,87.40136,0.0,33.121956,89.37726,13.3525,0.42,Iowa
2023-10-13 02:00:00+00:00,13.0525,87.37367,0.1,31.32207,89.34148,13.3025,0.418,Iowa
2023-10-13 03:00:00+00:00,13.252501,86.2406,0.1,30.619051,92.021324,13.2025,0.416,Iowa
2023-10-13 04:00:00+00:00,13.6525,85.99552,0.1,30.190672,98.22664,13.252501,0.415,Iowa
2023-10-13 05:00:00+00:00,14.3525,84.939766,0.1,29.07989,105.06854,13.3525,0.413,Iowa
2023-10-13 06:00:00+00:00,15.1525,83.91826,0.1,27.276978,112.50357,13.5525,0.412,Iowa
2023-10-13 07:00:00+00:00,15.1025,86.707016,0.5,27.059933,123.055824,13.752501,0.415,Iowa
2023-10-13 08:00:00+00:00,16.2525,80.55486,0.0,28.04305,131.87779,13.9525,0.413,Iowa
2023-10-13 09:00:00+00:00,16.5025,78.76618,0.0,30.652895,139.76372,14.2025,0.411,Iowa
2023-10-13 10:00:00+00:00,15.752501,85.92617,1.5,30.25928,145.17545,14.3525,0.426,Iowa
2023-10-13 11:00:00+00:00,15.502501,86.46308,0.7,27.783045,148.78166,14.252501,0.427,Iowa
2023-10-13 12:00:00+00:00,15.6025,88.17789,0.9,28.460497,145.30478,15.1025,0.425,Iowa
2023-10-13 13:00:00+00:00,15.9025,87.91807,0.0,25.759504,153.43501,15.002501,0.421,Iowa
2023-10-13 14:00:00+00:00,16.3525,86.54576,0.0,25.455843,151.2603,15.1525,0.419,Iowa
2023-10-13 15:00:00+00:00,16.7025,85.467224,0.1,25.762016,146.97612,15.4525,0.417,Iowa
2023-10-13 16:00:00+00:00,16.3525,88.81416,0.5,22.90743,149.80847,15.5525,0.418,Iowa
2023-10-13 17:00:00+00:00,17.3525,84.43932,0.0,22.682856,144.0394,15.8525,0.416,Iowa
2023-10-13 18:00:00+00:00,18.4525,80.072876,0.5,20.390114,137.86247,16.7025,0.417,Iowa
2023-10-13 19:00:00+00:00,16.8025,87.99668,0.9,13.32,180.0,16.8025,0.423,Iowa
2023-10-13 20:00:00+00:00,15.4025,91.072266,1.8,11.384198,214.69522,16.3525,0.436,Iowa
2023-10-13 21:00:00+00:00,14.3525,78.18845,2.2,15.379206,253.68607,15.6025,0.439,Iowa
2023-10-13 22:00:00+00:00,13.502501,86.55172,1.7,9.290511,234.46223,14.9025,0.429,Iowa
2023-10-13 23:00:00+00:00,13.002501,90.01424,0.7,10.990322,238.39255,14.3525,0.431,Iowa
2023-10-14 00:00:00+00:00,12.7025,91.79823,2.5,16.92383,246.16125,13.4525,0.445,Iowa
2023-10-14 01:00:00+00:00,12.5525,94.56137,4.1,2.8799999,360.0,13.3525,0.439,Iowa
2023-10-14 02:00:00+00:00,12.1025,95.80256,2.9,23.441502,42.510403,13.3025,0.437,Iowa
2023-10-14 03:00:00+00:00,11.4025,94.51339,0.6,25.140787,29.134203,12.9525,0.434,Iowa
2023-10-14 04:00:00+00:00,10.9025,94.17685,0.3,25.189713,30.963696,12.5525,0.431,Iowa
2023-10-14 05:00:00+00:00,10.4525,92.58802,0.2,26.072052,17.684484,12.2025,0.428,Iowa
2023-10-14 06:00:00+00:00,10.2025,90.71856,0.1,26.82906,11.611463,11.9025,0.425,Iowa
2023-10-14 07:00:00+00:00,10.002501,87.38347,0.0,27.820337,10.437421,11.7025,0.422,Iowa
2023-10-14 08:00:00+00:00,9.8525,84.72983,0.0,27.466372,10.573479,11.6025,0.419,Iowa
2023-10-14 09:00:00+00:00,9.9025,82.16731,0.0,26.882141,7.695961,11.6525,0.417,Iowa
2023-10-14 10:00:00+00:00,9.8525,81.041405,0.0,25.364037,6.5197067,11.7025,0.415,Iowa
2023-10-14 11:00:00+00:00,9.8025,80.47978,0.0,23.0653,2.6837227,11.7025,0.413,Iowa
2023-10-14 12:00:00+00:00,9.3525,82.94784,0.0,21.602999,0.95482427,11.502501,0.417,Iowa
2023-10-14 13:00:00+00:00,9.4525,82.96019,0.0,19.813087,357.91748,11.502501,0.415,Iowa
2023-10-14 14:00:00+00:00,9.752501,81.02785,0.0,21.611998,1.9091109,11.6525,0.413,Iowa
2023-10-14 15:00:00+00:00,10.2025,77.0185,0.0,27.155552,14.588961,11.9025,0.411,Iowa
2023-10-14 16:00:00+00:00,10.5525,74.72467,0.0,26.654589,16.476961,12.1525,0.409,Iowa
2023-10-14 17:00:00+00:00,11.0525,71.04562,0.0,25.671307,22.249084,12.3525,0.408,Iowa
2023-10-14 18:00:00+00:00,11.3525,68.69095,0.0,25.478743,23.304924,12.502501,0.406,Iowa
2023-10-14 19:00:00+00:00,12.1025,65.147934,0.0,23.73271,22.28564,13.002501,0.405,Iowa
2023-10-14 20:00:00+00:00,12.502501,61.722878,0.0,23.03156,24.96276,13.3025,0.403,Iowa
2023-10-14 21:00:00+00:00,13.1525,57.330116,0.0,21.659916,21.44781,13.6025,0.402,Iowa
2023-10-14 22:00:00+00:00,12.9525,54.15918,0.0,21.53089,20.556128,13.5525,0.401,Iowa
2023-10-14 23:00:00+00:00,12.6525,56.210514,0.0,15.716793,20.095322,13.3525,0.4,Iowa
2023-10-15 00:00:00+00:00,10.9525,63.767384,0.0,13.202726,11.003508,12.2025,0.412,Iowa
2023-10-15 01:00:00+00:00,11.002501,63.334,0.0,15.188415,5.4402504,12.1025,0.41,Iowa
2023-10-15 02:00:00+00:00,10.9025,62.210335,0.0,17.106628,8.471065,12.1025,0.408,Iowa
2023-10-15 03:00:00+00:00,10.6025,63.019737,0.0,16.75064,8.652461,12.002501,0.407,Iowa
2023-10-15 04:00:00+00:00,10.3525,64.53029,0.0,15.546833,5.3144655,11.9025,0.405,Iowa
2023-10-15 05:00:00+00:00,10.1525,66.321884,0.0,15.517629,3.9908433,11.752501,0.404,Iowa
2023-10-15 06:00:00+00:00,10.002501,68.89232,0.0,16.919998,360.0,11.7025,0.403,Iowa
2023-10-15 07:00:00+00:00,9.1025,73.18341,0.0,16.595179,3.7313232,11.4025,0.401,Iowa
2023-10-15 08:00:00+00:00,8.2025,76.6952,0.0,18.806337,5.492242,11.002501,0.4,Iowa
2023-10-15 09:00:00+00:00,7.7525,77.43269,0.0,19.083395,1.0809096,10.7025,0.399,Iowa
2023-10-15 10:00:00+00:00,7.7525,76.35288,0.0,18.775301,355.60138,10.6025,0.398,Iowa
2023-10-15 11:00:00+00:00,6.9525003,79.51596,0.0,18.057508,355.42615,10.252501,0.397,Iowa
2023-10-15 12:00:00+00:00,7.2525,79.559944,0.0,16.520823,348.6901,10.502501,0.398,Iowa
2023-10-15 13:00:00+00:00,7.7025003,76.882996,0.0,15.986595,352.23492,10.4025,0.397,Iowa
2023-10-15 14:00:00+00:00,8.3025,73.036545,0.0,17.731598,354.17374,10.6025,0.396,Iowa
2023-10-15 15:00:00+00:00,8.8025,69.37477,0.0,19.813087,357.91748,10.8525,0.395,Iowa
2023-10-15 16:00:00+00:00,9.502501,64.56529,0.0,18.391735,356.6336,11.252501,0.394,Iowa
2023-10-15 17:00:00+00:00,10.9025,55.558815,0.0,21.077686,352.14676,12.3525,0.393,Iowa
2023-10-15 18:00:00+00:00,11.002501,54.605003,0.0,21.566975,345.4998,12.6525,0.392,Iowa
2023-10-15 19:00:00+00:00,11.002501,56.38013,0.0,21.933426,336.8014,12.8025,0.39,Iowa
2023-10-15 20:00:00+00:00,11.6025,52.29148,0.0,20.991426,337.8336,13.002501,0.39,Iowa
2023-10-15 21:00:00+00:00,12.0525,47.257694,0.0,22.461807,338.36905,13.1025,0.388,Iowa
2023-10-15 22:00:00+00:00,11.752501,48.201355,0.0,20.00512,329.74365,13.1025,0.387,Iowa
2023-10-15 23:00:00+00:00,10.9525,51.92832,0.0,16.575644,325.6196,12.7025,0.386,Iowa
2023-10-16 00:00:00+00:00,9.1025,60.04392,0.0,14.255272,315.0001,11.4025,0.385,Iowa
2023-10-16 01:00:00+00:00,8.4525,63.869236,0.0,14.618837,322.00122,10.8525,0.385,Iowa
2023-10-16 02:00:00+00:00,8.2025,65.89366,0.0,16.485485,328.39255,10.4525,0.384,Iowa
2023-10-16 03:00:00+00:00,8.002501,66.32057,0.0,16.516901,339.59003,10.1525,0.384,Iowa
2023-10-16 04:00:00+00:00,7.6025,67.667114,0.0,14.84318,337.1663,9.8525,0.383,Iowa
2023-10-16 05:00:00+00:00,7.2525,69.799706,0.0,14.654254,332.176,9.6025,0.383,Iowa
2023-10-16 06:00:00+00:00,7.2025003,71.550766,0.0,15.683774,328.13406,9.4025,0.382,Iowa
2023-10-16 07:00:00+00:00,7.0525002,75.1657,0.0,15.1884165,328.5705,9.252501,0.382,Iowa
2023-10-16 08:00:00+00:00,6.8525,78.38815,0.0,14.386494,328.2986,9.0525,0.381,Iowa
2023-10-16 09:00:00+00:00,6.5525002,81.15629,0.0,13.70839,330.06857,8.9025,0.381,Iowa
2023-10-16 10:00:00+00:00,6.2025003,83.429214,0.0,13.53236,331.38962,8.7025,0.38,Iowa
2023-10-16 11:00:00+00:00,5.9025,85.17516,0.0,14.336861,331.50446,8.502501,0.38,Iowa
2023-10-16 12:00:00+00:00,5.4525003,90.37713,0.0,13.049689,335.55606,6.9525003,0.38,Iowa
2023-10-16 13:00:00+00:00,5.2525,91.31972,0.0,12.0694,342.64587,7.2025003,0.379,Iowa
2023-10-16 14:00:00+00:00,7.1025,84.12421,0.0,10.931203,342.75845,8.0525,0.379,Iowa
2023-10-16 15:00:00+00:00,9.1525,76.317444,0.0,11.726277,342.12122,9.4025,0.378,Iowa
2023-10-16 16:00:00+00:00,10.9525,69.56692,0.0,13.0447235,332.02063,11.002501,0.377,Iowa
2023-10-16 17:00:00+00:00,12.4525,63.227425,0.0,13.854155,335.43283,12.502501,0.376,Iowa
2023-10-16 18:00:00+00:00,13.5525,58.436134,0.0,15.175612,337.69376,13.8025,0.375,Iowa
2023-10-16 19:00:00+00:00,14.3525,55.481384,0.0,16.434305,331.1893,14.752501,0.373,Iowa
2023-10-16 20:00:00+00:00,14.752501,53.507473,0.0,16.923828,330.70874,15.252501,0.372,Iowa
2023-10-16 21:00:00+00:00,14.8025,52.966335,0.0,16.610792,330.1012,15.3525,0.371,Iowa
2023-10-16 22:00:00+00:00,14.4525,53.61418,0.0,15.315873,330.42227,15.002501,0.37,Iowa
2023-10-16 23:00:00+00:00,12.8525,61.166615,0.0,8.891343,328.24057,14.1525,0.37,Iowa
2023-10-17 00:00:00+00:00,9.502501,74.80137,0.0,10.390226,345.9637,14.9525,0.36,Iowa
2023-10-17 01:00:00+00:00,9.6025,74.04313,0.0,8.350138,352.5687,13.252501,0.36,Iowa
2023-10-17 02:00:00+00:00,9.6525,72.01897,0.0,6.87779,353.9911,11.9025,0.36,Iowa
2023-10-17 03:00:00+00:00,10.6525,66.19897,0.0,4.0249224,10.304792,10.9025,0.36,Iowa
2023-10-17 04:00:00+00:00,10.2025,67.74029,0.0,1.8,53.13002,10.1525,0.36,Iowa
2023-10-17 05:00:00+00:00,9.9525,68.163124,0.0,1.484318,194.03627,9.5525,0.36,Iowa
2023-10-17 06:00:00+00:00,7.5025,79.31802,0.0,6.489992,236.3099,9.0525,0.36,Iowa
2023-10-17 07:00:00+00:00,6.3025002,85.21919,0.0,8.4963045,233.61555,8.6525,0.36,Iowa
2023-10-17 08:00:00+00:00,6.1525,85.50254,0.0,7.9932966,215.83774,8.3025,0.36,Iowa
2023-10-17 09:00:00+00:00,4.8525,91.292854,0.0,8.942214,229.89915,8.002501,0.359,Iowa
2023-10-17 10:00:00+00:00,4.3025002,94.20279,0.0,8.669949,228.36655,7.7525,0.359,Iowa
2023-10-17 11:00:00+00:00,3.9525,95.864685,0.0,7.9932966,234.16226,7.5025,0.359,Iowa
2023-10-17 12:00:00+00:00,3.6025,97.21821,0.0,6.9153743,231.34016,5.5525002,0.359,Iowa
2023-10-17 13:00:00+00:00,3.9525,96.54322,0.0,6.1305785,229.76372,5.8025002,0.359,Iowa
2023-10-17 14:00:00+00:00,7.2025003,85.020775,0.0,8.404285,223.26433,7.0025,0.359,Iowa
2023-10-17 15:00:00+00:00,10.5525,74.72467,0.0,6.763786,205.2011,8.8525,0.359,Iowa
2023-10-17 16:00:00+00:00,13.4025,63.227364,0.0,9.360001,202.6199,10.9025,0.358,Iowa
2023-10-17 17:00:00+00:00,15.3525,54.411663,0.0,12.24,208.07239,12.752501,0.357,Iowa
2023-10-17 18:00:00+00:00,16.5525,48.350327,0.0,14.186923,215.70677,14.252501,0.356,Iowa
2023-10-17 19:00:00+00:00,17.3025,45.628693,0.0,15.0038395,210.25635,15.3025,0.354,Iowa
2023-10-17 20:00:00+00:00,17.8025,43.15002,0.0,16.595179,204.34108,15.952499,0.353,Iowa
2023-10-17 21:00:00+00:00,17.9025,40.550816,0.0,17.399586,204.44394,16.1025,0.352,Iowa
2023-10-17 22:00:00+00:00,17.3525,43.171955,0.0,14.24163,200.72563,15.752501,0.351,Iowa
2023-10-17 23:00:00+00:00,15.1525,50.717663,0.0,9.885262,190.49142,14.9025,0.351,Iowa
2023-10-18 00:00:00+00:00,13.4025,53.71071,0.0,11.609651,172.87508,15.4525,0.342,Iowa
2023-10-18 01:00:00+00:00,13.3025,53.122055,0.0,13.722565,175.4861,14.252501,0.342,Iowa
2023-10-18 02:00:00+00:00,12.8525,54.132748,0.0,15.119999,180.0,13.4025,0.342,Iowa
2023-10-18 03:00:00+00:00,12.3025,55.531174,0.0,15.84409,178.69807,12.8025,0.342,Iowa
2023-10-18 04:00:00+00:00,11.9525,56.02971,0.0,16.563911,178.75467,12.3525,0.342,Iowa
2023-10-18 05:00:00+00:00,11.5525,58.139435,0.0,17.283749,178.80653,12.0525,0.342,Iowa
2023-10-18 06:00:00+00:00,11.252501,59.514122,0.0,17.673029,176.49654,11.8025,0.342,Iowa
2023-10-18 07:00:00+00:00,11.2025,58.669014,0.0,17.654688,177.66275,11.6025,0.342,Iowa
2023-10-18 08:00:00+00:00,11.0525,58.013348,0.0,18.94024,171.25392,11.4525,0.342,Iowa
2023-10-18 09:00:00+00:00,11.002501,57.38823,0.0,18.94024,171.25392,11.3525,0.342,Iowa
2023-10-18 10:00:00+00:00,10.8525,58.16834,0.0,19.469976,176.82024,11.2025,0.342,Iowa
2023-10-18 11:00:00+00:00,11.502501,55.912975,0.0,22.68,180.0,11.3525,0.342,Iowa
2023-10-18 12:00:00+00:00,12.1025,57.26409,0.0,22.461807,186.4415,10.8025,0.344,Iowa
2023-10-18 13:00:00+00:00,11.8025,60.279404,0.0,20.966715,195.94547,10.9525,0.344,Iowa
2023-10-18 14:00:00+00:00,13.002501,60.15114,0.0,18.671474,199.13374,11.4525,0.343,Iowa
2023-10-18 15:00:00+00:00,14.502501,59.89336,0.0,19.878391,215.41714,12.4525,0.343,Iowa
2023-10-18 16:00:00+00:00,15.6525,60.37541,0.0,20.073025,237.45,13.5525,0.342,Iowa
2023-10-18 17:00:00+00:00,16.5025,58.762093,0.0,19.813087,267.91748,14.3525,0.342,Iowa
2023-10-18 18:00:00+00:00,18.2525,48.485554,0.0,20.192118,281.3099,15.8025,0.34,Iowa
2023-10-18 19:00:00+00:00,18.8025,47.97782,0.0,19.493261,274.23633,16.8025,0.339,Iowa
2023-10-18 20:00:00+00:00,19.1025,44.274254,0.0,22.68,270.0,17.4025,0.338,Iowa
2023-10-18 21:00:00+00:00,19.4025,38.499294,0.0,24.216522,264.88278,17.5025,0.337,Iowa
2023-10-18 22:00:00+00:00,17.9025,48.889515,0.0,20.633371,276.0089,17.0025,0.336,Iowa
2023-10-18 23:00:00+00:00,16.6525,54.749447,0.0,19.296133,255.96373,16.3525,0.336,Iowa
2023-10-19 00:00:00+00:00,15.4525,57.315865,0.0,18.374111,272.2457,15.1525,0.353,Iowa
2023-10-19 01:00:00+00:00,14.1025,67.16737,0.0,14.869351,263.04712,14.6525,0.353,Iowa
