date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,13.3545,68.86301,0.0,11.966954,316.2188,14.1545,0.205,Massachusetts
2023-10-13 01:00:00+00:00,12.8545,71.39073,0.0,8.891343,301.75943,13.804501,0.205,Massachusetts
2023-10-13 02:00:00+00:00,11.804501,77.535995,0.0,9.6932955,285.06854,13.3545,0.205,Massachusetts
2023-10-13 03:00:00+00:00,11.6045,78.299805,0.0,8.049845,296.56497,13.1045,0.205,Massachusetts
2023-10-13 04:00:00+00:00,11.7545,76.74103,0.0,8.78872,304.9921,12.9545,0.205,Massachusetts
2023-10-13 05:00:00+00:00,10.4545,81.40031,0.0,10.233123,320.7106,12.554501,0.205,Massachusetts
2023-10-13 06:00:00+00:00,9.2545,84.95382,0.0,11.119281,330.9455,12.054501,0.205,Massachusetts
2023-10-13 07:00:00+00:00,8.4545,86.04412,0.0,11.113451,335.09525,11.6045,0.205,Massachusetts
2023-10-13 08:00:00+00:00,7.7545004,87.47275,0.0,10.163227,337.06787,11.1045,0.205,Massachusetts
2023-10-13 09:00:00+00:00,7.1045003,88.94294,0.0,10.086427,325.17545,10.6045,0.205,Massachusetts
2023-10-13 10:00:00+00:00,6.7045,86.16216,0.0,10.739832,320.44037,10.2045,0.205,Massachusetts
2023-10-13 11:00:00+00:00,6.4545,82.29418,0.0,10.691453,315.0001,9.8545,0.205,Massachusetts
2023-10-13 12:00:00+00:00,8.1045,70.96854,0.0,10.948973,313.66785,9.6545,0.204,Massachusetts
2023-10-13 13:00:00+00:00,9.7545,65.07953,0.0,11.709688,315.0001,10.304501,0.203,Massachusetts
2023-10-13 14:00:00+00:00,11.2545,61.21124,0.0,13.979872,325.4914,11.2045,0.203,Massachusetts
2023-10-13 15:00:00+00:00,13.1545,53.082493,0.0,16.42247,333.9967,12.1545,0.202,Massachusetts
2023-10-13 16:00:00+00:00,14.1545,50.800312,0.0,15.94601,331.69934,13.054501,0.201,Massachusetts
2023-10-13 17:00:00+00:00,15.4045,45.570057,0.0,15.807239,329.9315,13.9545,0.2,Massachusetts
