date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,3.137,99.64714,0.1,8.891343,31.75944,4.787,0.34,Montana
2023-10-13 01:00:00+00:00,2.937,98.94301,0.2,8.161764,48.57643,4.537,0.341,Montana
2023-10-13 02:00:00+00:00,2.687,100.0,0.2,7.5942082,58.570484,4.237,0.343,Montana
2023-10-13 03:00:00+00:00,2.487,100.0,0.3,7.4128532,60.94549,4.037,0.347,Montana
2023-10-13 04:00:00+00:00,2.287,100.0,0.2,6.830519,71.564964,3.8370001,0.349,Montana
2023-10-13 05:00:00+00:00,2.187,100.0,0.1,3.5455887,113.962494,3.687,0.349,Montana
2023-10-13 06:00:00+00:00,2.187,98.584335,0.0,2.3051248,128.65984,3.5870001,0.349,Montana
2023-10-13 07:00:00+00:00,2.437,96.84606,0.0,2.7416782,203.19862,3.5870001,0.348,Montana
2023-10-13 08:00:00+00:00,2.637,96.851105,0.0,1.1384199,161.56496,3.637,0.347,Montana
2023-10-13 09:00:00+00:00,2.487,97.193214,0.0,2.8799999,90.0,3.637,0.347,Montana
2023-10-13 10:00:00+00:00,1.8370001,98.93354,0.0,4.1046314,74.74483,3.437,0.346,Montana
2023-10-13 11:00:00+00:00,1.6370001,99.6428,0.0,3.2599385,83.659904,3.237,0.346,Montana
2023-10-13 12:00:00+00:00,1.687,99.64296,0.1,1.5273507,44.999897,3.187,0.345,Montana
2023-10-13 13:00:00+00:00,1.587,100.0,0.0,1.609969,116.56499,3.0370002,0.345,Montana
2023-10-13 14:00:00+00:00,1.737,99.6431,0.0,3.396233,147.99466,2.987,0.345,Montana
2023-10-13 15:00:00+00:00,2.037,96.14495,0.0,5.937272,165.96373,3.0870001,0.345,Montana
2023-10-13 16:00:00+00:00,2.387,94.1145,0.0,8.669949,184.76355,3.2870002,0.345,Montana
2023-10-13 17:00:00+00:00,2.987,89.22837,0.0,10.587917,197.81898,3.687,0.344,Montana
2023-10-13 18:00:00+00:00,4.387,79.134384,0.0,10.30883,204.77512,4.387,0.344,Montana
2023-10-13 19:00:00+00:00,6.387,63.38849,0.0,7.289445,212.90524,5.337,0.343,Montana
2023-10-13 20:00:00+00:00,7.987,53.994606,0.0,5.04,180.0,6.487,0.341,Montana
2023-10-13 21:00:00+00:00,8.4869995,53.542076,0.0,6.439876,153.43501,7.337,0.34,Montana
2023-10-13 22:00:00+00:00,7.587,56.91868,0.0,10.483357,164.05453,7.6870003,0.338,Montana
2023-10-13 23:00:00+00:00,5.9370003,63.513435,0.0,10.823973,176.186,7.387,0.337,Montana
2023-10-14 00:00:00+00:00,3.8370001,73.255905,0.0,9.178235,191.30989,6.737,0.337,Montana
2023-10-14 01:00:00+00:00,1.3870001,89.09446,0.0,10.296251,216.46933,5.587,0.336,Montana
2023-10-14 02:00:00+00:00,1.287,89.41038,0.0,12.229406,227.38597,4.837,0.336,Montana
2023-10-14 03:00:00+00:00,0.587,88.7016,0.0,12.88981,234.09018,4.187,0.336,Montana
2023-10-14 04:00:00+00:00,0.037,88.97955,0.0,13.684735,234.63745,3.687,0.335,Montana
2023-10-14 05:00:00+00:00,-0.36299998,88.945175,0.0,14.57889,237.09476,3.237,0.335,Montana
2023-10-14 06:00:00+00:00,-0.6629999,88.91927,0.0,15.379206,237.42595,2.8370001,0.335,Montana
2023-10-14 07:00:00+00:00,-0.713,87.28523,0.0,15.990646,238.81508,2.5870001,0.334,Montana
2023-10-14 08:00:00+00:00,-0.613,86.6511,0.0,15.94601,241.69934,2.387,0.334,Montana
2023-10-14 09:00:00+00:00,-0.41299993,86.99264,0.0,15.463246,245.22488,2.237,0.334,Montana
2023-10-14 10:00:00+00:00,-0.31299996,88.62235,0.0,14.986553,245.89777,2.187,0.334,Montana
2023-10-14 11:00:00+00:00,-0.41299993,91.26266,0.0,14.182355,246.0375,2.137,0.333,Montana
2023-10-14 12:00:00+00:00,0.73700005,89.69178,0.0,13.32,251.07526,2.237,0.335,Montana
2023-10-14 13:00:00+00:00,0.587,90.66741,0.0,12.768586,248.4985,2.287,0.334,Montana
2023-10-14 14:00:00+00:00,0.337,92.31983,0.0,13.1041975,249.07542,2.287,0.334,Montana
2023-10-14 15:00:00+00:00,3.5370002,80.44681,0.0,13.049689,245.55606,2.8370001,0.334,Montana
2023-10-14 16:00:00+00:00,6.987,67.29374,0.0,11.885453,234.86572,4.037,0.333,Montana
2023-10-14 17:00:00+00:00,9.137,58.566902,0.0,11.480557,228.81418,5.4370003,0.332,Montana
2023-10-14 18:00:00+00:00,10.387,52.712845,0.0,10.009036,232.3057,6.6870003,0.331,Montana
2023-10-14 19:00:00+00:00,11.487,46.4214,0.0,9.387651,237.52882,7.787,0.33,Montana
2023-10-14 20:00:00+00:00,11.337,44.889515,0.0,9.793058,252.89719,8.4869995,0.329,Montana
2023-10-14 21:00:00+00:00,10.637,47.1957,0.0,7.24486,243.43501,8.687,0.328,Montana
2023-10-14 22:00:00+00:00,10.537,47.85716,0.0,5.0911684,224.9999,8.787,0.327,Montana
2023-10-14 23:00:00+00:00,9.837,50.88058,0.0,4.0249224,243.43501,8.687,0.326,Montana
2023-10-15 00:00:00+00:00,7.787,61.68786,0.0,6.12,241.92761,8.137,0.322,Montana
2023-10-15 01:00:00+00:00,4.837,75.048096,0.0,9.504273,245.37645,6.837,0.322,Montana
2023-10-15 02:00:00+00:00,3.387,84.28561,0.0,11.165805,249.22766,5.987,0.322,Montana
2023-10-15 03:00:00+00:00,3.137,83.953,0.0,12.303366,249.44386,5.387,0.322,Montana
2023-10-15 04:00:00+00:00,2.7870002,84.214874,0.0,12.522619,251.56496,4.987,0.322,Montana
2023-10-15 05:00:00+00:00,2.487,86.02713,0.0,12.522619,251.56496,4.637,0.322,Montana
2023-10-15 06:00:00+00:00,2.437,86.33338,0.0,12.864649,252.07199,4.387,0.322,Montana
2023-10-15 07:00:00+00:00,2.437,86.64592,0.0,12.758432,253.61038,4.187,0.322,Montana
