date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,11.995501,24.990274,0.0,12.181625,18.970512,19.595499,0.038,Nevada
2023-10-13 01:00:00+00:00,11.1955,28.451284,0.0,9.19939,30.579157,17.3955,0.038,Nevada
2023-10-13 02:00:00+00:00,9.545501,40.74494,0.0,6.989936,34.50859,14.8455,0.038,Nevada
2023-10-13 03:00:00+00:00,8.1955,52.495975,0.0,5.8603754,42.510403,12.6955,0.038,Nevada
2023-10-13 04:00:00+00:00,8.0455,48.023716,0.0,4.5536795,108.43504,10.8455,0.038,Nevada
2023-10-13 05:00:00+00:00,7.1454997,50.49995,0.0,5.0528407,94.08554,9.3455,0.038,Nevada
2023-10-13 06:00:00+00:00,5.5955,58.30193,0.0,5.95906,64.98315,8.0955,0.038,Nevada
2023-10-13 07:00:00+00:00,4.0955,65.447716,0.0,5.692099,55.304783,6.9955,0.038,Nevada
2023-10-13 08:00:00+00:00,3.1455002,68.69772,0.0,4.802999,77.00539,6.0455,0.039,Nevada
2023-10-13 09:00:00+00:00,2.6455002,68.59158,0.0,4.3349743,85.23644,5.1454997,0.039,Nevada
2023-10-13 10:00:00+00:00,1.4455,74.7199,0.0,5.0911684,81.86999,4.3455,0.039,Nevada
2023-10-13 11:00:00+00:00,0.6455,77.4024,0.0,5.4119864,86.186005,3.6455002,0.039,Nevada
2023-10-13 12:00:00+00:00,0.1455,80.84887,0.0,6.130579,93.366394,2.6955,0.051,Nevada
2023-10-13 13:00:00+00:00,-0.30449998,79.886795,0.0,5.771239,86.423744,2.2955,0.052,Nevada
2023-10-13 14:00:00+00:00,-0.50450003,79.559296,0.0,5.4119864,86.186005,1.9955,0.052,Nevada
2023-10-13 15:00:00+00:00,1.9455,66.42934,0.0,5.0528407,94.08554,2.5455,0.052,Nevada
2023-10-13 16:00:00+00:00,6.1454997,52.1228,0.0,5.937272,104.03627,4.7955,0.052,Nevada
2023-10-13 17:00:00+00:00,9.0955,37.53368,0.0,8.373386,115.46331,8.1455,0.052,Nevada
2023-10-13 18:00:00+00:00,11.0955,31.025965,0.0,11.720751,137.4896,11.6455,0.051,Nevada
2023-10-13 19:00:00+00:00,11.995501,28.144028,0.0,13.217443,150.64235,14.245501,0.05,Nevada
2023-10-13 20:00:00+00:00,12.545501,26.028646,0.0,12.72283,154.8852,16.095499,0.049,Nevada
2023-10-13 21:00:00+00:00,13.3455,24.514032,0.0,13.089354,148.49579,17.745499,0.048,Nevada
2023-10-13 22:00:00+00:00,13.9455,24.401377,0.0,13.584932,147.99466,18.8955,0.047,Nevada
2023-10-13 23:00:00+00:00,14.245501,23.840546,0.0,12.904882,149.8587,19.1955,0.046,Nevada
2023-10-14 00:00:00+00:00,13.795501,23.715807,0.0,14.186923,144.29323,18.6455,0.044,Nevada
2023-10-14 01:00:00+00:00,12.495501,27.027372,0.0,11.480557,131.18582,16.745499,0.043,Nevada
2023-10-14 02:00:00+00:00,10.545501,37.405807,0.0,8.39657,120.96369,14.3955,0.043,Nevada
2023-10-14 03:00:00+00:00,9.3955,46.8398,0.0,7.10031,120.46546,12.495501,0.043,Nevada
2023-10-14 04:00:00+00:00,8.8955,50.250324,0.0,5.95906,115.01687,11.045501,0.044,Nevada
2023-10-14 05:00:00+00:00,8.8455,46.509537,0.0,7.5942082,121.42952,10.0955,0.044,Nevada
2023-10-14 06:00:00+00:00,7.4455,53.25896,0.0,6.489992,123.6901,8.9455,0.044,Nevada
2023-10-14 07:00:00+00:00,7.9455,46.077194,0.0,5.0911684,98.13002,7.9955,0.044,Nevada
2023-10-14 08:00:00+00:00,6.9455,51.007324,0.0,5.771239,86.423744,7.2455,0.044,Nevada
2023-10-14 09:00:00+00:00,7.4955,44.92805,0.0,5.04,90.0,6.5455,0.044,Nevada
2023-10-14 10:00:00+00:00,8.745501,36.44974,0.0,4.379589,80.53775,5.8455,0.045,Nevada
2023-10-14 11:00:00+00:00,8.6455,36.281696,0.0,4.3349743,85.23644,5.1955,0.045,Nevada
2023-10-14 12:00:00+00:00,6.8455,44.401558,0.0,4.5536795,71.564964,4.4955,0.046,Nevada
2023-10-14 13:00:00+00:00,3.3455,64.07786,0.0,6.130579,86.63361,4.0455,0.046,Nevada
2023-10-14 14:00:00+00:00,4.2955,55.842247,0.0,4.5536795,71.564964,3.6455002,0.047,Nevada
2023-10-14 15:00:00+00:00,5.7455,54.79001,0.0,4.379589,99.46225,4.1455,0.047,Nevada
2023-10-14 16:00:00+00:00,9.495501,44.846947,0.0,4.452954,104.03627,6.4955,0.047,Nevada
2023-10-14 17:00:00+00:00,12.4455,29.365753,0.0,5.4833565,113.19862,9.9455,0.046,Nevada
2023-10-14 18:00:00+00:00,14.295501,25.932968,0.0,7.145796,139.08571,13.745501,0.046,Nevada
2023-10-14 19:00:00+00:00,15.8455,24.010817,0.0,9.028754,156.50142,17.245499,0.044,Nevada
2023-10-14 20:00:00+00:00,17.095499,21.926107,0.0,9.227524,159.44388,20.1955,0.043,Nevada
2023-10-14 21:00:00+00:00,17.8955,20.689762,0.0,8.373386,154.5367,22.4455,0.042,Nevada
2023-10-14 22:00:00+00:00,18.345499,20.113216,0.0,7.9932966,144.16226,23.6955,0.041,Nevada
2023-10-14 23:00:00+00:00,18.4455,19.912159,0.0,9.686609,138.01286,23.7955,0.04,Nevada
2023-10-15 00:00:00+00:00,17.595499,21.08443,0.0,9.504272,142.69597,22.495499,0.04,Nevada
2023-10-15 01:00:00+00:00,15.6955,32.97312,0.0,6.638072,139.39879,20.1955,0.04,Nevada
