date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,13.225,15.146571,0.0,23.166216,314.37048,20.925,0.043,New Mexico
2023-10-13 01:00:00+00:00,11.225,18.42414,0.0,16.92383,321.91116,18.625,0.043,New Mexico
2023-10-13 02:00:00+00:00,10.175,19.9963,0.0,14.113652,322.25314,16.474998,0.043,New Mexico
2023-10-13 03:00:00+00:00,9.325,19.770018,0.0,16.595179,319.39877,14.725,0.043,New Mexico
2023-10-13 04:00:00+00:00,8.825,19.8771,0.0,15.30741,318.81415,13.275001,0.043,New Mexico
2023-10-13 05:00:00+00:00,7.675,23.575907,0.0,11.966954,316.2188,11.925,0.043,New Mexico
2023-10-13 06:00:00+00:00,6.525,27.407604,0.0,10.144082,297.47433,10.625,0.043,New Mexico
2023-10-13 07:00:00+00:00,5.3250003,30.738392,0.0,9.0,286.26028,9.425,0.043,New Mexico
2023-10-13 08:00:00+00:00,4.275,32.423992,0.0,9.565437,289.79895,8.325,0.043,New Mexico
2023-10-13 09:00:00+00:00,3.475,34.57212,0.0,10.239453,280.1246,7.3250003,0.043,New Mexico
2023-10-13 10:00:00+00:00,3.225,35.047997,0.0,11.720751,280.6196,6.525,0.043,New Mexico
2023-10-13 11:00:00+00:00,2.825,36.485683,0.0,12.144331,281.9761,5.8250003,0.043,New Mexico
2023-10-13 12:00:00+00:00,2.0249999,42.958427,0.0,13.009903,284.4208,5.025,0.046,New Mexico
2023-10-13 13:00:00+00:00,2.325,43.727257,0.0,12.768586,291.5015,4.525,0.046,New Mexico
2023-10-13 14:00:00+00:00,4.525,39.539677,0.0,10.829958,291.4478,4.625,0.046,New Mexico
2023-10-13 15:00:00+00:00,8.425,31.305729,0.0,9.360001,292.6199,6.675,0.046,New Mexico
2023-10-13 16:00:00+00:00,10.375,27.353848,0.0,6.3690495,312.70938,10.025001,0.045,New Mexico
2023-10-13 17:00:00+00:00,11.825,23.624586,0.0,2.5959969,303.6901,14.125,0.045,New Mexico
2023-10-13 18:00:00+00:00,13.325,20.51349,0.0,1.609969,206.56499,18.425,0.044,New Mexico
2023-10-13 19:00:00+00:00,14.775001,17.40103,0.0,4.6938252,184.39862,22.175,0.044,New Mexico
2023-10-13 20:00:00+00:00,15.974999,14.4208355,0.0,6.162207,186.70975,24.974998,0.043,New Mexico
2023-10-13 21:00:00+00:00,16.724998,9.57755,0.0,7.8954163,245.77226,26.724998,0.042,New Mexico
2023-10-13 22:00:00+00:00,16.425,8.052972,0.0,16.299694,276.3401,26.775,0.042,New Mexico
2023-10-13 23:00:00+00:00,15.275001,11.040291,0.0,15.034041,286.6993,25.474998,0.042,New Mexico
2023-10-14 00:00:00+00:00,14.225,12.563842,0.0,10.296251,306.46933,23.375,0.043,New Mexico
2023-10-14 01:00:00+00:00,12.425,18.219135,0.0,7.42159,284.03625,20.425,0.043,New Mexico
2023-10-14 02:00:00+00:00,10.975,22.664864,0.0,8.759178,260.53775,17.974998,0.043,New Mexico
2023-10-14 03:00:00+00:00,10.525001,23.07956,0.0,8.311245,274.96964,16.074999,0.043,New Mexico
2023-10-14 04:00:00+00:00,10.175,23.62482,0.0,8.647496,267.6141,14.525001,0.043,New Mexico
2023-10-14 05:00:00+00:00,9.375,24.439972,0.0,9.178235,281.3099,13.075,0.043,New Mexico
2023-10-14 06:00:00+00:00,8.275001,26.953856,0.0,8.78872,304.9921,11.825,0.043,New Mexico
2023-10-14 07:00:00+00:00,8.425,24.752584,0.0,3.0758414,20.556128,10.625,0.043,New Mexico
2023-10-14 08:00:00+00:00,7.125,35.00463,0.0,4.6800003,337.3801,9.575,0.043,New Mexico
2023-10-14 09:00:00+00:00,6.4750004,37.312946,0.0,6.0347,342.64587,8.675,0.043,New Mexico
2023-10-14 10:00:00+00:00,5.4750004,39.981674,0.0,9.504272,37.30404,7.925,0.043,New Mexico
2023-10-14 11:00:00+00:00,4.0750003,54.132915,0.0,6.792466,32.005356,7.275,0.043,New Mexico
2023-10-14 12:00:00+00:00,4.175,54.568584,0.0,2.0991426,59.03632,6.3250003,0.043,New Mexico
2023-10-14 13:00:00+00:00,3.675,58.45722,0.0,1.8,53.13002,5.8250003,0.043,New Mexico
2023-10-14 14:00:00+00:00,3.575,60.881516,0.0,0.8049845,333.43503,5.875,0.043,New Mexico
2023-10-14 15:00:00+00:00,6.3250003,52.756207,0.0,2.6208394,105.945465,7.675,0.043,New Mexico
2023-10-14 16:00:00+00:00,10.125,41.221115,0.0,4.510787,118.61037,10.925,0.043,New Mexico
2023-10-14 17:00:00+00:00,13.875,32.68027,0.0,3.8268526,138.81418,14.975,0.043,New Mexico
2023-10-14 18:00:00+00:00,16.875,27.46139,0.0,3.096837,215.53777,19.425,0.042,New Mexico
2023-10-14 19:00:00+00:00,18.875,24.755028,0.0,9.726665,272.12103,23.275,0.042,New Mexico
2023-10-14 20:00:00+00:00,19.375,22.872234,0.0,18.709612,281.0937,25.625,0.041,New Mexico
2023-10-14 21:00:00+00:00,19.974998,19.931072,0.0,17.935081,280.40765,26.925,0.041,New Mexico
2023-10-14 22:00:00+00:00,19.875,19.905418,0.0,17.555305,285.46127,27.175,0.041,New Mexico
2023-10-14 23:00:00+00:00,19.275,21.607925,0.0,13.684735,296.56497,26.425,0.04,New Mexico
2023-10-15 00:00:00+00:00,16.875,24.568724,0.0,9.107359,288.43503,24.175,0.043,New Mexico
2023-10-15 01:00:00+00:00,14.525001,30.75958,0.0,10.239453,280.1246,21.525,0.043,New Mexico
2023-10-15 02:00:00+00:00,12.625,36.24971,0.0,8.557102,284.6209,19.175,0.043,New Mexico
2023-10-15 03:00:00+00:00,11.525001,38.82807,0.0,9.746631,274.23633,17.175,0.043,New Mexico
2023-10-15 04:00:00+00:00,11.175,38.86757,0.0,9.793058,287.1028,15.525001,0.043,New Mexico
2023-10-15 05:00:00+00:00,10.525001,39.107517,0.0,9.504273,294.62354,14.075,0.043,New Mexico
2023-10-15 06:00:00+00:00,9.525001,41.503407,0.0,8.39657,300.96368,12.825,0.043,New Mexico
2023-10-15 07:00:00+00:00,9.575,36.423496,0.0,2.8799999,360.0,11.625,0.043,New Mexico
2023-10-15 08:00:00+00:00,7.125,53.761223,0.0,5.00128,149.74365,10.525001,0.043,New Mexico
2023-10-15 09:00:00+00:00,6.9750004,51.394444,0.0,1.9386592,111.801476,9.575,0.043,New Mexico
2023-10-15 10:00:00+00:00,6.875,54.89134,0.0,1.8,180.0,8.725,0.043,New Mexico
2023-10-15 11:00:00+00:00,6.525,56.64124,0.0,1.5273507,224.9999,7.925,0.043,New Mexico
2023-10-15 12:00:00+00:00,3.5249999,73.46533,0.0,7.2,216.86998,6.9750004,0.043,New Mexico
2023-10-15 13:00:00+00:00,3.2749999,72.351974,0.0,6.763786,244.7989,6.425,0.043,New Mexico
2023-10-15 14:00:00+00:00,5.4750004,57.84247,0.0,3.8773184,248.19853,6.425,0.043,New Mexico
2023-10-15 15:00:00+00:00,9.475,45.673737,0.0,2.0991426,149.03632,8.375,0.043,New Mexico
2023-10-15 16:00:00+00:00,12.925,36.47241,0.0,2.52,90.0,11.825,0.043,New Mexico
2023-10-15 17:00:00+00:00,15.625,29.847784,0.0,4.1046314,74.74483,16.025,0.043,New Mexico
2023-10-15 18:00:00+00:00,17.474998,25.574036,0.0,5.937272,104.03627,20.224998,0.042,New Mexico
2023-10-15 19:00:00+00:00,18.775,23.308641,0.0,7.729527,117.75845,23.775,0.042,New Mexico
2023-10-15 20:00:00+00:00,19.675,20.920837,0.0,8.39657,120.96369,26.525,0.041,New Mexico
2023-10-15 21:00:00+00:00,20.275,19.418808,0.0,9.085988,123.6901,28.224998,0.041,New Mexico
2023-10-15 22:00:00+00:00,20.375,18.3112,0.0,10.086427,124.82456,28.675,0.04,New Mexico
2023-10-15 23:00:00+00:00,19.875,18.533773,0.0,10.514218,128.04709,27.824999,0.04,New Mexico
2023-10-16 00:00:00+00:00,19.175,17.47279,0.0,9.826088,151.55717,26.375,0.037,New Mexico
2023-10-16 01:00:00+00:00,15.974999,27.004316,0.0,11.720751,132.5104,23.525,0.037,New Mexico
2023-10-16 02:00:00+00:00,13.625,34.46289,0.0,9.726664,128.991,21.025,0.037,New Mexico
2023-10-16 03:00:00+00:00,12.325,38.07472,0.0,7.8954163,114.22774,18.824999,0.037,New Mexico
2023-10-16 04:00:00+00:00,11.225,41.24225,0.0,7.7043357,127.40543,16.925,0.037,New Mexico
2023-10-16 05:00:00+00:00,10.075,45.513103,0.0,6.12,151.92761,15.275001,0.037,New Mexico
2023-10-16 06:00:00+00:00,8.925,53.4663,0.0,3.319036,167.4712,13.825,0.037,New Mexico
2023-10-16 07:00:00+00:00,8.875,48.61627,0.0,2.0364676,135.0001,12.525001,0.037,New Mexico
2023-10-16 08:00:00+00:00,8.425,49.751938,0.0,1.08,90.0,11.375,0.038,New Mexico
2023-10-16 09:00:00+00:00,8.175,50.417103,0.0,1.1384199,18.435053,10.375,0.038,New Mexico
2023-10-16 10:00:00+00:00,7.4750004,54.05382,0.0,3.671294,11.3098955,9.475,0.038,New Mexico
2023-10-16 11:00:00+00:00,6.775,57.96519,0.0,4.379589,9.462248,8.675,0.038,New Mexico
2023-10-16 12:00:00+00:00,5.625,63.440136,0.0,4.0249224,10.304792,7.5750003,0.038,New Mexico
2023-10-16 13:00:00+00:00,5.425,64.325935,0.0,4.452954,345.9637,6.9750004,0.038,New Mexico
2023-10-16 14:00:00+00:00,6.3250003,60.44538,0.0,4.6102495,321.34018,6.9750004,0.039,New Mexico
2023-10-16 15:00:00+00:00,9.075,49.93479,0.0,2.5959969,56.309914,8.875,0.039,New Mexico
2023-10-16 16:00:00+00:00,12.175,40.47516,0.0,4.1046314,105.25517,12.175,0.039,New Mexico
2023-10-16 17:00:00+00:00,15.175,32.581524,0.0,5.3999996,126.86998,16.224998,0.038,New Mexico
2023-10-16 18:00:00+00:00,17.574999,27.558706,0.0,8.209263,127.875046,20.324999,0.038,New Mexico
2023-10-16 19:00:00+00:00,19.275,24.056633,0.0,8.4963045,126.384445,23.925,0.038,New Mexico
2023-10-16 20:00:00+00:00,20.675,21.260435,0.0,6.3690495,132.70937,26.925,0.038,New Mexico
2023-10-16 21:00:00+00:00,21.525,19.445906,0.0,3.6,126.86999,29.074999,0.038,New Mexico
2023-10-16 22:00:00+00:00,21.724998,18.302593,0.0,0.5091169,44.999897,30.025,0.037,New Mexico
2023-10-16 23:00:00+00:00,21.324999,17.799036,0.0,4.1046314,307.87503,29.474998,0.037,New Mexico
2023-10-17 00:00:00+00:00,20.574999,15.41973,0.0,5.991594,302.7352,27.525,0.037,New Mexico
2023-10-17 01:00:00+00:00,17.974998,20.093304,0.0,6.489992,289.44012,24.574999,0.037,New Mexico
2023-10-17 02:00:00+00:00,15.575,24.57683,0.0,9.360001,292.6199,22.025,0.038,New Mexico
2023-10-17 03:00:00+00:00,13.875,28.904638,0.0,8.699793,294.44394,19.824999,0.038,New Mexico
2023-10-17 04:00:00+00:00,12.625,32.43282,0.0,8.089993,290.85452,17.925,0.038,New Mexico
2023-10-17 05:00:00+00:00,11.725,34.797592,0.0,8.557102,284.6209,16.324999,0.038,New Mexico
2023-10-17 06:00:00+00:00,11.225,37.60838,0.0,10.137692,286.50443,14.975,0.038,New Mexico
2023-10-17 07:00:00+00:00,10.675,42.776283,0.0,10.365251,290.3232,13.825,0.038,New Mexico
2023-10-17 08:00:00+00:00,9.775001,48.693768,0.0,8.707237,299.74478,12.825,0.038,New Mexico
2023-10-17 09:00:00+00:00,9.375,51.12248,0.0,9.793059,306.02747,11.925,0.038,New Mexico
2023-10-17 10:00:00+00:00,8.775001,53.425686,0.0,10.296251,306.46933,11.175,0.038,New Mexico
2023-10-17 11:00:00+00:00,8.025001,56.415165,0.0,9.220499,308.65982,10.525001,0.038,New Mexico
2023-10-17 12:00:00+00:00,7.025,65.161064,0.0,7.653705,311.18582,9.525001,0.041,New Mexico
2023-10-17 13:00:00+00:00,6.925,65.845604,0.0,7.653705,311.18582,8.925,0.041,New Mexico
2023-10-17 14:00:00+00:00,8.925,56.242878,0.0,7.42159,309.09384,8.875,0.041,New Mexico
2023-10-17 15:00:00+00:00,13.925,41.43337,0.0,1.609969,333.43503,10.775001,0.041,New Mexico
2023-10-17 16:00:00+00:00,16.875,33.43758,0.0,0.71999997,180.0,14.325,0.041,New Mexico
2023-10-17 17:00:00+00:00,19.724998,26.105543,0.0,2.8799999,270.0,18.625,0.041,New Mexico
