date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,13.433001,71.258415,0.0,12.738099,47.290634,16.532999,0.264,Ohio
2023-10-13 01:00:00+00:00,12.683001,75.85659,0.0,13.891522,58.781662,15.433001,0.264,Ohio
2023-10-13 02:00:00+00:00,12.033,81.33373,0.0,14.007655,64.09355,14.633,0.264,Ohio
2023-10-13 03:00:00+00:00,11.433001,86.05678,0.0,14.372974,67.93205,13.983001,0.264,Ohio
2023-10-13 04:00:00+00:00,10.883,89.252365,0.0,14.658676,65.32315,13.433001,0.264,Ohio
2023-10-13 05:00:00+00:00,10.533,86.25645,0.0,14.24163,69.27436,13.033,0.264,Ohio
2023-10-13 06:00:00+00:00,10.233001,79.71577,0.0,15.256526,70.70986,12.633,0.264,Ohio
2023-10-13 07:00:00+00:00,9.783,76.951225,0.0,14.408997,77.00539,12.333,0.264,Ohio
2023-10-13 08:00:00+00:00,9.333,76.87874,0.0,14.408997,77.00539,11.983001,0.264,Ohio
2023-10-13 09:00:00+00:00,9.083,77.10573,0.0,15.281989,74.98159,11.683001,0.264,Ohio
2023-10-13 10:00:00+00:00,8.883,78.15279,0.0,15.03835,78.95911,11.483001,0.264,Ohio
2023-10-13 11:00:00+00:00,8.783,77.86619,0.0,16.09969,79.69521,11.283,0.264,Ohio
2023-10-13 12:00:00+00:00,8.383,80.84068,0.0,15.815435,78.178535,11.233001,0.265,Ohio
2023-10-13 13:00:00+00:00,9.883,76.173744,0.0,14.618837,80.07382,11.483001,0.265,Ohio
2023-10-13 14:00:00+00:00,12.233001,67.23254,0.0,13.797912,82.50424,12.383,0.265,Ohio
2023-10-13 15:00:00+00:00,14.833,56.572586,0.0,15.546833,84.68555,13.733001,0.264,Ohio
2023-10-13 16:00:00+00:00,16.633,50.593544,0.0,14.081478,94.39862,15.133,0.264,Ohio
2023-10-13 17:00:00+00:00,17.983,47.588062,0.0,13.493999,99.21095,16.483,0.263,Ohio
2023-10-13 18:00:00+00:00,19.133,45.203743,0.0,13.009903,104.420815,17.682999,0.262,Ohio
2023-10-13 19:00:00+00:00,19.633,44.575886,0.0,12.661564,104.82652,18.432999,0.261,Ohio
2023-10-13 20:00:00+00:00,19.883,44.04032,0.0,13.493999,99.21095,18.883,0.26,Ohio
2023-10-13 21:00:00+00:00,19.583,44.257874,0.0,14.044615,91.46877,18.833,0.259,Ohio
2023-10-13 22:00:00+00:00,18.532999,46.76949,0.0,13.32,90.0,18.333,0.259,Ohio
2023-10-13 23:00:00+00:00,16.682999,49.40041,0.0,14.044615,91.46877,17.383,0.259,Ohio
2023-10-14 00:00:00+00:00,14.783,52.961143,0.0,18.014393,87.70944,16.932999,0.257,Ohio
2023-10-14 01:00:00+00:00,14.383,51.940746,0.0,19.813087,92.08252,16.133,0.257,Ohio
2023-10-14 02:00:00+00:00,14.333,48.58049,0.0,20.721119,97.98924,15.633,0.257,Ohio
2023-10-14 03:00:00+00:00,14.383,45.763515,0.0,19.9954,103.53587,15.333,0.257,Ohio
2023-10-14 04:00:00+00:00,13.783,47.577633,0.0,19.523155,112.78245,14.983001,0.257,Ohio
2023-10-14 05:00:00+00:00,12.083,66.050934,0.7,19.130875,109.798965,14.333,0.263,Ohio
2023-10-14 06:00:00+00:00,11.033,83.71931,1.6,13.202726,101.003494,13.133,0.282,Ohio
2023-10-14 07:00:00+00:00,10.983001,82.86597,0.9,4.802999,102.99462,12.683001,0.294,Ohio
2023-10-14 08:00:00+00:00,10.783,83.97438,0.0,11.212135,95.52745,12.283,0.294,Ohio
2023-10-14 09:00:00+00:00,10.383,87.12323,0.0,10.661107,101.68935,11.983001,0.294,Ohio
2023-10-14 10:00:00+00:00,10.733001,88.34193,0.1,10.086427,124.82456,11.883,0.294,Ohio
2023-10-14 11:00:00+00:00,11.783,91.74132,1.6,10.787993,154.2901,12.083,0.315,Ohio
2023-10-14 12:00:00+00:00,12.583,94.25106,0.6,3.096837,125.537766,12.383,0.33,Ohio
2023-10-14 13:00:00+00:00,13.233001,93.97019,3.3,1.1384199,71.564964,12.983001,0.374,Ohio
2023-10-14 14:00:00+00:00,14.183001,94.320404,2.9,5.692099,214.69522,13.783,0.406,Ohio
2023-10-14 15:00:00+00:00,14.333,97.126976,1.9,7.5599995,270.0,14.233001,0.42,Ohio
2023-10-14 16:00:00+00:00,14.083,94.93327,1.6,8.209263,307.87503,14.333,0.419,Ohio
2023-10-14 17:00:00+00:00,14.883,87.54128,0.0,10.931203,342.75845,15.033,0.406,Ohio
2023-10-14 18:00:00+00:00,15.483001,82.863335,0.1,12.904882,329.8587,15.533,0.399,Ohio
2023-10-14 19:00:00+00:00,15.483001,78.61668,0.2,18.161278,320.63068,16.083,0.394,Ohio
2023-10-14 20:00:00+00:00,13.683001,81.55064,0.1,18.581022,324.46225,15.533,0.389,Ohio
2023-10-14 21:00:00+00:00,13.133,80.39525,0.0,20.188908,338.00882,14.983001,0.385,Ohio
2023-10-14 22:00:00+00:00,12.083,78.90459,0.0,22.862125,7.236836,14.533,0.381,Ohio
2023-10-14 23:00:00+00:00,11.083,79.83737,0.0,21.479666,13.5704565,13.983001,0.378,Ohio
2023-10-15 00:00:00+00:00,9.833,89.47084,0.0,20.316889,7.12493,12.133,0.377,Ohio
2023-10-15 01:00:00+00:00,9.933001,87.97298,0.0,19.9954,13.535882,11.733001,0.374,Ohio
2023-10-15 02:00:00+00:00,9.633,86.75518,0.0,20.380579,17.474865,11.483001,0.372,Ohio
2023-10-15 03:00:00+00:00,9.483001,84.39891,0.0,20.833395,18.121958,11.383,0.369,Ohio
2023-10-15 04:00:00+00:00,9.283,84.3761,0.0,18.25026,14.858671,11.283,0.367,Ohio
2023-10-15 05:00:00+00:00,8.433001,90.90435,0.0,16.199999,360.0,10.983001,0.365,Ohio
2023-10-15 06:00:00+00:00,7.733,92.7505,0.0,14.440443,355.71094,10.633,0.363,Ohio
2023-10-15 07:00:00+00:00,8.183001,92.77554,0.1,14.973576,350.31128,10.533,0.362,Ohio
2023-10-15 08:00:00+00:00,8.483001,89.67041,0.1,16.87398,348.92984,10.533,0.361,Ohio
2023-10-15 09:00:00+00:00,8.033,91.50301,0.0,16.946787,347.73523,10.383,0.36,Ohio
2023-10-15 10:00:00+00:00,7.8329997,90.550514,0.0,18.998314,350.18076,10.283,0.358,Ohio
2023-10-15 11:00:00+00:00,7.733,88.995316,0.0,17.935081,349.59235,10.183001,0.357,Ohio
2023-10-15 12:00:00+00:00,6.933,96.62385,0.0,14.33234,334.72232,11.433001,0.352,Ohio
2023-10-15 13:00:00+00:00,7.9830003,89.32321,0.0,14.512064,336.61475,10.983001,0.351,Ohio
2023-10-15 14:00:00+00:00,8.983001,79.81094,0.0,14.81259,334.05774,11.233001,0.35,Ohio
2023-10-15 15:00:00+00:00,9.333,76.347176,0.0,18.388212,336.94867,11.633,0.348,Ohio
2023-10-15 16:00:00+00:00,10.683001,63.26015,0.0,19.64228,333.90463,12.133,0.347,Ohio
2023-10-15 17:00:00+00:00,11.733001,55.77545,0.0,18.678415,332.44727,12.883,0.345,Ohio
2023-10-15 18:00:00+00:00,11.833,53.862198,0.0,17.595861,329.23734,13.283,0.344,Ohio
2023-10-15 19:00:00+00:00,11.283,58.896294,0.1,18.079027,324.72748,13.183001,0.343,Ohio
2023-10-15 20:00:00+00:00,11.733001,55.972805,0.0,18.440998,321.34018,13.433001,0.342,Ohio
