date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,11.812,56.19121,0.0,16.279802,108.03438,11.062,0.396,Oregon
2023-10-13 01:00:00+00:00,10.262,61.40493,0.0,12.9249525,102.87501,10.562,0.395,Oregon
2023-10-13 02:00:00+00:00,7.9119997,74.00048,0.0,11.792404,102.33907,9.562,0.395,Oregon
2023-10-13 03:00:00+00:00,6.712,83.491165,0.0,13.450708,105.52418,8.762,0.394,Oregon
2023-10-13 04:00:00+00:00,6.5119996,83.46689,0.0,14.345898,107.52566,8.212,0.393,Oregon
2023-10-13 05:00:00+00:00,6.562,81.73104,0.0,14.24163,110.72565,7.862,0.393,Oregon
2023-10-13 06:00:00+00:00,6.2619996,82.55971,0.0,14.24163,110.72565,7.562,0.392,Oregon
2023-10-13 07:00:00+00:00,6.112,81.09598,0.0,13.684735,116.56499,7.362,0.392,Oregon
2023-10-13 08:00:00+00:00,5.462,82.750046,0.0,14.007655,115.906456,7.112,0.391,Oregon
2023-10-13 09:00:00+00:00,4.9119997,84.76386,0.0,13.217443,119.357666,6.812,0.391,Oregon
2023-10-13 10:00:00+00:00,3.912,90.583694,0.0,13.217443,119.357666,6.5119996,0.39,Oregon
2023-10-13 11:00:00+00:00,3.162,94.48597,0.0,13.397612,120.699646,6.1619997,0.39,Oregon
2023-10-13 12:00:00+00:00,3.062,94.481606,0.0,13.527572,115.20109,5.1619997,0.389,Oregon
2023-10-13 13:00:00+00:00,3.262,93.82087,0.0,13.202726,115.8663,5.2619996,0.389,Oregon
2023-10-13 14:00:00+00:00,4.012,91.236046,0.0,12.287555,121.82741,5.4119997,0.388,Oregon
2023-10-13 15:00:00+00:00,3.762,91.86939,0.0,13.049689,114.44395,5.4119997,0.388,Oregon
2023-10-13 16:00:00+00:00,7.5119996,79.59787,0.0,11.435313,118.1785,6.112,0.387,Oregon
2023-10-13 17:00:00+00:00,11.712,62.618595,0.0,8.534353,117.64589,7.612,0.386,Oregon
2023-10-13 18:00:00+00:00,14.262,51.008007,0.0,6.989936,124.50858,9.212,0.384,Oregon
2023-10-13 19:00:00+00:00,15.962,43.380924,0.0,6.9247384,152.10283,10.712,0.382,Oregon
2023-10-13 20:00:00+00:00,16.362,37.61722,0.0,9.3876505,184.39862,11.712,0.38,Oregon
2023-10-13 21:00:00+00:00,16.112,35.704567,0.0,9.686609,221.98714,12.262,0.378,Oregon
2023-10-13 22:00:00+00:00,14.962,41.143593,0.0,9.504273,245.37645,12.312,0.377,Oregon
2023-10-13 23:00:00+00:00,13.162001,56.934288,0.0,7.208994,272.86234,11.912001,0.376,Oregon
2023-10-14 00:00:00+00:00,10.762,72.47736,0.1,7.342588,258.6901,11.462,0.377,Oregon
2023-10-14 01:00:00+00:00,9.512,83.25272,0.5,2.52,270.0,10.712,0.381,Oregon
2023-10-14 02:00:00+00:00,8.762,97.991234,1.1,1.609969,26.564985,9.962,0.391,Oregon
2023-10-14 03:00:00+00:00,9.112,82.34878,0.8,0.35999998,360.0,9.312,0.4,Oregon
2023-10-14 04:00:00+00:00,7.962,97.31278,0.4,2.4149535,116.56499,8.912001,0.404,Oregon
2023-10-14 05:00:00+00:00,8.512,89.98056,0.2,5.4119864,93.814,8.662001,0.404,Oregon
2023-10-14 06:00:00+00:00,6.812,95.29738,0.0,7.289444,110.22495,8.112,0.402,Oregon
2023-10-14 07:00:00+00:00,5.462,97.59808,0.0,8.707237,119.74479,7.5119996,0.4,Oregon
2023-10-14 08:00:00+00:00,6.6619997,94.635506,0.0,9.387651,122.471176,7.4119997,0.398,Oregon
2023-10-14 09:00:00+00:00,7.212,92.72135,0.1,8.39657,120.96369,7.5119996,0.397,Oregon
2023-10-14 10:00:00+00:00,7.062,94.652214,0.0,6.989936,124.50858,7.562,0.396,Oregon
2023-10-14 11:00:00+00:00,6.7619996,94.31326,0.0,4.8965297,126.027466,7.4119997,0.395,Oregon
2023-10-14 12:00:00+00:00,6.5119996,85.24217,0.0,4.5820518,135.0001,6.9119997,0.391,Oregon
2023-10-14 13:00:00+00:00,6.362,84.33304,0.0,4.072935,135.0001,6.5119996,0.39,Oregon
2023-10-14 14:00:00+00:00,5.7619996,86.06438,0.0,4.8433046,131.98714,6.112,0.389,Oregon
2023-10-14 15:00:00+00:00,6.112,88.8595,0.0,5.904439,127.568665,6.1619997,0.388,Oregon
2023-10-14 16:00:00+00:00,8.112,88.72075,0.0,7.8954163,133.1524,6.862,0.387,Oregon
2023-10-14 17:00:00+00:00,10.862,77.12371,0.0,5.3999996,143.13002,8.112,0.386,Oregon
2023-10-14 18:00:00+00:00,12.412001,61.701466,0.0,9.255571,193.49574,9.412001,0.385,Oregon
2023-10-14 19:00:00+00:00,12.512,57.97338,0.0,10.365251,200.32323,10.012,0.384,Oregon
2023-10-14 20:00:00+00:00,13.812,52.701874,0.0,15.990646,211.18492,10.862,0.382,Oregon
2023-10-14 21:00:00+00:00,14.062,51.31208,0.0,15.9134655,217.64769,11.462,0.38,Oregon
2023-10-14 22:00:00+00:00,12.662001,61.333637,0.0,10.00256,239.74365,11.462,0.379,Oregon
2023-10-14 23:00:00+00:00,11.412001,72.84739,0.2,5.0528407,265.91446,11.112,0.38,Oregon
2023-10-15 00:00:00+00:00,9.762,90.68765,0.3,3.319036,102.5288,10.412001,0.384,Oregon
2023-10-15 01:00:00+00:00,9.512,91.90943,0.1,2.6208394,105.945465,9.962,0.384,Oregon
2023-10-15 02:00:00+00:00,9.312,90.347946,0.1,2.6208394,105.945465,9.512,0.384,Oregon
2023-10-15 03:00:00+00:00,8.812,91.866165,0.0,0.8049845,116.56499,9.212,0.383,Oregon
2023-10-15 04:00:00+00:00,9.962,81.61391,0.0,0.8049845,116.56499,8.962,0.383,Oregon
2023-10-15 05:00:00+00:00,8.862,87.27615,0.0,0.8049845,153.43501,8.762,0.382,Oregon
2023-10-15 06:00:00+00:00,8.762,85.78036,0.1,2.0991426,120.96369,8.662001,0.382,Oregon
2023-10-15 07:00:00+00:00,8.712,84.020485,0.0,2.2768397,108.43504,8.462,0.382,Oregon
2023-10-15 08:00:00+00:00,8.462,85.74881,0.0,4.510787,118.61037,8.262,0.381,Oregon
2023-10-15 09:00:00+00:00,8.112,89.95018,0.0,3.4152596,108.43504,8.212,0.381,Oregon
2023-10-15 10:00:00+00:00,6.562,93.00669,0.0,4.0249224,116.56499,7.712,0.38,Oregon
2023-10-15 11:00:00+00:00,5.712,97.60286,0.0,6.9247384,117.89718,7.4119997,0.38,Oregon
2023-10-15 12:00:00+00:00,6.812,96.288284,0.0,8.373386,115.46331,7.9119997,0.377,Oregon
2023-10-15 13:00:00+00:00,6.862,95.62839,0.0,9.659814,116.56499,7.812,0.377,Oregon
2023-10-15 14:00:00+00:00,6.4119997,96.60994,0.0,10.787993,115.70991,7.612,0.376,Oregon
2023-10-15 15:00:00+00:00,6.962,94.64804,0.0,11.119281,119.05451,7.562,0.376,Oregon
2023-10-15 16:00:00+00:00,8.962,88.18704,0.0,10.636766,113.962494,7.962,0.376,Oregon
2023-10-15 17:00:00+00:00,13.162001,73.41332,0.0,7.7043357,127.40543,9.212,0.375,Oregon
2023-10-15 18:00:00+00:00,15.112,66.476326,0.7,7.7879906,123.6901,10.762,0.38,Oregon
2023-10-15 19:00:00+00:00,14.312,71.424934,0.0,6.830519,108.43504,11.262,0.379,Oregon
2023-10-15 20:00:00+00:00,16.962,64.892265,0.0,5.634891,116.56499,12.562,0.377,Oregon
2023-10-15 21:00:00+00:00,18.562,58.087322,0.0,3.6,126.86999,13.762,0.375,Oregon
2023-10-15 22:00:00+00:00,18.962,56.46422,0.0,1.9386592,201.80147,14.512,0.373,Oregon
2023-10-15 23:00:00+00:00,18.462,59.435776,0.0,1.835647,191.30989,14.762,0.372,Oregon
2023-10-16 00:00:00+00:00,17.412,62.44256,0.0,2.1897945,260.53775,14.912001,0.36,Oregon
2023-10-16 01:00:00+00:00,14.562,80.32431,0.0,1.2979984,123.690094,13.912001,0.36,Oregon
2023-10-16 02:00:00+00:00,13.162001,82.5787,0.0,5.634891,116.56499,12.762,0.36,Oregon
2023-10-16 03:00:00+00:00,10.812,92.919304,0.0,9.659814,116.56499,12.012,0.36,Oregon
2023-10-16 04:00:00+00:00,10.212,92.88689,0.0,10.630672,118.30067,11.412001,0.36,Oregon
2023-10-16 05:00:00+00:00,9.712,93.48967,0.0,10.948973,117.40749,11.012,0.36,Oregon
2023-10-16 06:00:00+00:00,9.362,93.78939,0.0,10.383987,123.690094,10.662001,0.36,Oregon
2023-10-16 07:00:00+00:00,8.712,95.69109,0.0,10.685391,122.61923,10.312,0.36,Oregon
2023-10-16 08:00:00+00:00,8.612,94.71622,0.0,9.585739,124.286934,10.012,0.36,Oregon
2023-10-16 09:00:00+00:00,8.462,93.74621,0.0,8.287822,124.3804,9.762,0.36,Oregon
2023-10-16 10:00:00+00:00,8.262,93.41671,0.0,7.289445,122.90524,9.562,0.36,Oregon
2023-10-16 11:00:00+00:00,8.712,89.076164,0.0,4.8433046,131.98714,9.362,0.359,Oregon
2023-10-16 12:00:00+00:00,9.062,87.29507,0.0,4.3349743,138.36655,9.562,0.361,Oregon
2023-10-16 13:00:00+00:00,9.662001,86.46258,0.0,5.6233797,140.19447,9.312,0.361,Oregon
