date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,12.9939995,79.83864,0.0,11.384199,251.56496,14.944,0.202,Rhode Island
2023-10-13 01:00:00+00:00,12.294,83.02653,0.0,10.8955765,262.40546,14.2439995,0.202,Rhode Island
2023-10-13 02:00:00+00:00,11.944,82.98387,0.0,11.440979,294.14554,13.7439995,0.203,Rhode Island
2023-10-13 03:00:00+00:00,12.394,75.0408,0.0,11.988594,318.6523,13.4939995,0.203,Rhode Island
2023-10-13 04:00:00+00:00,12.194,68.62665,0.0,11.808878,322.43134,13.294,0.203,Rhode Island
2023-10-13 05:00:00+00:00,11.544,71.63121,0.0,10.587918,324.6887,13.044,0.203,Rhode Island
2023-10-13 06:00:00+00:00,10.844,76.07038,0.0,11.212135,317.6026,12.7439995,0.203,Rhode Island
2023-10-13 07:00:00+00:00,10.394,78.923386,0.0,11.4862,327.8043,12.444,0.203,Rhode Island
2023-10-13 08:00:00+00:00,9.944,80.776215,0.0,11.966953,338.83865,12.194,0.203,Rhode Island
2023-10-13 09:00:00+00:00,9.144,82.352875,0.0,10.931203,342.75845,11.794,0.203,Rhode Island
2023-10-13 10:00:00+00:00,8.2439995,84.54882,0.0,11.440978,347.27563,11.344,0.203,Rhode Island
2023-10-13 11:00:00+00:00,7.744,83.90682,0.0,11.435313,331.8215,10.944,0.203,Rhode Island
2023-10-13 12:00:00+00:00,9.144,71.420815,0.0,13.202726,334.1337,11.294,0.204,Rhode Island
2023-10-13 13:00:00+00:00,10.594,64.1336,0.0,13.37825,336.19403,11.644,0.204,Rhode Island
2023-10-13 14:00:00+00:00,12.044,57.249207,0.0,15.141414,331.6071,12.344,0.203,Rhode Island
2023-10-13 15:00:00+00:00,13.2439995,55.775448,0.0,13.779114,326.7251,13.144,0.202,Rhode Island
2023-10-13 16:00:00+00:00,14.394,52.673595,0.0,13.276144,319.39877,13.944,0.201,Rhode Island
2023-10-13 17:00:00+00:00,14.9939995,53.017265,0.0,13.746156,315.0001,14.594,0.2,Rhode Island
2023-10-13 18:00:00+00:00,15.794,49.671284,0.0,15.03835,312.08908,15.144,0.199,Rhode Island
2023-10-13 19:00:00+00:00,16.294,45.027737,0.0,15.484185,324.46225,15.544,0.198,Rhode Island
2023-10-13 20:00:00+00:00,16.294,42.418236,0.0,15.1884165,328.5705,15.694,0.197,Rhode Island
2023-10-13 21:00:00+00:00,15.444,48.04261,0.0,11.4862,327.8043,15.4939995,0.197,Rhode Island
2023-10-13 22:00:00+00:00,13.2439995,56.166256,0.0,9.686609,318.01288,14.7439995,0.196,Rhode Island
2023-10-13 23:00:00+00:00,11.694,61.102425,0.0,10.990322,301.60745,13.794,0.196,Rhode Island
2023-10-14 00:00:00+00:00,11.044,66.05374,0.0,10.685391,302.61923,13.294,0.201,Rhode Island
2023-10-14 01:00:00+00:00,10.194,69.89938,0.0,11.792404,301.26367,12.644,0.201,Rhode Island
2023-10-14 02:00:00+00:00,10.044,70.11341,0.0,11.808878,307.56866,12.2439995,0.201,Rhode Island
2023-10-14 03:00:00+00:00,9.694,71.77623,0.0,11.792404,301.26367,11.894,0.201,Rhode Island
2023-10-14 04:00:00+00:00,9.444,73.50137,0.0,12.24,298.0724,11.594,0.201,Rhode Island
2023-10-14 05:00:00+00:00,9.194,74.487854,0.0,12.074766,296.56497,11.394,0.201,Rhode Island
2023-10-14 06:00:00+00:00,8.944,75.75352,0.0,11.592895,295.76926,11.144,0.202,Rhode Island
2023-10-14 07:00:00+00:00,8.9939995,75.76193,0.0,11.609651,299.74478,10.9939995,0.202,Rhode Island
2023-10-14 08:00:00+00:00,8.894,76.27477,0.0,11.304229,307.23492,10.844,0.202,Rhode Island
2023-10-14 09:00:00+00:00,9.4939995,73.76673,0.0,10.00256,300.25635,10.894,0.202,Rhode Island
2023-10-14 10:00:00+00:00,8.944,76.01787,0.0,10.805998,299.98157,10.794,0.202,Rhode Island
2023-10-14 11:00:00+00:00,9.294,74.765175,0.0,9.826088,298.4428,10.794,0.202,Rhode Island
2023-10-14 12:00:00+00:00,10.4939995,71.92783,0.0,10.315115,299.24872,9.944,0.208,Rhode Island
2023-10-14 13:00:00+00:00,11.2439995,72.56662,0.0,7.729527,297.75842,10.7439995,0.208,Rhode Island
2023-10-14 14:00:00+00:00,13.544,63.47734,0.0,7.6367526,315.0001,11.944,0.207,Rhode Island
2023-10-14 15:00:00+00:00,14.694,55.37778,0.0,6.8777895,317.1211,13.044,0.206,Rhode Island
2023-10-14 16:00:00+00:00,15.444,49.23093,0.0,7.072878,284.74362,13.894,0.205,Rhode Island
2023-10-14 17:00:00+00:00,15.394,48.365623,0.0,9.007196,272.29056,14.344,0.204,Rhode Island
2023-10-14 18:00:00+00:00,14.4939995,51.609177,0.0,10.08,270.0,14.294,0.204,Rhode Island
2023-10-14 19:00:00+00:00,13.894,55.36269,0.1,11.183201,266.3087,14.144,0.204,Rhode Island
2023-10-14 20:00:00+00:00,12.844,63.755817,0.1,8.825508,258.23172,13.694,0.204,Rhode Island
2023-10-14 21:00:00+00:00,12.2439995,70.788345,0.1,9.346143,254.3577,13.294,0.205,Rhode Island
2023-10-14 22:00:00+00:00,11.444,78.54231,0.2,7.628263,250.70985,12.7439995,0.207,Rhode Island
2023-10-14 23:00:00+00:00,10.794,86.28277,0.2,6.5693827,260.53775,12.2439995,0.208,Rhode Island
2023-10-15 00:00:00+00:00,10.094,90.40471,0.1,4.0249224,333.43503,11.394,0.213,Rhode Island
2023-10-15 01:00:00+00:00,9.394,99.6644,0.5,3.096837,324.46225,10.9939995,0.217,Rhode Island
2023-10-15 02:00:00+00:00,9.894,93.81472,0.1,2.0991426,239.0363,10.894,0.218,Rhode Island
2023-10-15 03:00:00+00:00,9.944,91.31636,0.0,1.484318,284.03625,10.794,0.218,Rhode Island
2023-10-15 04:00:00+00:00,9.794,94.76428,0.0,4.6800003,337.3801,10.694,0.218,Rhode Island
2023-10-15 05:00:00+00:00,9.644,95.399895,0.0,9.3669195,357.79745,10.544,0.218,Rhode Island
2023-10-15 06:00:00+00:00,9.694,94.1226,0.0,10.239453,10.124612,10.444,0.218,Rhode Island
2023-10-15 07:00:00+00:00,9.594,90.98409,0.0,13.358861,14.036275,10.344,0.218,Rhode Island
2023-10-15 08:00:00+00:00,9.444,86.73665,0.0,13.896187,16.557161,10.144,0.218,Rhode Island
2023-10-15 09:00:00+00:00,9.2439995,84.37165,0.0,16.039202,9.039405,10.044,0.218,Rhode Island
2023-10-15 10:00:00+00:00,9.144,81.505585,0.0,16.215992,2.5447557,10.044,0.218,Rhode Island
2023-10-15 11:00:00+00:00,9.194,80.67292,0.1,16.575644,2.4894993,10.044,0.218,Rhode Island
2023-10-15 12:00:00+00:00,10.144,72.61382,0.0,17.643673,358.83087,10.544,0.216,Rhode Island
2023-10-15 13:00:00+00:00,10.644,73.71719,0.0,17.026896,346.55136,10.944,0.215,Rhode Island
2023-10-15 14:00:00+00:00,11.594,68.03177,0.0,17.81909,351.87,11.394,0.215,Rhode Island
2023-10-15 15:00:00+00:00,13.194,58.753727,0.0,18.228943,350.9098,12.2439995,0.214,Rhode Island
2023-10-15 16:00:00+00:00,13.7439995,52.49941,0.0,18.228943,350.9098,12.794,0.213,Rhode Island
2023-10-15 17:00:00+00:00,13.344,52.946945,0.0,17.654686,343.41257,12.944,0.212,Rhode Island
2023-10-15 18:00:00+00:00,13.194,53.09306,0.0,15.7908325,335.77228,12.944,0.211,Rhode Island
2023-10-15 19:00:00+00:00,14.4939995,47.441704,0.0,17.873556,332.4028,13.444,0.21,Rhode Island
2023-10-15 20:00:00+00:00,14.394,46.419247,0.0,17.283749,324.3235,13.644,0.21,Rhode Island
2023-10-15 21:00:00+00:00,13.4939995,52.801544,0.0,14.264361,317.0454,13.544,0.209,Rhode Island
2023-10-15 22:00:00+00:00,12.044,57.450684,0.0,10.97262,311.009,13.144,0.209,Rhode Island
2023-10-15 23:00:00+00:00,10.4939995,63.438953,0.0,10.883676,304.21576,12.394,0.208,Rhode Island
2023-10-16 00:00:00+00:00,9.894,66.49866,0.0,11.726277,287.87878,12.044,0.212,Rhode Island
2023-10-16 01:00:00+00:00,8.894,70.87319,0.0,11.367109,280.954,11.444,0.212,Rhode Island
2023-10-16 02:00:00+00:00,8.344,73.818115,0.0,12.682018,276.5197,10.9939995,0.211,Rhode Island
2023-10-16 03:00:00+00:00,8.094,75.87551,0.0,13.202726,281.00348,10.644,0.211,Rhode Island
2023-10-16 04:00:00+00:00,8.144,76.15033,0.0,13.084402,277.90707,10.444,0.211,Rhode Island
2023-10-16 05:00:00+00:00,8.594,74.122246,0.0,13.202726,281.00348,10.344,0.211,Rhode Island
2023-10-16 06:00:00+00:00,8.844,73.90783,0.0,13.009903,284.4208,10.344,0.211,Rhode Island
2023-10-16 07:00:00+00:00,8.894,74.956696,0.0,13.1041975,285.94547,10.344,0.211,Rhode Island
2023-10-16 08:00:00+00:00,9.094,76.57353,0.0,13.708391,293.1986,10.444,0.211,Rhode Island
2023-10-16 09:00:00+00:00,9.144,78.19295,0.0,12.224107,283.627,10.444,0.211,Rhode Island
2023-10-16 10:00:00+00:00,8.294,82.529724,0.0,12.9249525,282.875,10.2439995,0.211,Rhode Island
2023-10-16 11:00:00+00:00,8.594,81.43223,0.0,13.5515,286.9909,10.194,0.211,Rhode Island
2023-10-16 12:00:00+00:00,9.094,83.201836,0.0,14.336861,298.49554,10.144,0.213,Rhode Island
2023-10-16 13:00:00+00:00,11.144,77.69758,0.0,11.4862,302.1957,10.794,0.213,Rhode Island
2023-10-16 14:00:00+00:00,12.7439995,66.42209,0.1,16.746773,334.53668,11.694,0.213,Rhode Island
2023-10-16 15:00:00+00:00,13.444,61.731567,0.1,13.1041975,339.07544,12.394,0.212,Rhode Island
2023-10-16 16:00:00+00:00,14.094,56.579933,0.1,12.758432,343.61038,13.094,0.212,Rhode Island
2023-10-16 17:00:00+00:00,14.194,57.39407,0.0,11.384199,341.56494,13.4939995,0.211,Rhode Island
2023-10-16 18:00:00+00:00,13.794,61.81388,0.1,10.1887,327.99466,13.644,0.211,Rhode Island
2023-10-16 19:00:00+00:00,14.644,60.546577,0.2,6.696387,323.74606,13.944,0.211,Rhode Island
2023-10-16 20:00:00+00:00,11.944,83.82602,3.3,12.413476,343.1415,13.644,0.25,Rhode Island
2023-10-16 21:00:00+00:00,11.394,84.32938,0.1,8.0899935,327.72437,12.7439995,0.249,Rhode Island
2023-10-16 22:00:00+00:00,10.394,90.73195,0.0,9.565437,340.20102,11.9939995,0.247,Rhode Island
2023-10-16 23:00:00+00:00,9.844,92.866875,0.0,9.693296,338.19852,11.344,0.246,Rhode Island
2023-10-17 00:00:00+00:00,10.044,90.4011,0.0,9.585739,325.71307,12.594,0.207,Rhode Island
2023-10-17 01:00:00+00:00,9.694,91.92063,0.0,10.1887,327.99466,11.844,0.207,Rhode Island
2023-10-17 02:00:00+00:00,9.194,93.46374,0.0,11.659777,351.11942,11.294,0.207,Rhode Island
2023-10-17 03:00:00+00:00,8.944,94.72978,0.0,10.661107,348.31067,10.894,0.207,Rhode Island
2023-10-17 04:00:00+00:00,8.4939995,95.68378,0.0,10.661107,348.31067,10.544,0.207,Rhode Island
2023-10-17 05:00:00+00:00,8.344,95.67872,0.0,9.904906,340.9064,10.294,0.207,Rhode Island
2023-10-17 06:00:00+00:00,8.2439995,94.70114,0.0,9.826088,331.55716,10.044,0.207,Rhode Island
2023-10-17 07:00:00+00:00,8.044,95.34239,0.0,10.703569,340.3461,9.844,0.207,Rhode Island
2023-10-17 08:00:00+00:00,7.9440002,95.013275,0.0,11.090103,346.86597,9.694,0.207,Rhode Island
2023-10-17 09:00:00+00:00,7.7939997,95.33331,0.0,10.483357,344.05453,9.544,0.207,Rhode Island
2023-10-17 10:00:00+00:00,7.694,95.656746,0.0,10.739833,346.42953,9.394,0.207,Rhode Island
2023-10-17 11:00:00+00:00,7.494,95.322365,0.0,9.904906,340.9064,9.2439995,0.207,Rhode Island
2023-10-17 12:00:00+00:00,9.194,91.889824,0.0,9.227524,339.44388,9.694,0.214,Rhode Island
2023-10-17 13:00:00+00:00,10.844,86.873055,0.0,7.5685663,334.65387,10.394,0.214,Rhode Island
2023-10-17 14:00:00+00:00,12.294,81.64261,0.0,7.69592,349.21573,11.2439995,0.214,Rhode Island
2023-10-17 15:00:00+00:00,13.794,70.606964,0.1,9.346143,15.642312,12.2439995,0.214,Rhode Island
2023-10-17 16:00:00+00:00,14.594,62.639286,0.0,7.42159,22.833694,13.044,0.213,Rhode Island
2023-10-17 17:00:00+00:00,15.294,57.47274,0.1,5.8048253,29.744795,13.7439995,0.213,Rhode Island
2023-10-17 18:00:00+00:00,15.344,57.880344,0.0,5.00128,30.256361,14.194,0.212,Rhode Island
2023-10-17 19:00:00+00:00,15.044,59.41177,0.0,3.563818,44.999897,14.344,0.211,Rhode Island
