date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,17.165,86.34569,0.0,9.504272,52.695976,18.365,0.277,South Carolina
2023-10-13 01:00:00+00:00,17.415,85.81654,0.0,8.587338,56.976128,18.065,0.276,South Carolina
2023-10-13 02:00:00+00:00,17.315,86.08298,0.0,8.714677,51.709793,17.815,0.275,South Carolina
2023-10-13 03:00:00+00:00,17.115,85.23458,0.0,8.39657,59.03632,17.615,0.273,South Carolina
2023-10-13 04:00:00+00:00,16.115,88.22192,0.0,7.9932966,54.16227,17.165,0.272,South Carolina
2023-10-13 05:00:00+00:00,15.365,89.89483,0.0,7.928177,50.52757,16.665,0.271,South Carolina
2023-10-13 06:00:00+00:00,14.964999,90.158325,0.0,7.2,53.13002,16.215,0.271,South Carolina
2023-10-13 07:00:00+00:00,14.665,89.842575,0.0,7.42159,50.906155,15.865,0.27,South Carolina
2023-10-13 08:00:00+00:00,14.365,90.11459,0.0,8.913181,43.36347,15.615,0.269,South Carolina
2023-10-13 09:00:00+00:00,14.214999,90.399315,0.0,9.585739,34.286938,15.514999,0.268,South Carolina
2023-10-13 10:00:00+00:00,14.214999,91.59064,0.0,9.693296,31.328646,15.464999,0.268,South Carolina
2023-10-13 11:00:00+00:00,14.565,92.51281,0.0,9.085988,33.6901,15.565,0.267,South Carolina
2023-10-13 12:00:00+00:00,15.415,90.190926,0.0,8.942214,40.10085,16.065,0.266,South Carolina
2023-10-13 13:00:00+00:00,16.665,87.137054,0.0,7.928177,50.52757,16.515001,0.266,South Carolina
2023-10-13 14:00:00+00:00,17.915,83.422264,0.0,8.049845,63.435013,17.065,0.265,South Carolina
2023-10-13 15:00:00+00:00,19.215,76.40999,0.0,9.793058,72.89719,17.765001,0.264,South Carolina
2023-10-13 16:00:00+00:00,20.165,69.975914,0.0,9.255571,76.50425,18.465,0.262,South Carolina
2023-10-13 17:00:00+00:00,19.615,73.10605,0.4,8.891344,68.62931,18.665,0.265,South Carolina
2023-10-13 18:00:00+00:00,19.815,72.43767,0.4,9.387651,57.528828,18.715,0.266,South Carolina
2023-10-13 19:00:00+00:00,20.565,70.05255,0.0,7.10031,59.53454,18.965,0.265,South Carolina
2023-10-13 20:00:00+00:00,21.115,67.72203,0.0,8.39657,59.03632,19.315,0.264,South Carolina
2023-10-13 21:00:00+00:00,21.015001,68.1392,0.0,8.427383,70.01681,19.465,0.263,South Carolina
2023-10-13 22:00:00+00:00,20.665,70.07167,0.0,7.2359104,84.2895,19.465,0.262,South Carolina
2023-10-13 23:00:00+00:00,19.865,72.9149,0.0,7.5685663,87.27374,19.215,0.261,South Carolina
2023-10-14 00:00:00+00:00,17.715,84.75122,0.0,6.489992,56.3099,18.315,0.258,South Carolina
2023-10-14 01:00:00+00:00,17.665,85.56665,0.0,7.5942082,58.570484,17.865,0.258,South Carolina
2023-10-14 02:00:00+00:00,17.565,86.94091,0.0,7.8954163,43.152412,17.615,0.258,South Carolina
2023-10-14 03:00:00+00:00,18.065,87.26601,0.0,9.793058,72.89719,17.665,0.257,South Carolina
2023-10-14 04:00:00+00:00,17.715,91.51419,0.2,9.346143,74.3577,17.615,0.259,South Carolina
2023-10-14 05:00:00+00:00,17.515001,99.05745,1.7,10.661107,78.31066,17.665,0.278,South Carolina
2023-10-14 06:00:00+00:00,18.115,96.29333,0.1,9.885262,79.50858,17.815,0.277,South Carolina
2023-10-14 07:00:00+00:00,18.315,97.2127,0.0,11.090103,103.13403,17.965,0.275,South Carolina
2023-10-14 08:00:00+00:00,18.615,97.219025,0.0,8.759178,99.46225,18.165,0.274,South Carolina
2023-10-14 09:00:00+00:00,18.865,97.83518,0.0,7.8954163,114.22774,18.365,0.273,South Carolina
2023-10-14 10:00:00+00:00,18.365,100.0,0.6,8.825508,281.76825,18.415,0.279,South Carolina
2023-10-14 11:00:00+00:00,17.665,99.3715,2.6,7.928177,320.52756,18.215,0.31,South Carolina
2023-10-14 12:00:00+00:00,17.865,98.12776,0.8,7.6367526,315.0001,18.865,0.329,South Carolina
2023-10-14 13:00:00+00:00,18.015001,97.51336,0.0,9.255571,283.49576,18.515001,0.317,South Carolina
2023-10-14 14:00:00+00:00,18.165,95.689026,0.0,11.304229,279.16226,18.465,0.309,South Carolina
2023-10-14 15:00:00+00:00,19.915,84.18412,0.0,16.854767,289.9832,19.015001,0.304,South Carolina
2023-10-14 16:00:00+00:00,21.165,77.69341,0.0,17.58481,292.8906,19.715,0.299,South Carolina
2023-10-14 17:00:00+00:00,22.465,72.21968,0.0,16.676977,283.7363,20.615,0.295,South Carolina
2023-10-14 18:00:00+00:00,23.615,66.30776,0.0,17.873556,279.27252,21.365,0.291,South Carolina
2023-10-14 19:00:00+00:00,24.465,63.208008,0.0,18.72346,268.89832,21.965,0.288,South Carolina
2023-10-14 20:00:00+00:00,24.965,59.431572,0.0,21.322214,258.31067,22.415,0.285,South Carolina
2023-10-14 21:00:00+00:00,24.415,62.005657,0.0,21.434364,262.27826,22.565,0.282,South Carolina
2023-10-14 22:00:00+00:00,23.465,65.23291,0.0,17.462782,255.67725,22.265001,0.28,South Carolina
2023-10-14 23:00:00+00:00,22.515001,65.239265,0.0,16.965895,252.71841,21.765001,0.279,South Carolina
2023-10-15 00:00:00+00:00,21.315,67.32812,0.0,17.447933,248.19853,20.165,0.28,South Carolina
2023-10-15 01:00:00+00:00,20.765001,67.43309,0.0,19.242327,252.58194,20.165,0.279,South Carolina
2023-10-15 02:00:00+00:00,20.465,67.37186,0.0,20.969805,258.11136,20.115,0.278,South Carolina
2023-10-15 03:00:00+00:00,20.065,66.85429,0.0,20.188908,266.93356,20.015001,0.277,South Carolina
2023-10-15 04:00:00+00:00,19.315,66.26374,0.0,18.35647,281.3099,19.765001,0.276,South Carolina
2023-10-15 05:00:00+00:00,18.365,66.93874,0.0,16.548256,314.11868,19.465,0.275,South Carolina
2023-10-15 06:00:00+00:00,16.865,59.650578,0.0,16.80857,313.26434,19.015001,0.274,South Carolina
2023-10-15 07:00:00+00:00,15.514999,61.585453,0.0,13.755579,312.8789,18.365,0.273,South Carolina
2023-10-15 08:00:00+00:00,14.464999,65.2217,0.0,12.768586,310.426,17.765001,0.272,South Carolina
2023-10-15 09:00:00+00:00,13.565,68.905624,0.0,11.480557,311.18582,17.165,0.271,South Carolina
2023-10-15 10:00:00+00:00,12.915,71.88952,0.0,10.464797,310.81497,16.665,0.271,South Carolina
2023-10-15 11:00:00+00:00,12.415,75.044365,0.0,9.085988,303.6901,16.165,0.27,South Carolina
2023-10-15 12:00:00+00:00,12.964999,78.50457,0.0,7.754637,291.80148,14.815,0.266,South Carolina
2023-10-15 13:00:00+00:00,14.964999,75.22216,0.0,8.209263,285.25516,15.714999,0.266,South Carolina
2023-10-15 14:00:00+00:00,17.415,66.29913,0.0,7.9036193,300.06848,16.965,0.265,South Carolina
2023-10-15 15:00:00+00:00,18.965,56.464973,0.0,11.384198,325.30478,18.215,0.263,South Carolina
2023-10-15 16:00:00+00:00,19.815,53.557262,0.0,14.618837,350.07382,19.265001,0.261,South Carolina
2023-10-15 17:00:00+00:00,19.715,53.35256,0.0,12.849528,348.6901,19.565,0.259,South Carolina
2023-10-15 18:00:00+00:00,19.615,55.138817,0.0,12.224107,346.373,19.815,0.258,South Carolina
2023-10-15 19:00:00+00:00,19.765001,55.17696,0.0,11.298495,337.5205,19.965,0.257,South Carolina
2023-10-15 20:00:00+00:00,19.365,57.514244,0.0,10.163227,337.06787,19.815,0.256,South Carolina
2023-10-15 21:00:00+00:00,18.965,59.95312,0.0,9.360001,337.3801,19.565,0.255,South Carolina
2023-10-15 22:00:00+00:00,18.365,63.07674,0.0,6.725354,344.47583,19.265001,0.255,South Carolina
2023-10-15 23:00:00+00:00,17.715,65.272545,0.0,5.95906,334.98312,18.765001,0.254,South Carolina
2023-10-16 00:00:00+00:00,16.415,63.481445,0.0,8.669949,4.763556,17.815,0.26,South Carolina
2023-10-16 01:00:00+00:00,15.315,72.09301,0.5,6.2145634,10.007925,17.365,0.263,South Carolina
2023-10-16 02:00:00+00:00,14.714999,81.415085,0.2,6.989936,34.50859,16.815,0.264,South Carolina
2023-10-16 03:00:00+00:00,14.615,83.03117,0.0,6.1094027,44.999897,16.415,0.263,South Carolina
2023-10-16 04:00:00+00:00,14.415,83.83343,0.0,3.6179552,354.2895,16.215,0.263,South Carolina
2023-10-16 05:00:00+00:00,14.165,85.48179,0.1,6.12,331.9276,16.015,0.263,South Carolina
2023-10-16 06:00:00+00:00,13.815,87.732765,0.2,10.00256,329.74365,15.714999,0.264,South Carolina
2023-10-16 07:00:00+00:00,13.165,83.131996,0.0,14.118243,340.6409,15.315,0.263,South Carolina
2023-10-16 08:00:00+00:00,12.365,82.75686,0.0,12.43434,337.8905,14.915,0.263,South Carolina
2023-10-16 09:00:00+00:00,11.815,80.75693,0.1,10.829959,344.57776,14.565,0.263,South Carolina
2023-10-16 10:00:00+00:00,11.964999,78.88717,0.1,10.308831,347.90527,14.315,0.264,South Carolina
2023-10-16 11:00:00+00:00,11.915,80.22629,0.0,10.464797,333.43503,14.165,0.263,South Carolina
2023-10-16 12:00:00+00:00,11.514999,84.627975,0.0,10.00256,329.74365,13.464999,0.267,South Carolina
2023-10-16 13:00:00+00:00,12.415,82.20906,0.0,9.826088,331.55716,13.815,0.266,South Carolina
2023-10-16 14:00:00+00:00,14.165,69.26053,0.0,11.165805,339.22766,14.714999,0.265,South Carolina
2023-10-16 15:00:00+00:00,15.514999,57.135616,0.0,12.661564,345.17346,15.714999,0.263,South Carolina
2023-10-16 16:00:00+00:00,16.665,50.951733,0.0,13.441071,339.62347,16.765001,0.261,South Carolina
2023-10-16 17:00:00+00:00,17.165,47.19753,0.0,13.608762,322.52374,17.515001,0.259,South Carolina
2023-10-16 18:00:00+00:00,17.015001,47.978413,0.0,14.799459,311.05472,17.715,0.257,South Carolina
2023-10-16 19:00:00+00:00,17.515001,44.438248,0.0,14.618837,307.99878,18.065,0.255,South Carolina
2023-10-16 20:00:00+00:00,16.665,43.42974,0.0,16.563911,312.3574,17.765001,0.254,South Carolina
2023-10-16 21:00:00+00:00,16.465,45.392296,0.0,15.530151,314.06088,17.565,0.253,South Carolina
2023-10-16 22:00:00+00:00,15.615,50.66729,0.0,11.525623,308.65982,17.065,0.252,South Carolina
2023-10-16 23:00:00+00:00,14.365,54.530556,0.0,12.303366,290.55612,16.465,0.251,South Carolina
2023-10-17 00:00:00+00:00,14.264999,57.61057,0.0,10.97262,311.009,16.565,0.251,South Carolina
2023-10-17 01:00:00+00:00,14.214999,56.025623,0.0,10.691453,315.0001,16.115,0.251,South Carolina
2023-10-17 02:00:00+00:00,13.764999,58.69161,0.0,9.387651,302.47116,15.764999,0.251,South Carolina
2023-10-17 03:00:00+00:00,13.665,61.99646,0.0,9.360001,292.6199,15.565,0.25,South Carolina
2023-10-17 04:00:00+00:00,12.464999,69.86874,0.0,9.659814,296.56497,15.115,0.25,South Carolina
2023-10-17 05:00:00+00:00,11.115,77.42809,0.0,9.693296,301.32864,14.514999,0.25,South Carolina
