date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,6.4735,90.137726,4.4,38.214302,42.709366,8.5735,0.423,South Dakota
2023-10-13 01:00:00+00:00,6.6735,89.52787,3.4,40.24922,42.82525,8.3235,0.434,South Dakota
2023-10-13 02:00:00+00:00,6.8234997,89.229126,2.2,43.466175,39.623257,8.2235,0.432,South Dakota
2023-10-13 03:00:00+00:00,6.8735,89.233215,3.2,47.149002,42.214764,8.1235,0.436,South Dakota
2023-10-13 04:00:00+00:00,6.5734997,90.14524,4.1,48.812862,39.91373,8.0235,0.436,South Dakota
2023-10-13 05:00:00+00:00,6.1735,90.11511,2.4,48.689247,38.395203,7.8234997,0.434,South Dakota
2023-10-13 06:00:00+00:00,6.4735,90.137726,2.6,46.452557,35.537766,7.7235,0.436,South Dakota
2023-10-13 07:00:00+00:00,6.7235,91.417404,1.4,43.738148,34.605743,7.7735,0.431,South Dakota
2023-10-13 08:00:00+00:00,6.6235,92.68821,0.5,42.291958,30.712755,7.7735,0.426,South Dakota
2023-10-13 09:00:00+00:00,6.4235,93.32246,0.6,41.38747,25.227621,7.7235,0.425,South Dakota
2023-10-13 10:00:00+00:00,6.2235,93.63683,0.8,40.244392,21.51596,7.6735,0.426,South Dakota
2023-10-13 11:00:00+00:00,6.0734997,93.30428,0.8,38.868332,15.580991,7.5235,0.428,South Dakota
2023-10-13 12:00:00+00:00,4.8735,94.55985,0.5,37.490158,11.633606,7.5734997,0.427,South Dakota
2023-10-13 13:00:00+00:00,4.5235,94.54487,1.0,35.756172,4.6198487,7.0734997,0.428,South Dakota
2023-10-13 14:00:00+00:00,4.3735,94.87187,1.4,37.08175,0.5562418,6.7235,0.432,South Dakota
2023-10-13 15:00:00+00:00,4.4235,93.546814,0.8,36.424103,356.60034,6.5734997,0.429,South Dakota
2023-10-13 16:00:00+00:00,5.0235,92.27231,0.6,36.721764,359.4383,6.5734997,0.427,South Dakota
2023-10-13 17:00:00+00:00,5.4735,92.299225,0.6,36.376038,1.7013229,6.7735,0.426,South Dakota
2023-10-13 18:00:00+00:00,5.6235,92.30817,0.5,34.627434,3.5762644,6.9235,0.425,South Dakota
2023-10-13 19:00:00+00:00,5.9235,92.0045,0.6,32.402,0.63657844,7.0734997,0.424,South Dakota
2023-10-13 20:00:00+00:00,6.0734997,91.69361,0.8,32.04202,359.35626,7.2235,0.426,South Dakota
2023-10-13 21:00:00+00:00,6.0734997,92.01376,0.8,30.05515,353.81146,7.2235,0.428,South Dakota
2023-10-13 22:00:00+00:00,6.1735,91.69999,0.4,29.339449,353.6599,7.1735,0.424,South Dakota
2023-10-13 23:00:00+00:00,6.2235,92.022995,0.2,29.528778,358.60284,7.1235,0.421,South Dakota
2023-10-14 00:00:00+00:00,6.0235,91.37112,0.2,31.526215,6.5568495,7.3234997,0.424,South Dakota
2023-10-14 01:00:00+00:00,6.3234997,89.18819,0.1,28.883131,10.049289,7.1735,0.42,South Dakota
2023-10-14 02:00:00+00:00,6.5235,88.276306,0.0,24.162945,3.4165199,7.1735,0.417,South Dakota
2023-10-14 03:00:00+00:00,6.6235,88.59342,0.0,21.96,360.0,7.2735,0.414,South Dakota
2023-10-14 04:00:00+00:00,6.7235,89.53185,0.1,20.907913,2.9608781,7.3735,0.413,South Dakota
2023-10-14 05:00:00+00:00,6.6235,93.33281,0.3,18.751125,3.3018,7.3735,0.412,South Dakota
2023-10-14 06:00:00+00:00,6.6735,93.9837,0.3,17.313717,3.5762644,7.3735,0.414,South Dakota
2023-10-14 07:00:00+00:00,6.7235,93.98604,0.3,17.015474,6.0723705,7.3735,0.414,South Dakota
2023-10-14 08:00:00+00:00,6.7735,93.98837,0.2,16.75064,8.652461,7.3735,0.414,South Dakota
2023-10-14 09:00:00+00:00,6.7735,93.01812,0.1,16.75064,8.652461,7.3735,0.412,South Dakota
2023-10-14 10:00:00+00:00,6.7735,92.69667,0.0,15.629972,7.9433913,7.4235,0.41,South Dakota
2023-10-14 11:00:00+00:00,6.7735,91.73822,0.1,15.629972,7.9433913,7.4235,0.409,South Dakota
2023-10-14 12:00:00+00:00,6.5734997,90.77444,0.1,15.463244,12.094739,7.6735,0.404,South Dakota
2023-10-14 13:00:00+00:00,6.4735,89.82434,0.0,15.463244,12.094739,7.4735,0.403,South Dakota
2023-10-14 14:00:00+00:00,6.5734997,88.28073,0.0,14.685176,11.3098955,7.4235,0.402,South Dakota
2023-10-14 15:00:00+00:00,6.8234997,85.27625,0.0,12.964998,1.5911111,7.5734997,0.401,South Dakota
2023-10-14 16:00:00+00:00,7.2735,80.68711,0.0,13.363711,4.6353807,7.9735,0.399,South Dakota
2023-10-14 17:00:00+00:00,8.1735,74.3079,0.0,13.556282,10.713074,8.7235,0.398,South Dakota
2023-10-14 18:00:00+00:00,8.9735,67.718414,0.0,14.917212,19.746927,9.5234995,0.397,South Dakota
2023-10-14 19:00:00+00:00,9.8735,58.127422,0.0,16.645864,21.571367,10.1235,0.395,South Dakota
2023-10-14 20:00:00+00:00,10.8235,53.976627,0.0,16.171976,16.82149,10.8235,0.394,South Dakota
2023-10-14 21:00:00+00:00,11.1235,51.975002,0.0,15.542662,13.392516,11.3735,0.392,South Dakota
2023-10-14 22:00:00+00:00,10.6735,52.601635,0.0,14.917212,19.746927,11.3235,0.391,South Dakota
2023-10-14 23:00:00+00:00,9.9235,54.906456,0.0,15.175612,22.306253,10.9735,0.39,South Dakota
2023-10-15 00:00:00+00:00,8.2235,59.397022,0.0,10.787993,25.709915,10.2734995,0.394,South Dakota
2023-10-15 01:00:00+00:00,7.3234997,64.29777,0.0,9.028754,23.498587,9.6235,0.393,South Dakota
2023-10-15 02:00:00+00:00,7.3234997,63.83686,0.0,8.049845,26.564985,9.2235,0.392,South Dakota
2023-10-15 03:00:00+00:00,6.2735,70.35418,0.0,4.802999,12.99463,8.7734995,0.391,South Dakota
2023-10-15 04:00:00+00:00,5.8735,72.323746,0.0,5.7599998,360.0,8.3235,0.391,South Dakota
2023-10-15 05:00:00+00:00,5.1735,76.19321,0.0,7.9932976,7.7650824,7.9235,0.39,South Dakota
2023-10-15 06:00:00+00:00,4.3234997,80.270096,0.0,6.849467,3.0127327,7.5235,0.389,South Dakota
2023-10-15 07:00:00+00:00,3.6235,84.01119,0.0,6.849467,356.98727,6.9735,0.388,South Dakota
2023-10-15 08:00:00+00:00,3.6235,82.51464,0.0,7.5599995,360.0,6.6235,0.388,South Dakota
2023-10-15 09:00:00+00:00,3.4735,79.28255,0.0,8.287822,2.4894993,6.2735,0.387,South Dakota
2023-10-15 10:00:00+00:00,3.4735,76.18128,0.0,7.928178,2.6025116,6.0734997,0.387,South Dakota
2023-10-15 11:00:00+00:00,2.9735,78.06316,0.0,7.9932976,352.23492,5.8234997,0.386,South Dakota
2023-10-15 12:00:00+00:00,2.9235,79.199646,0.0,6.830519,341.56494,6.5734997,0.384,South Dakota
2023-10-15 13:00:00+00:00,3.1735,77.81143,0.0,7.5685663,334.65387,6.2735,0.384,South Dakota
2023-10-15 14:00:00+00:00,5.7735,69.24764,0.0,9.387651,327.52884,6.6735,0.383,South Dakota
2023-10-15 15:00:00+00:00,7.7235,62.566696,0.0,9.504273,335.37646,7.6235,0.382,South Dakota
2023-10-15 16:00:00+00:00,8.7235,59.096004,0.0,12.303366,339.44388,8.8235,0.381,South Dakota
2023-10-15 17:00:00+00:00,9.8235,54.48704,0.0,15.496736,357.33707,10.1235,0.38,South Dakota
2023-10-15 18:00:00+00:00,10.2235,53.239517,0.0,14.404499,358.56793,10.9735,0.379,South Dakota
2023-10-15 19:00:00+00:00,10.2734995,53.444565,0.0,13.910169,349.5626,11.3735,0.378,South Dakota
2023-10-15 20:00:00+00:00,10.6235,52.212013,0.0,13.493999,350.78906,11.8235,0.376,South Dakota
2023-10-15 21:00:00+00:00,10.8235,51.337337,0.0,13.708391,346.32867,12.0234995,0.375,South Dakota
2023-10-15 22:00:00+00:00,10.8235,50.969784,0.0,13.450708,344.47583,11.8735,0.374,South Dakota
2023-10-15 23:00:00+00:00,10.2235,54.593433,0.0,11.304229,350.8377,11.4735,0.374,South Dakota
2023-10-16 00:00:00+00:00,6.7735,73.795395,0.0,9.605998,347.00537,11.0735,0.375,South Dakota
2023-10-16 01:00:00+00:00,6.4735,73.47862,0.0,7.145796,319.0857,9.7734995,0.374,South Dakota
2023-10-16 02:00:00+00:00,6.1235,72.11246,0.0,9.178235,318.1799,8.8735,0.374,South Dakota
2023-10-16 03:00:00+00:00,5.7735,72.82571,0.0,10.182337,315.0001,8.3235,0.374,South Dakota
2023-10-16 04:00:00+00:00,5.3735,74.60455,0.0,9.449572,310.36444,7.8234997,0.373,South Dakota
2023-10-16 05:00:00+00:00,5.1735,75.37724,0.0,10.587918,305.31128,7.5235,0.373,South Dakota
2023-10-16 06:00:00+00:00,4.7235,76.66713,0.0,9.793059,306.02747,7.1735,0.373,South Dakota
