date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,25.49,66.6928,0.0,14.869351,173.04713,26.69,0.339,Texas
2023-10-13 01:00:00+00:00,24.84,69.54169,0.0,15.509274,158.19853,25.89,0.339,Texas
2023-10-13 02:00:00+00:00,24.19,74.12536,0.0,20.730501,159.67677,25.289999,0.339,Texas
2023-10-13 03:00:00+00:00,23.59,76.37095,0.0,20.833395,161.87805,24.789999,0.339,Texas
2023-10-13 04:00:00+00:00,22.94,79.42898,0.0,19.48661,168.27492,24.39,0.339,Texas
2023-10-13 05:00:00+00:00,22.14,82.865364,0.0,21.485697,171.3269,23.99,0.339,Texas
2023-10-13 06:00:00+00:00,21.44,86.21575,0.0,18.72346,178.89832,23.59,0.339,Texas
2023-10-13 07:00:00+00:00,20.94,88.901566,0.0,16.923828,181.21884,23.19,0.339,Texas
2023-10-13 08:00:00+00:00,20.74,90.564964,0.0,16.575644,182.4895,22.89,0.339,Texas
2023-10-13 09:00:00+00:00,21.289999,88.92937,0.0,15.328561,189.46225,22.789999,0.339,Texas
2023-10-13 10:00:00+00:00,21.94,86.801605,0.0,15.03835,191.0409,22.89,0.339,Texas
2023-10-13 11:00:00+00:00,22.289999,86.297966,0.0,16.23596,183.814,22.99,0.339,Texas
2023-10-13 12:00:00+00:00,22.19,89.55162,0.0,3.6,233.13002,23.39,0.338,Texas
2023-10-13 13:00:00+00:00,22.74,87.68317,0.2,4.5536795,198.43504,23.39,0.34,Texas
2023-10-13 14:00:00+00:00,23.289999,86.12851,0.0,7.145796,220.91429,23.539999,0.34,Texas
2023-10-13 15:00:00+00:00,24.89,79.20878,0.0,14.021525,221.87778,24.14,0.34,Texas
2023-10-13 16:00:00+00:00,26.99,69.51953,0.1,15.4800005,270.0,25.49,0.34,Texas
2023-10-13 17:00:00+00:00,28.44,61.935062,0.0,14.654254,297.824,26.74,0.339,Texas
2023-10-13 18:00:00+00:00,30.14,44.96373,0.0,21.868332,327.09476,28.34,0.338,Texas
2023-10-13 19:00:00+00:00,29.539999,26.03647,0.0,23.565567,341.28815,29.34,0.336,Texas
2023-10-13 20:00:00+00:00,29.69,25.550488,0.0,21.897945,350.53775,30.09,0.334,Texas
2023-10-13 21:00:00+00:00,29.289999,25.530718,0.0,21.67487,355.23645,30.34,0.333,Texas
2023-10-13 22:00:00+00:00,28.539999,24.389965,0.0,20.188908,356.93356,30.039999,0.332,Texas
2023-10-13 23:00:00+00:00,27.24,26.131464,0.0,17.64,360.0,29.24,0.331,Texas
2023-10-14 00:00:00+00:00,23.94,35.835037,0.0,11.165805,1.8475709,27.89,0.328,Texas
2023-10-14 01:00:00+00:00,22.74,38.52732,0.0,11.885453,358.26434,26.44,0.328,Texas
2023-10-14 02:00:00+00:00,21.69,39.424072,0.0,10.853866,354.2895,25.24,0.328,Texas
2023-10-14 03:00:00+00:00,20.64,42.77197,0.0,10.239453,349.8754,24.19,0.328,Texas
2023-10-14 04:00:00+00:00,19.89,43.742138,0.0,11.841756,340.46326,23.34,0.328,Texas
