date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,7.5315003,64.57685,0.0,6.489992,19.440128,12.1814995,0.109,Utah
2023-10-13 01:00:00+00:00,7.1315002,67.808754,0.0,2.0991426,300.96368,11.381499,0.109,Utah
2023-10-13 02:00:00+00:00,6.3815002,81.41952,0.0,3.0758414,200.55612,10.1814995,0.109,Utah
2023-10-13 03:00:00+00:00,6.0815,82.82834,0.0,3.319036,139.39879,9.381499,0.109,Utah
2023-10-13 04:00:00+00:00,5.9815,81.94282,0.0,3.0547013,135.0001,8.8315,0.109,Utah
2023-10-13 05:00:00+00:00,5.3815002,87.247406,0.0,2.4149535,153.43501,8.3315,0.109,Utah
2023-10-13 06:00:00+00:00,4.1815,92.54829,0.0,4.2136917,160.0168,7.6315002,0.109,Utah
2023-10-13 07:00:00+00:00,3.2814999,95.842575,0.0,4.3498964,155.55606,6.9315,0.109,Utah
2023-10-13 08:00:00+00:00,2.8815,96.85728,0.0,3.7585104,163.30067,6.3315,0.109,Utah
2023-10-13 09:00:00+00:00,2.6315,95.820984,0.0,4.73506,171.25392,5.7815003,0.109,Utah
2023-10-13 10:00:00+00:00,2.3815,94.45178,0.0,4.6800003,157.3801,5.3315,0.109,Utah
2023-10-13 11:00:00+00:00,1.9815,93.0863,0.0,4.510787,151.38963,4.9315,0.109,Utah
2023-10-13 12:00:00+00:00,1.4815,98.57621,0.0,4.896529,162.89719,4.4315,0.11,Utah
2023-10-13 13:00:00+00:00,1.1315,99.64133,0.0,3.4152596,161.56496,4.0815,0.11,Utah
2023-10-13 14:00:00+00:00,1.2315,100.0,0.0,4.6800003,157.3801,3.8815002,0.11,Utah
2023-10-13 15:00:00+00:00,3.7814999,89.93205,0.0,7.072878,165.2564,4.8315,0.11,Utah
2023-10-13 16:00:00+00:00,6.7315,71.714966,0.0,6.28713,166.75948,7.0815,0.109,Utah
2023-10-13 17:00:00+00:00,8.9314995,58.72537,0.0,6.5693827,170.53775,9.9314995,0.108,Utah
2023-10-13 18:00:00+00:00,11.0315,48.34545,0.0,6.924738,171.02745,12.881499,0.106,Utah
2023-10-13 19:00:00+00:00,12.7315,40.93533,0.0,6.162207,173.29025,15.5815,0.104,Utah
2023-10-13 20:00:00+00:00,13.881499,36.222507,0.0,3.8773184,201.80147,17.7815,0.101,Utah
2023-10-13 21:00:00+00:00,14.5315,34.857117,0.0,2.6208394,285.94547,19.2815,0.099,Utah
2023-10-13 22:00:00+00:00,14.7315,35.81684,0.0,5.1919937,326.3099,19.681501,0.097,Utah
2023-10-13 23:00:00+00:00,14.5815,38.322857,0.0,8.373386,334.53668,19.1315,0.095,Utah
2023-10-14 00:00:00+00:00,14.3315,36.887703,0.0,6.725354,344.47583,17.9815,0.093,Utah
2023-10-14 01:00:00+00:00,12.0315,58.669685,0.0,5.4119864,356.186,15.7815,0.092,Utah
2023-10-14 02:00:00+00:00,11.7315,56.170395,0.0,5.8048253,352.87506,13.881499,0.092,Utah
2023-10-14 03:00:00+00:00,11.7815,52.71359,0.0,0.5091169,224.9999,12.2315,0.092,Utah
2023-10-14 04:00:00+00:00,10.631499,60.632286,0.0,3.7585104,196.69933,10.8315,0.092,Utah
2023-10-14 05:00:00+00:00,7.9315,76.114914,0.0,6.638072,167.4712,9.7315,0.092,Utah
2023-10-14 06:00:00+00:00,7.4315,72.87535,0.0,6.489992,160.55988,8.8315,0.092,Utah
2023-10-14 07:00:00+00:00,6.6315002,71.4401,0.0,6.489992,160.55988,8.0815,0.092,Utah
2023-10-14 08:00:00+00:00,5.6315002,73.85186,0.0,6.9527545,158.74942,7.3815002,0.092,Utah
2023-10-14 09:00:00+00:00,4.7315,77.22174,0.0,8.373386,154.5367,6.8315,0.092,Utah
2023-10-14 10:00:00+00:00,4.1315002,79.667336,0.0,8.311245,162.3498,6.3315,0.092,Utah
2023-10-14 11:00:00+00:00,3.5815,82.5092,0.0,7.628263,160.70985,5.8815002,0.092,Utah
2023-10-14 12:00:00+00:00,2.6315,89.84227,0.0,8.12197,167.19574,5.4315,0.092,Utah
2023-10-14 13:00:00+00:00,2.2814999,91.11733,0.0,7.754637,158.19853,5.0315003,0.092,Utah
2023-10-14 14:00:00+00:00,2.4815001,89.186325,0.0,8.699793,155.55606,4.7815,0.093,Utah
2023-10-14 15:00:00+00:00,5.7315,72.29673,0.0,11.27553,163.30067,5.6315002,0.092,Utah
2023-10-14 16:00:00+00:00,9.4314995,56.57772,0.0,9.885262,169.50858,7.8315,0.092,Utah
2023-10-14 17:00:00+00:00,11.881499,43.443794,0.0,9.346143,164.3577,10.7315,0.091,Utah
2023-10-14 18:00:00+00:00,14.3315,35.053543,0.0,8.534353,152.35411,13.881499,0.089,Utah
2023-10-14 19:00:00+00:00,16.4315,29.426453,0.0,6.989936,145.49142,16.7815,0.087,Utah
2023-10-14 20:00:00+00:00,17.7315,27.101627,0.0,1.1384199,161.56496,19.331501,0.084,Utah
2023-10-14 21:00:00+00:00,18.5315,25.304554,0.0,4.39436,325.0079,21.1315,0.082,Utah
2023-10-14 22:00:00+00:00,18.831501,22.810701,0.0,6.1305785,319.7637,21.7815,0.08,Utah
2023-10-14 23:00:00+00:00,18.8815,20.175962,0.0,6.8777895,317.1211,21.331501,0.078,Utah
2023-10-15 00:00:00+00:00,18.081501,30.117544,0.0,3.8268526,318.81415,19.7815,0.076,Utah
