date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,15.9405,65.9848,0.0,6.162207,83.29026,17.8905,0.372,Virginia
2023-10-13 01:00:00+00:00,15.340501,66.97435,0.0,6.489992,93.17977,16.8405,0.372,Virginia
2023-10-13 02:00:00+00:00,14.4905,69.79463,0.0,4.73506,98.74608,15.9405,0.372,Virginia
2023-10-13 03:00:00+00:00,13.790501,72.29638,0.0,5.0528407,94.08554,15.1905,0.372,Virginia
2023-10-13 04:00:00+00:00,14.1905,65.830185,0.0,1.835647,11.3098955,14.540501,0.372,Virginia
2023-10-13 05:00:00+00:00,12.290501,77.61163,0.0,3.096837,324.46225,13.9905,0.372,Virginia
2023-10-13 06:00:00+00:00,11.290501,82.344185,0.0,4.510787,331.38962,13.540501,0.372,Virginia
2023-10-13 07:00:00+00:00,10.7405,86.277374,0.0,5.154415,335.22488,13.1405,0.373,Virginia
2023-10-13 08:00:00+00:00,10.4405,87.720856,0.0,4.510787,331.38962,12.790501,0.373,Virginia
2023-10-13 09:00:00+00:00,10.1405,88.59025,0.0,3.319036,319.39877,12.4905,0.373,Virginia
2023-10-13 10:00:00+00:00,10.090501,86.79988,0.0,3.7585104,343.3007,12.2405,0.373,Virginia
2023-10-13 11:00:00+00:00,9.9905,85.03471,0.0,7.5685663,357.27374,11.9905,0.373,Virginia
2023-10-13 12:00:00+00:00,10.790501,83.1242,0.0,9.9571085,12.528798,12.590501,0.374,Virginia
2023-10-13 13:00:00+00:00,14.540501,69.56966,0.0,9.565437,19.798973,13.290501,0.373,Virginia
2023-10-13 14:00:00+00:00,17.1905,60.53735,0.0,9.659814,26.564985,14.3905,0.373,Virginia
2023-10-13 15:00:00+00:00,19.290499,52.179028,0.0,9.793059,36.027473,15.6405,0.372,Virginia
2023-10-13 16:00:00+00:00,20.9405,46.957882,0.0,7.9932966,35.837746,16.8905,0.372,Virginia
2023-10-13 17:00:00+00:00,22.0905,44.6584,0.0,7.127636,44.999897,18.040499,0.371,Virginia
2023-10-13 18:00:00+00:00,22.9405,43.56423,0.0,6.4096174,51.842735,19.040499,0.37,Virginia
2023-10-13 19:00:00+00:00,23.3905,43.544197,0.0,6.4096174,51.842735,19.7405,0.369,Virginia
2023-10-13 20:00:00+00:00,23.3905,44.42387,0.0,5.315336,61.69934,20.2405,0.368,Virginia
2023-10-13 21:00:00+00:00,22.6905,47.594788,0.0,5.0528407,85.91447,20.3405,0.367,Virginia
2023-10-13 22:00:00+00:00,20.6405,59.36789,0.0,5.5887027,104.93147,19.9405,0.367,Virginia
2023-10-13 23:00:00+00:00,18.1905,65.15957,0.0,8.287822,87.5105,18.790499,0.367,Virginia
2023-10-14 00:00:00+00:00,16.0905,73.199394,0.0,9.0,73.73973,18.6405,0.366,Virginia
2023-10-14 01:00:00+00:00,15.540501,74.82054,0.0,8.4042845,80.13426,17.540499,0.366,Virginia
2023-10-14 02:00:00+00:00,14.6405,77.97229,0.0,9.3669195,92.20255,16.790499,0.366,Virginia
2023-10-14 03:00:00+00:00,14.040501,80.78794,0.0,9.793058,107.10281,16.1905,0.366,Virginia
2023-10-14 04:00:00+00:00,13.590501,85.13878,0.0,9.360001,112.61991,15.790501,0.366,Virginia
2023-10-14 05:00:00+00:00,13.290501,87.68556,0.0,8.707237,119.74479,15.4405,0.366,Virginia
2023-10-14 06:00:00+00:00,12.9405,88.53086,0.0,8.707237,119.74479,15.090501,0.366,Virginia
2023-10-14 07:00:00+00:00,13.7405,85.15486,0.0,5.8603754,137.4896,15.090501,0.367,Virginia
2023-10-14 08:00:00+00:00,13.540501,87.41868,0.0,4.0249224,153.43501,14.9405,0.367,Virginia
2023-10-14 09:00:00+00:00,13.040501,90.3152,0.0,4.3349743,131.63345,14.590501,0.367,Virginia
2023-10-14 10:00:00+00:00,13.1405,90.6212,0.0,7.5942082,148.57048,14.4905,0.367,Virginia
2023-10-14 11:00:00+00:00,13.790501,87.730576,0.0,6.763786,154.7989,14.6405,0.367,Virginia
2023-10-14 12:00:00+00:00,14.1905,89.21971,0.8,8.350138,187.43132,15.4905,0.376,Virginia
2023-10-14 13:00:00+00:00,15.590501,88.17687,0.0,1.835647,168.69011,15.6905,0.376,Virginia
2023-10-14 14:00:00+00:00,15.9905,90.23239,1.3,8.12197,167.19574,15.8905,0.386,Virginia
2023-10-14 15:00:00+00:00,15.340501,100.0,3.5,6.638072,139.39879,15.8905,0.433,Virginia
2023-10-14 16:00:00+00:00,15.6405,100.0,4.4,5.1919937,123.690094,15.9905,0.491,Virginia
2023-10-14 17:00:00+00:00,15.7405,96.846344,1.2,8.161764,131.42357,16.0405,0.497,Virginia
2023-10-14 18:00:00+00:00,15.790501,96.537155,0.0,6.9247384,152.10283,16.1405,0.49,Virginia
2023-10-14 19:00:00+00:00,17.790499,84.21645,0.0,4.802999,192.99461,16.7405,0.485,Virginia
2023-10-14 20:00:00+00:00,18.1405,83.18108,0.0,6.130579,183.3664,17.0905,0.481,Virginia
2023-10-14 21:00:00+00:00,18.0905,83.98004,0.0,5.6920996,161.56496,17.290499,0.478,Virginia
2023-10-14 22:00:00+00:00,17.3905,87.48453,0.0,6.1094027,135.0001,17.290499,0.475,Virginia
2023-10-14 23:00:00+00:00,16.0905,95.6212,0.0,4.3349743,138.36655,16.9405,0.472,Virginia
2023-10-15 00:00:00+00:00,16.3905,96.244774,0.8,10.538843,262.1468,16.2405,0.439,Virginia
2023-10-15 01:00:00+00:00,16.0905,96.54505,0.1,10.805999,268.09088,16.1405,0.438,Virginia
2023-10-15 02:00:00+00:00,16.0905,96.23625,0.0,11.090103,283.13403,16.1405,0.438,Virginia
2023-10-15 03:00:00+00:00,15.6905,93.175125,0.0,14.118243,289.35907,15.9905,0.437,Virginia
2023-10-15 04:00:00+00:00,14.590501,93.42215,0.2,14.587776,285.75125,15.6405,0.439,Virginia
2023-10-15 05:00:00+00:00,13.9405,92.1754,0.0,13.527572,295.20108,15.1905,0.438,Virginia
2023-10-15 06:00:00+00:00,13.4905,92.75644,0.0,8.534353,332.3541,14.840501,0.438,Virginia
2023-10-15 07:00:00+00:00,12.1905,96.12247,0.0,17.555305,15.461285,14.4905,0.437,Virginia
2023-10-15 08:00:00+00:00,11.1905,92.62947,0.1,19.110542,3.2396317,13.9405,0.437,Virginia
2023-10-15 09:00:00+00:00,10.6405,90.13994,0.0,18.03237,356.56644,13.4905,0.437,Virginia
2023-10-15 10:00:00+00:00,10.090501,88.8868,0.0,14.205182,351.2539,13.1405,0.436,Virginia
2023-10-15 11:00:00+00:00,10.540501,84.51873,0.0,12.43434,337.8905,12.9905,0.436,Virginia
2023-10-15 12:00:00+00:00,10.1405,83.32883,0.0,14.693999,329.03632,13.3905,0.437,Virginia
2023-10-15 13:00:00+00:00,11.8905,70.719795,0.0,16.42247,333.9967,13.4905,0.436,Virginia
2023-10-15 14:00:00+00:00,13.540501,60.698956,0.0,19.05281,337.79648,13.9405,0.435,Virginia
2023-10-15 15:00:00+00:00,15.1405,50.53811,0.0,21.2522,349.26114,14.6405,0.434,Virginia
2023-10-15 16:00:00+00:00,16.0905,45.924667,0.0,20.418695,350.8699,15.340501,0.432,Virginia
2023-10-15 17:00:00+00:00,17.1405,40.18893,0.0,17.727943,347.0926,16.0405,0.43,Virginia
2023-10-15 18:00:00+00:00,17.6405,37.58862,0.0,15.646544,336.9745,16.5905,0.429,Virginia
2023-10-15 19:00:00+00:00,17.6405,37.58862,0.0,14.81259,334.05774,16.9405,0.427,Virginia
2023-10-15 20:00:00+00:00,17.5905,36.007725,0.0,14.8257065,330.9455,17.0905,0.426,Virginia
2023-10-15 21:00:00+00:00,17.540499,34.981335,0.0,13.891522,328.78165,17.1905,0.425,Virginia
2023-10-15 22:00:00+00:00,16.1405,40.9021,0.0,12.245293,335.69547,16.9405,0.424,Virginia
2023-10-15 23:00:00+00:00,13.840501,46.75768,0.0,10.931203,342.75845,16.3405,0.424,Virginia
2023-10-16 00:00:00+00:00,11.9405,53.70027,0.0,11.113451,335.09525,14.8905,0.426,Virginia
2023-10-16 01:00:00+00:00,10.7405,60.232357,0.0,6.6087217,299.35767,14.090501,0.426,Virginia
2023-10-16 02:00:00+00:00,10.290501,61.19516,0.0,10.163227,292.93213,13.540501,0.425,Virginia
2023-10-16 03:00:00+00:00,10.1405,62.912083,0.0,9.360001,292.6199,13.1905,0.425,Virginia
2023-10-16 04:00:00+00:00,9.7405,65.53648,0.0,9.565437,289.79895,12.9405,0.425,Virginia
2023-10-16 05:00:00+00:00,9.1405,69.44348,0.0,9.904906,289.0936,12.540501,0.424,Virginia
2023-10-16 06:00:00+00:00,8.9405,71.63241,0.0,10.464797,296.56497,12.290501,0.424,Virginia
2023-10-16 07:00:00+00:00,8.790501,73.64013,0.0,10.00256,300.25635,12.040501,0.424,Virginia
2023-10-16 08:00:00+00:00,8.3905,76.72587,0.0,9.085988,303.6901,11.790501,0.423,Virginia
2023-10-16 09:00:00+00:00,8.0905,79.12803,0.0,9.021574,298.61035,11.4905,0.423,Virginia
2023-10-16 10:00:00+00:00,7.7905,81.324326,0.0,9.255571,283.49576,11.2405,0.423,Virginia
2023-10-16 11:00:00+00:00,7.6905,81.59505,0.0,9.531505,280.88547,11.040501,0.423,Virginia
