date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,13.830501,55.34621,0.0,15.256526,109.290146,11.880501,0.384,Washington
2023-10-13 01:00:00+00:00,11.630501,65.04311,0.0,14.458382,108.886185,11.4305,0.384,Washington
2023-10-13 02:00:00+00:00,10.0305,69.86669,0.0,13.009903,104.420815,10.7305,0.383,Washington
2023-10-13 03:00:00+00:00,9.4805,71.98645,0.0,15.827721,107.19863,10.1805,0.383,Washington
2023-10-13 04:00:00+00:00,9.5305,70.74965,0.0,18.214718,108.43504,9.880501,0.383,Washington
2023-10-13 05:00:00+00:00,9.630501,69.54272,0.0,20.326454,112.93214,9.7305,0.382,Washington
2023-10-13 06:00:00+00:00,9.580501,69.28953,0.0,20.945072,114.36244,9.630501,0.382,Washington
2023-10-13 07:00:00+00:00,9.330501,70.463234,0.0,20.608229,117.01259,9.5305,0.381,Washington
2023-10-13 08:00:00+00:00,9.080501,72.1628,0.0,20.63023,119.24873,9.4305,0.381,Washington
2023-10-13 09:00:00+00:00,9.080501,72.66953,0.0,21.30093,120.46546,9.330501,0.381,Washington
2023-10-13 10:00:00+00:00,8.9305,73.40827,0.0,20.969807,124.50858,9.2305,0.38,Washington
2023-10-13 11:00:00+00:00,8.7305,74.14652,0.0,20.08916,126.25393,9.1305,0.38,Washington
2023-10-13 12:00:00+00:00,8.9805,76.289055,0.0,21.26744,123.9591,9.1305,0.378,Washington
2023-10-13 13:00:00+00:00,8.2805,78.88083,0.0,18.043148,118.61037,9.0305,0.377,Washington
2023-10-13 14:00:00+00:00,8.1805,78.591095,0.0,18.25026,112.01134,8.9305,0.377,Washington
2023-10-13 15:00:00+00:00,8.2305,78.3249,0.0,18.86139,113.62939,8.830501,0.377,Washington
2023-10-13 16:00:00+00:00,9.7805,71.79268,0.0,19.486609,115.14475,9.1305,0.376,Washington
2023-10-13 17:00:00+00:00,10.7305,68.325066,0.0,19.721298,111.41304,9.630501,0.376,Washington
2023-10-13 18:00:00+00:00,11.880501,63.757122,0.0,21.194187,110.89784,10.2805,0.375,Washington
2023-10-13 19:00:00+00:00,12.7305,59.4614,0.0,21.407139,109.653915,10.830501,0.374,Washington
2023-10-13 20:00:00+00:00,14.080501,54.07816,0.0,20.858265,111.25058,11.580501,0.373,Washington
2023-10-13 21:00:00+00:00,13.5305,56.830036,0.0,19.469975,109.440125,11.880501,0.372,Washington
2023-10-13 22:00:00+00:00,14.630501,54.03499,0.0,18.792551,106.699326,12.380501,0.371,Washington
2023-10-13 23:00:00+00:00,14.2305,54.495358,0.0,18.0,106.26028,12.630501,0.37,Washington
2023-10-14 00:00:00+00:00,12.9805,57.087,0.0,15.484185,107.592514,12.4305,0.367,Washington
2023-10-14 01:00:00+00:00,11.630501,60.23756,0.0,13.5515,106.99091,11.9805,0.367,Washington
2023-10-14 02:00:00+00:00,11.080501,61.600597,0.0,11.525623,104.47034,11.5305,0.367,Washington
2023-10-14 03:00:00+00:00,10.6805,64.15328,0.0,10.594036,99.78234,11.1805,0.367,Washington
2023-10-14 04:00:00+00:00,10.130501,70.62065,0.1,4.6102495,128.65984,10.830501,0.367,Washington
2023-10-14 05:00:00+00:00,9.4805,79.05969,0.2,1.5273507,224.9999,10.4805,0.369,Washington
2023-10-14 06:00:00+00:00,8.830501,84.3243,0.7,1.835647,78.6901,10.080501,0.374,Washington
2023-10-14 07:00:00+00:00,8.3805,99.66168,0.8,4.32,90.0,9.630501,0.382,Washington
2023-10-14 08:00:00+00:00,8.330501,99.661545,0.2,4.452954,104.03627,9.380501,0.384,Washington
2023-10-14 09:00:00+00:00,8.580501,95.361786,0.1,6.28713,103.24053,9.2305,0.384,Washington
2023-10-14 10:00:00+00:00,8.580501,95.68668,0.0,6.6087217,119.357666,9.1805,0.384,Washington
2023-10-14 11:00:00+00:00,8.580501,95.68668,0.2,6.5693827,99.46225,9.080501,0.385,Washington
2023-10-14 12:00:00+00:00,8.5305,99.66208,0.0,2.1897945,80.53775,9.580501,0.385,Washington
2023-10-14 13:00:00+00:00,8.9305,96.0234,0.0,2.16,90.0,9.4305,0.384,Washington
2023-10-14 14:00:00+00:00,8.6805,97.327896,0.0,1.1384199,108.43504,9.330501,0.383,Washington
2023-10-14 15:00:00+00:00,8.7805,95.368996,0.0,1.08,90.0,9.1805,0.383,Washington
2023-10-14 16:00:00+00:00,9.830501,94.76574,0.0,2.2768397,108.43504,9.5305,0.382,Washington
2023-10-14 17:00:00+00:00,11.1805,85.74118,0.0,4.3498964,114.44395,10.0305,0.382,Washington
2023-10-14 18:00:00+00:00,12.580501,77.3947,0.0,4.510787,118.61037,10.7805,0.381,Washington
2023-10-14 19:00:00+00:00,13.880501,65.31578,0.0,7.2,143.13002,11.5305,0.38,Washington
2023-10-14 20:00:00+00:00,14.4805,59.888035,0.0,6.87779,173.99109,12.080501,0.379,Washington
2023-10-14 21:00:00+00:00,14.7805,58.74003,0.0,7.10031,210.46547,12.580501,0.378,Washington
2023-10-14 22:00:00+00:00,14.380501,66.99835,0.0,6.130579,266.6336,12.7805,0.377,Washington
2023-10-14 23:00:00+00:00,13.6805,73.75392,0.1,5.1544156,282.09473,12.7305,0.377,Washington
2023-10-15 00:00:00+00:00,11.080501,91.08472,0.2,1.5273507,315.0001,11.830501,0.381,Washington
2023-10-15 01:00:00+00:00,10.5305,98.34666,0.6,1.5273507,44.999897,11.330501,0.385,Washington
2023-10-15 02:00:00+00:00,10.0305,100.0,1.0,2.8799999,180.0,10.880501,0.395,Washington
2023-10-15 03:00:00+00:00,9.880501,100.0,1.0,2.2768397,108.43504,10.580501,0.407,Washington
2023-10-15 04:00:00+00:00,9.380501,100.0,0.3,3.2399998,90.0,10.2305,0.408,Washington
2023-10-15 05:00:00+00:00,9.5305,99.66474,0.4,3.2599385,96.340096,10.080501,0.41,Washington
2023-10-15 06:00:00+00:00,9.380501,99.664345,0.1,3.4152596,108.43504,9.9805,0.407,Washington
2023-10-15 07:00:00+00:00,9.6805,94.44036,0.0,6.6185193,112.38018,9.880501,0.404,Washington
2023-10-15 08:00:00+00:00,8.4305,93.42525,0.0,5.8603754,100.619606,9.2805,0.402,Washington
2023-10-15 09:00:00+00:00,7.0305,99.65802,0.0,4.6938252,94.39862,8.7805,0.4,Washington
2023-10-15 10:00:00+00:00,7.5305,93.701035,0.0,4.3349743,94.76356,8.4305,0.398,Washington
2023-10-15 11:00:00+00:00,7.0305,94.32514,0.0,4.73506,98.74608,8.080501,0.397,Washington
2023-10-15 12:00:00+00:00,7.6305,95.654594,0.0,7.6367526,98.13002,9.2805,0.387,Washington
2023-10-15 13:00:00+00:00,6.9305,96.291756,0.0,7.6367526,98.13002,8.6805,0.386,Washington
2023-10-15 14:00:00+00:00,6.3805,95.611855,0.0,7.69592,100.784256,8.1305,0.386,Washington
2023-10-15 15:00:00+00:00,6.6305,95.290695,0.0,8.825508,101.768265,7.8305,0.385,Washington
2023-10-15 16:00:00+00:00,9.4805,90.36022,0.0,10.182337,98.13002,8.3805,0.384,Washington
2023-10-15 17:00:00+00:00,12.1805,84.41832,0.0,10.538843,97.853226,9.4805,0.383,Washington
2023-10-15 18:00:00+00:00,13.7305,68.240074,0.0,14.934577,105.376305,10.4805,0.383,Washington
2023-10-15 19:00:00+00:00,13.7305,65.730316,0.0,15.484185,107.592514,10.9805,0.382,Washington
2023-10-15 20:00:00+00:00,13.5305,67.735985,0.0,13.708391,103.671326,11.330501,0.381,Washington
2023-10-15 21:00:00+00:00,14.0305,66.24502,0.0,13.779114,109.85531,11.630501,0.38,Washington
2023-10-15 22:00:00+00:00,12.830501,73.1054,0.7,16.279802,108.03438,11.4805,0.384,Washington
2023-10-15 23:00:00+00:00,12.5305,74.55625,0.0,15.827721,107.19863,11.2805,0.384,Washington
2023-10-16 00:00:00+00:00,11.080501,88.075,0.2,15.256526,109.290146,10.9805,0.384,Washington
2023-10-16 01:00:00+00:00,10.880501,89.55311,0.4,15.192682,103.706985,10.630501,0.386,Washington
2023-10-16 02:00:00+00:00,10.630501,89.232086,0.0,15.328561,99.46225,10.330501,0.385,Washington
2023-10-16 03:00:00+00:00,10.580501,87.73358,0.0,14.759999,102.680374,10.1805,0.385,Washington
2023-10-16 04:00:00+00:00,10.4805,85.95911,0.0,13.708391,103.671326,10.080501,0.384,Washington
2023-10-16 05:00:00+00:00,10.630501,83.67181,0.0,13.207634,107.44727,10.0305,0.384,Washington
2023-10-16 06:00:00+00:00,10.330501,83.35175,0.0,12.57426,103.24053,9.9305,0.383,Washington
2023-10-16 07:00:00+00:00,10.630501,80.31976,0.0,13.009903,104.420815,9.9305,0.382,Washington
2023-10-16 08:00:00+00:00,10.7305,78.43479,0.0,14.408997,102.99462,9.9305,0.382,Washington
2023-10-16 09:00:00+00:00,11.1805,75.34788,0.0,15.629971,104.67644,9.9805,0.381,Washington
2023-10-16 10:00:00+00:00,11.630501,72.3892,0.0,15.141414,108.00426,10.130501,0.381,Washington
2023-10-16 11:00:00+00:00,11.7305,71.91285,0.0,13.441071,110.37652,10.2805,0.38,Washington
2023-10-16 12:00:00+00:00,11.4305,75.39012,0.0,12.413476,106.85848,10.5305,0.378,Washington
2023-10-16 13:00:00+00:00,11.130501,76.37864,0.0,11.525623,104.47034,10.4805,0.377,Washington
2023-10-16 14:00:00+00:00,11.380501,74.8675,0.0,11.726277,107.87879,10.4805,0.377,Washington
2023-10-16 15:00:00+00:00,11.2805,75.364784,0.0,11.503113,110.13639,10.5305,0.376,Washington
2023-10-16 16:00:00+00:00,11.9305,74.452255,0.0,7.8954163,136.8476,10.6805,0.376,Washington
2023-10-16 17:00:00+00:00,10.4805,99.00469,1.4,6.9527545,111.25058,10.6805,0.387,Washington
2023-10-16 18:00:00+00:00,10.9805,99.3381,0.9,7.69592,100.784256,10.7305,0.397,Washington
2023-10-16 19:00:00+00:00,12.0305,99.67128,2.4,5.8048253,119.74479,11.130501,0.423,Washington
2023-10-16 20:00:00+00:00,11.9305,93.91025,1.7,5.495161,121.60746,11.2805,0.429,Washington
2023-10-16 21:00:00+00:00,13.580501,82.90584,1.3,2.9024127,240.2552,12.1805,0.43,Washington
2023-10-16 22:00:00+00:00,13.330501,82.87534,2.5,7.754637,248.19853,12.330501,0.433,Washington
2023-10-16 23:00:00+00:00,12.2305,99.344536,3.1,10.805998,240.01845,12.1805,0.437,Washington
