date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,16.914,83.846405,0.0,2.5455842,98.13002,18.164,0.312,West Virginia
2023-10-13 01:00:00+00:00,17.264,80.16895,0.0,2.2768397,108.43504,16.964,0.312,West Virginia
2023-10-13 02:00:00+00:00,17.514,76.38752,0.0,3.7064266,119.05451,16.114,0.312,West Virginia
2023-10-13 03:00:00+00:00,15.614,85.075455,0.0,5.3999996,126.86998,15.564,0.312,West Virginia
2023-10-13 04:00:00+00:00,13.264,95.52615,0.0,5.495161,121.60746,15.064,0.313,West Virginia
2023-10-13 05:00:00+00:00,12.1640005,97.39946,0.0,5.692099,124.69522,14.614,0.313,West Virginia
2023-10-13 06:00:00+00:00,11.614,98.03556,0.0,4.5820518,135.0001,14.064,0.313,West Virginia
2023-10-13 07:00:00+00:00,11.264,98.3561,0.0,5.1165614,140.71062,13.564,0.313,West Virginia
2023-10-13 08:00:00+00:00,10.714001,100.0,0.0,2.6208394,105.945465,13.114,0.313,West Virginia
2023-10-13 09:00:00+00:00,10.364,100.0,0.0,3.4152596,108.43504,12.864,0.313,West Virginia
2023-10-13 10:00:00+00:00,10.364,99.66695,0.0,3.9763298,95.19434,12.714001,0.313,West Virginia
2023-10-13 11:00:00+00:00,10.364,99.33487,0.0,5.5887027,104.93147,12.614,0.313,West Virginia
2023-10-13 12:00:00+00:00,11.114,96.732285,0.0,4.3349743,94.76356,12.6640005,0.316,West Virginia
2023-10-13 13:00:00+00:00,14.114,87.18381,0.0,4.6938257,32.471172,13.214001,0.316,West Virginia
2023-10-13 14:00:00+00:00,16.814001,77.53451,0.0,4.1046314,37.875053,14.214001,0.316,West Virginia
2023-10-13 15:00:00+00:00,20.114,68.399826,0.0,4.2136917,19.983198,15.564,0.316,West Virginia
2023-10-13 16:00:00+00:00,22.264,61.319458,0.0,4.2136917,19.983198,16.964,0.314,West Virginia
2023-10-13 17:00:00+00:00,23.414,57.007423,0.0,5.4119864,3.8140097,18.214,0.313,West Virginia
2023-10-13 18:00:00+00:00,23.914,55.138,0.0,6.130579,356.6336,19.164,0.312,West Virginia
2023-10-13 19:00:00+00:00,24.064001,53.766434,0.0,5.4119864,3.8140097,19.814001,0.311,West Virginia
2023-10-13 20:00:00+00:00,23.814001,54.05227,0.0,6.763786,25.201094,20.114,0.31,West Virginia
2023-10-13 21:00:00+00:00,23.214,56.590836,0.0,6.9247384,27.897186,20.214,0.309,West Virginia
2023-10-13 22:00:00+00:00,21.414,65.84809,0.0,8.942214,49.899166,19.864,0.308,West Virginia
2023-10-13 23:00:00+00:00,19.264,68.89966,0.0,11.726277,72.12121,19.164,0.308,West Virginia
2023-10-14 00:00:00+00:00,19.014,70.20972,0.0,12.620554,93.270424,20.414,0.305,West Virginia
2023-10-14 01:00:00+00:00,19.414,63.52065,0.0,11.753876,139.9698,19.464,0.305,West Virginia
2023-10-14 02:00:00+00:00,20.264,56.601467,0.0,21.129883,166.20049,19.114,0.305,West Virginia
2023-10-14 03:00:00+00:00,20.014,56.91521,0.0,21.129883,166.20049,18.914,0.305,West Virginia
2023-10-14 04:00:00+00:00,19.564001,59.11003,0.0,20.418695,170.8699,18.764,0.305,West Virginia
2023-10-14 05:00:00+00:00,19.014,61.778664,0.0,20.478907,169.8754,18.514,0.305,West Virginia
2023-10-14 06:00:00+00:00,18.214,65.38028,0.0,17.698677,175.33322,18.264,0.305,West Virginia
2023-10-14 07:00:00+00:00,18.114,65.57507,0.0,14.404499,181.43207,18.114,0.305,West Virginia
2023-10-14 08:00:00+00:00,17.314001,67.609505,0.0,13.722565,184.5139,17.814001,0.305,West Virginia
2023-10-14 09:00:00+00:00,17.014,66.87795,0.0,14.512064,187.12492,17.564001,0.305,West Virginia
2023-10-14 10:00:00+00:00,16.514,69.494316,0.2,15.986595,187.76508,17.464,0.307,West Virginia
2023-10-14 11:00:00+00:00,14.814,85.83075,0.9,15.517629,183.99083,16.764,0.314,West Virginia
2023-10-14 12:00:00+00:00,16.264,74.94265,1.9,16.343367,187.59456,17.164,0.315,West Virginia
2023-10-14 13:00:00+00:00,17.564001,74.67069,0.0,17.709658,206.56499,17.214,0.314,West Virginia
2023-10-14 14:00:00+00:00,18.364,73.839424,0.0,15.509274,201.80147,17.514,0.314,West Virginia
2023-10-14 15:00:00+00:00,19.164,72.0865,0.0,14.707222,201.54105,17.864,0.314,West Virginia
2023-10-14 16:00:00+00:00,19.964,74.11406,0.2,15.815435,228.69148,18.414,0.315,West Virginia
2023-10-14 17:00:00+00:00,20.714,66.12712,0.1,16.418526,232.12495,18.764,0.315,West Virginia
2023-10-14 18:00:00+00:00,18.464,78.288704,1.8,15.941944,276.48297,18.714,0.331,West Virginia
2023-10-14 19:00:00+00:00,17.264,94.15029,1.6,12.964998,268.4089,18.114,0.347,West Virginia
2023-10-14 20:00:00+00:00,18.064001,90.37967,0.2,9.885262,259.50858,18.064001,0.348,West Virginia
2023-10-14 21:00:00+00:00,17.964,83.69649,0.2,13.084402,262.09293,17.914,0.348,West Virginia
2023-10-14 22:00:00+00:00,16.514,74.49251,0.2,20.780453,284.03625,17.514,0.349,West Virginia
2023-10-14 23:00:00+00:00,14.364,81.36913,0.2,16.923828,271.21884,16.764,0.349,West Virginia
2023-10-15 00:00:00+00:00,11.714001,94.84094,0.0,20.633371,263.9911,15.564,0.368,West Virginia
2023-10-15 01:00:00+00:00,11.264,95.139626,0.2,18.228943,260.9098,14.564,0.367,West Virginia
2023-10-15 02:00:00+00:00,11.214001,95.4553,0.3,17.771753,263.01904,13.964001,0.368,West Virginia
2023-10-15 03:00:00+00:00,11.1640005,96.41215,0.3,16.919998,270.0,13.514,0.368,West Virginia
2023-10-15 04:00:00+00:00,10.9140005,100.0,0.6,15.315873,299.57773,13.214001,0.371,West Virginia
2023-10-15 05:00:00+00:00,9.964001,97.028305,0.3,16.09969,333.43503,12.764,0.372,West Virginia
2023-10-15 06:00:00+00:00,9.114,97.00853,0.3,15.716793,339.90466,12.1640005,0.372,West Virginia
2023-10-15 07:00:00+00:00,8.6640005,96.34176,0.2,16.071491,344.40714,11.614,0.371,West Virginia
2023-10-15 08:00:00+00:00,8.364,96.333176,0.3,15.034041,343.3007,11.214001,0.371,West Virginia
2023-10-15 09:00:00+00:00,8.214,95.34856,0.1,13.797913,344.87595,10.864,0.37,West Virginia
2023-10-15 10:00:00+00:00,7.9639997,94.68961,0.2,12.768586,338.4985,10.614,0.369,West Virginia
2023-10-15 11:00:00+00:00,7.914,93.71968,0.1,11.298495,329.3494,10.4140005,0.368,West Virginia
2023-10-15 12:00:00+00:00,7.9639997,91.184715,0.0,11.440979,335.85446,11.464001,0.366,West Virginia
2023-10-15 13:00:00+00:00,8.214,88.72941,0.2,12.661564,345.17346,11.014,0.366,West Virginia
2023-10-15 14:00:00+00:00,9.264,88.51531,0.1,8.825508,348.23172,11.064,0.365,West Virginia
2023-10-15 15:00:00+00:00,10.364,79.46187,0.1,10.594036,350.21765,11.464001,0.364,West Virginia
2023-10-15 16:00:00+00:00,11.864,61.357006,0.0,13.324863,358.45187,12.064,0.362,West Virginia
2023-10-15 17:00:00+00:00,12.9140005,55.301174,0.1,13.708391,346.32867,12.764,0.36,West Virginia
2023-10-15 18:00:00+00:00,12.264,60.602245,0.0,13.0447235,332.02063,12.964001,0.359,West Virginia
2023-10-15 19:00:00+00:00,11.9140005,66.24291,0.1,13.276144,319.39877,13.114,0.358,West Virginia
