date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,9.5715,73.01438,1.0,16.520823,78.6901,10.8715,0.128,Wisconsin
2023-10-13 01:00:00+00:00,8.5715,85.17134,1.2,20.870687,75.004875,9.8715,0.14,Wisconsin
2023-10-13 02:00:00+00:00,8.221499,83.09488,1.7,21.915693,75.73545,9.1215,0.163,Wisconsin
2023-10-13 03:00:00+00:00,7.9214997,82.769684,0.3,24.014996,77.00539,8.6715,0.166,Wisconsin
2023-10-13 04:00:00+00:00,7.5715,82.43775,0.1,24.442911,80.67649,8.3215,0.166,Wisconsin
2023-10-13 05:00:00+00:00,7.5715,84.17888,2.3,24.087738,80.53775,8.1715,0.197,Wisconsin
2023-10-13 06:00:00+00:00,7.7215,90.23098,0.7,23.110207,85.53293,8.1215,0.204,Wisconsin
2023-10-13 07:00:00+00:00,8.1715,91.19865,3.8,23.110207,85.53293,8.3215,0.256,Wisconsin
2023-10-13 08:00:00+00:00,8.471499,91.845,2.7,25.264202,85.91447,8.5215,0.287,Wisconsin
2023-10-13 09:00:00+00:00,8.6215,92.79983,1.8,24.850431,91.66025,8.6715,0.3,Wisconsin
2023-10-13 10:00:00+00:00,8.8215,93.445,1.2,26.727423,94.635376,8.8715,0.299,Wisconsin
2023-10-13 11:00:00+00:00,8.8715,91.869865,0.2,29.215502,93.53223,8.9215,0.289,Wisconsin
2023-10-13 12:00:00+00:00,8.0715,90.567635,0.0,30.018473,95.50539,8.9215,0.229,Wisconsin
2023-10-13 13:00:00+00:00,7.9214997,91.81064,1.4,30.703587,94.70777,8.6215,0.245,Wisconsin
2023-10-13 14:00:00+00:00,8.0715,92.13551,1.0,31.37168,93.28918,8.5215,0.255,Wisconsin
2023-10-13 15:00:00+00:00,8.5215,91.22208,0.8,32.47192,93.814,8.6715,0.261,Wisconsin
2023-10-13 16:00:00+00:00,8.721499,90.92427,2.1,31.012281,93.32734,8.7715,0.283,Wisconsin
2023-10-13 17:00:00+00:00,8.8215,90.00398,2.4,33.87062,92.4366,8.9215,0.302,Wisconsin
2023-10-13 18:00:00+00:00,9.0215,90.326744,1.9,32.85678,94.39862,9.1215,0.308,Wisconsin
2023-10-13 19:00:00+00:00,8.971499,91.5636,2.3,30.599998,90.0,9.1215,0.318,Wisconsin
2023-10-13 20:00:00+00:00,9.0215,92.192444,3.5,30.096085,83.130104,9.1215,0.334,Wisconsin
2023-10-13 21:00:00+00:00,8.9215,92.18648,2.8,30.244286,81.098366,9.1215,0.333,Wisconsin
2023-10-13 22:00:00+00:00,8.971499,92.819115,1.5,27.475807,84.73769,9.1215,0.322,Wisconsin
2023-10-13 23:00:00+00:00,9.0215,93.45508,0.3,25.764534,82.77578,9.1715,0.308,Wisconsin
2023-10-14 00:00:00+00:00,8.3215,93.101006,0.8,27.402597,80.166504,8.8715,0.287,Wisconsin
2023-10-14 01:00:00+00:00,8.471499,91.218735,0.2,26.901417,74.47583,8.721499,0.282,Wisconsin
2023-10-14 02:00:00+00:00,8.5715,90.913925,0.1,27.345785,69.17903,8.6715,0.277,Wisconsin
2023-10-14 03:00:00+00:00,8.721499,90.30476,0.3,28.185953,65.071556,8.6715,0.274,Wisconsin
2023-10-14 04:00:00+00:00,8.8715,89.70067,0.2,28.337282,62.783974,8.6715,0.271,Wisconsin
2023-10-14 05:00:00+00:00,8.971499,88.793335,0.1,28.673721,61.504463,8.721499,0.268,Wisconsin
2023-10-14 06:00:00+00:00,8.9215,87.581436,0.0,28.84721,60.87604,8.7715,0.265,Wisconsin
2023-10-14 07:00:00+00:00,8.7715,85.19315,0.0,27.41678,60.068577,8.6715,0.263,Wisconsin
2023-10-14 08:00:00+00:00,8.8215,87.27232,0.0,25.199997,53.13002,8.721499,0.261,Wisconsin
2023-10-14 09:00:00+00:00,8.6715,89.99264,0.0,23.424908,46.24529,8.7715,0.258,Wisconsin
2023-10-14 10:00:00+00:00,8.471499,89.66952,0.0,21.915691,42.336945,8.7715,0.257,Wisconsin
2023-10-14 11:00:00+00:00,8.3215,89.04402,0.0,21.175837,35.311302,8.7715,0.255,Wisconsin
2023-10-14 12:00:00+00:00,8.0215,86.59591,0.0,21.980644,31.607454,8.6215,0.268,Wisconsin
2023-10-14 13:00:00+00:00,8.221499,80.25802,0.0,22.415602,29.858927,8.471499,0.266,Wisconsin
2023-10-14 14:00:00+00:00,8.7715,74.93549,0.0,21.868332,32.905247,8.6715,0.263,Wisconsin
2023-10-14 15:00:00+00:00,9.5215,70.74789,0.0,19.652176,28.442837,9.1715,0.261,Wisconsin
2023-10-14 16:00:00+00:00,11.1215,64.253395,0.0,21.178896,31.798878,10.221499,0.258,Wisconsin
2023-10-14 17:00:00+00:00,13.0715,50.862053,0.0,27.497026,43.939182,11.5215,0.255,Wisconsin
2023-10-14 18:00:00+00:00,13.3215,49.511086,0.0,26.31942,40.006195,12.221499,0.252,Wisconsin
2023-10-14 19:00:00+00:00,12.8715,54.328335,0.0,20.316889,29.744795,12.2715,0.25,Wisconsin
2023-10-14 20:00:00+00:00,12.971499,55.51023,0.0,18.86139,23.629398,12.3215,0.248,Wisconsin
2023-10-14 21:00:00+00:00,12.721499,57.02109,0.0,18.671474,19.133741,12.221499,0.246,Wisconsin
2023-10-14 22:00:00+00:00,12.471499,58.574223,0.0,16.071491,15.5928755,12.1215,0.245,Wisconsin
2023-10-14 23:00:00+00:00,11.4215,61.03701,0.0,12.979984,3.179772,11.6215,0.243,Wisconsin
2023-10-15 00:00:00+00:00,10.3215,62.512283,0.0,11.159999,360.0,10.971499,0.245,Wisconsin
2023-10-15 01:00:00+00:00,10.1215,62.907646,0.0,13.004921,4.763556,10.6215,0.244,Wisconsin
2023-10-15 02:00:00+00:00,8.8715,67.22012,0.0,14.917212,8.325568,10.0715,0.243,Wisconsin
2023-10-15 03:00:00+00:00,7.4214997,72.10282,0.0,14.685176,11.3098955,9.4215,0.243,Wisconsin
2023-10-15 04:00:00+00:00,6.4715,75.86953,0.0,13.358861,14.036275,8.8215,0.242,Wisconsin
2023-10-15 05:00:00+00:00,5.4214997,80.713394,0.0,10.1376915,6.1154146,8.221499,0.241,Wisconsin
2023-10-15 06:00:00+00:00,4.6714997,87.79906,0.0,10.594036,350.21765,7.6714997,0.241,Wisconsin
2023-10-15 07:00:00+00:00,4.7714996,91.287415,0.0,12.224107,346.373,7.2714996,0.24,Wisconsin
2023-10-15 08:00:00+00:00,4.6714997,93.23076,0.0,12.0694,342.64587,7.0715,0.24,Wisconsin
2023-10-15 09:00:00+00:00,4.7714996,93.236046,0.0,12.768586,338.4985,6.9214997,0.239,Wisconsin
2023-10-15 10:00:00+00:00,5.5715,89.12616,0.0,13.527572,334.79892,7.1215,0.239,Wisconsin
2023-10-15 11:00:00+00:00,5.8715,87.60145,0.0,13.237039,337.6198,7.2714996,0.238,Wisconsin
2023-10-15 12:00:00+00:00,4.1215,94.19453,0.0,11.592895,334.2307,8.3215,0.243,Wisconsin
2023-10-15 13:00:00+00:00,4.7714996,90.96616,0.0,11.4862,327.8043,7.7215,0.242,Wisconsin
2023-10-15 14:00:00+00:00,6.3715,83.15685,0.0,12.682018,325.40765,8.0715,0.241,Wisconsin
2023-10-15 15:00:00+00:00,8.4215,74.87477,0.0,14.186923,324.2932,9.0715,0.24,Wisconsin
2023-10-15 16:00:00+00:00,10.3215,66.82466,0.0,15.778516,325.2221,10.3215,0.239,Wisconsin
