date,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,State
2023-10-13 00:00:00+00:00,-1.6985,94.61734,0.0,26.121714,29.744795,4.3015003,0.319,Wyoming
2023-10-13 01:00:00+00:00,-1.8985,96.37637,0.0,20.188908,39.936325,4.4515,0.319,Wyoming
2023-10-13 02:00:00+00:00,-2.2484999,100.0,0.0,21.94524,48.99101,4.5515003,0.32,Wyoming
2023-10-13 03:00:00+00:00,-2.4984999,99.63043,0.0,23.441502,47.489597,4.6514997,0.321,Wyoming
2023-10-13 04:00:00+00:00,-2.7985,99.62952,0.0,17.057314,44.145004,4.7015,0.321,Wyoming
2023-10-13 05:00:00+00:00,-3.0485,99.25873,0.1,11.808878,52.431335,4.7015,0.322,Wyoming
2023-10-13 06:00:00+00:00,-3.3485,99.25687,0.1,10.829958,68.5522,4.7515,0.322,Wyoming
2023-10-13 07:00:00+00:00,-3.4985,99.25594,0.1,10.739833,76.42955,4.7515,0.323,Wyoming
2023-10-13 08:00:00+00:00,-3.3985,98.88668,0.1,10.853866,84.2895,4.7515,0.323,Wyoming
2023-10-13 09:00:00+00:00,-3.6485,98.88437,0.1,8.28,90.0,4.8015003,0.324,Wyoming
2023-10-13 10:00:00+00:00,-3.7485,98.51373,0.0,5.937272,104.03627,4.8015003,0.324,Wyoming
2023-10-13 11:00:00+00:00,-3.5985,97.050766,0.0,7.2,143.13002,4.8015003,0.325,Wyoming
2023-10-13 12:00:00+00:00,-2.6485,99.62998,0.0,7.42159,255.96373,4.7515,0.326,Wyoming
2023-10-13 13:00:00+00:00,-2.5985,99.26148,0.0,4.896529,287.1028,4.7515,0.326,Wyoming
2023-10-13 14:00:00+00:00,-2.6485,99.62998,0.0,6.519877,353.6599,4.7515,0.327,Wyoming
2023-10-13 15:00:00+00:00,-2.7484999,99.62968,0.0,5.00128,30.256361,4.7515,0.327,Wyoming
2023-10-13 16:00:00+00:00,-2.6485,98.527214,0.0,3.8773184,338.19852,4.7515,0.328,Wyoming
2023-10-13 17:00:00+00:00,-2.3985,92.15092,0.0,4.3498964,335.55606,4.7015,0.329,Wyoming
2023-10-13 18:00:00+00:00,-2.1985002,89.452034,0.0,4.072935,315.0001,4.7015,0.334,Wyoming
2023-10-13 19:00:00+00:00,-2.0985,89.460335,0.0,5.634891,296.56497,4.7015,0.342,Wyoming
2023-10-13 20:00:00+00:00,-2.0485,91.489006,0.0,5.3999996,270.0,4.4014997,0.353,Wyoming
2023-10-13 21:00:00+00:00,-2.0485,91.83035,0.0,5.315336,241.69934,4.0515003,0.363,Wyoming
2023-10-13 22:00:00+00:00,-1.9985,90.138756,0.0,3.6,180.0,3.8015,0.367,Wyoming
2023-10-13 23:00:00+00:00,-3.1985,93.84542,0.0,4.68,180.0,3.6014998,0.369,Wyoming
2023-10-14 00:00:00+00:00,-4.9985,95.91821,0.0,7.729527,207.75845,3.4515002,0.367,Wyoming
2023-10-14 01:00:00+00:00,-5.2985,93.38235,0.0,8.350138,172.56868,3.3514998,0.368,Wyoming
2023-10-14 02:00:00+00:00,-4.0485,87.94947,0.0,7.968939,161.56496,3.2015002,0.368,Wyoming
2023-10-14 03:00:00+00:00,-5.1984997,86.832695,0.0,8.891343,148.24057,3.1014998,0.368,Wyoming
2023-10-14 04:00:00+00:00,-8.6485,90.66633,0.0,11.841756,160.46326,3.0515,0.368,Wyoming
2023-10-14 05:00:00+00:00,-8.6985,94.29992,0.0,13.896187,163.44286,2.9515002,0.368,Wyoming
2023-10-14 06:00:00+00:00,-8.3985,96.17655,0.0,14.618837,170.07382,3.0015,0.365,Wyoming
2023-10-14 07:00:00+00:00,-8.1985,93.9555,0.0,14.417988,177.13765,3.0015,0.363,Wyoming
2023-10-14 08:00:00+00:00,-8.2485,92.131294,0.0,14.205182,188.74608,3.0015,0.362,Wyoming
2023-10-14 09:00:00+00:00,-7.5985003,88.98909,0.0,15.175612,202.30626,3.0015,0.36,Wyoming
